Gene	sgRNA	921|beta	921|z	921|p-value	921|fdr	921|wald-p-value	921|wald-fdr
ACSL4	5	0.23606	1.0281	0.36871	0.78438	0.3039	0.64256
ACSL5	5	0.050734	0.25258	0.94963	0.99191	0.80059	0.91707
ACSL6	5	0.11507	0.73359	0.73065	0.93677	0.4632	0.73636
ACSM1	4	0.12391	0.42296	0.72526	0.93573	0.67232	0.85432
ACSM2A	5	0.37242	1.313	0.11896	0.53072	0.18919	0.59478
ACSM2B	4	0.11761	0.71066	0.74386	0.94239	0.4773	0.74453
ACSM3	5	0.064442	0.31099	0.9022	0.98099	0.75581	0.89669
ACSM4	5	0.087354	0.32727	0.82745	0.96528	0.74346	0.89055
ACSM5	5	0.033401	0.13965	0.9945	0.99944	0.88894	0.95433
ACSS1	5	0.27177	1.2629	0.28557	0.72703	0.20663	0.59717
ACSS2	5	0.095379	0.48973	0.80001	0.95644	0.62432	0.82755
ACSS3	5	0.30909	1.6157	0.2111	0.65332	0.10617	0.59288
ACTA1	5	0.29779	1.1872	0.23259	0.6781	0.23513	0.60767
ACTA2	5	0.29831	1.1696	0.23148	0.67673	0.24218	0.61069
ACTB	4	-0.05819	-0.28062	0.7302	0.93677	0.779	0.90823
ACTBL2	5	0.56506	1.3548	0.010497	0.15672	0.17549	0.59358
ACTC1	5	0.13134	1.0653	0.67755	0.91925	0.28673	0.63411
ACTG1	5	-0.69445	-2.2704	0.012551	0.17452	0.023181	0.35401
ACTG2	6	0.30738	1.182	0.17466	0.60843	0.23719	0.60926
ACTL10	5	0.47858	1.6272	0.034544	0.30253	0.10369	0.59288
ACTL6A	5	-1.7412	-3.7759	0	0	0.00015943	0.015719
ACTL6B	5	0.44672	1.2324	0.050983	0.36559	0.21781	0.59985
ACTL7A	5	0.25792	1.362	0.31606	0.74705	0.17321	0.59291
ACTL7B	5	0.53896	1.4604	0.015717	0.19902	0.14419	0.59288
ACTL8	5	0.42972	1.3626	0.063423	0.40676	0.17302	0.59288
ACTL9	5	0.25273	1.0258	0.32784	0.75728	0.30499	0.64274
ACTN1	5	0.23478	1.1536	0.37165	0.7853	0.24868	0.61484
ACTN2	5	0.20943	0.61307	0.4403	0.82879	0.53983	0.78111
ACTN4	5	0.33676	1.3145	0.16806	0.60283	0.18868	0.59478
ACTR10	5	-0.85721	-2.8409	0.0032767	0.076227	0.0044992	0.12591
ACTR1A	5	-0.67073	-1.6377	0.015051	0.19524	0.10149	0.59288
ACTR1B	5	0.23055	1.1666	0.38276	0.79412	0.24339	0.61102
ACTR2	5	-1.6426	-2.8529	0	0	0.0043326	0.12434
ACTR3	5	-0.80269	-2.6722	0.0053316	0.10538	0.0075364	0.17817
ACTR3B	5	-0.061851	-0.26849	0.69166	0.92396	0.78832	0.91213
ACTR3C	5	-0.4805	-1.6411	0.061035	0.4008	0.10079	0.59288
ACTR5	5	0.11999	0.67778	0.71426	0.93209	0.49791	0.75676
ACTR6	5	-1.0483	-2.4753	0.00049983	0.019824	0.013312	0.25192
ACTR8	5	-0.22952	-1.0583	0.30879	0.74154	0.28994	0.63547
ACTRT1	5	0.66693	1.4238	0.0018883	0.052388	0.1545	0.59288
ACTRT2	5	0.11324	0.74126	0.73709	0.93942	0.45854	0.73373
ACTRT3	5	0.022224	0.081564	0.95601	0.99237	0.93499	0.97434
ACVR1	5	0.31825	1.3344	0.19682	0.63844	0.18209	0.59478
ACVR1B	5	0.036492	0.21975	0.99622	0.99944	0.82607	0.929
ACVR1C	5	0.2718	1.0445	0.28552	0.72703	0.29627	0.63832
ACVR2A	5	-0.016735	-0.065288	0.83211	0.96543	0.94794	0.97898
ACVR2B	5	0.41234	1.402	0.076141	0.43858	0.16092	0.59288
ACVRL1	5	0.4665	1.5589	0.039931	0.32373	0.11901	0.59288
ACY1	5	0.34966	1.0985	0.15039	0.58187	0.27197	0.62528
ACY3	5	-0.32236	-1.8408	0.17955	0.61511	0.06565	0.59288
ACYP1	5	-0.039063	-0.25062	0.76286	0.94955	0.80211	0.91787
ACYP2	5	-0.0024097	-0.0090937	0.8771	0.97548	0.99274	0.99779
ADA	5	-0.0444	-0.21075	0.7452	0.94239	0.83308	0.93198
ADAD1	5	0.17164	0.53344	0.55159	0.87933	0.59373	0.81211
ADAD2	5	0.25242	1.0104	0.32883	0.75793	0.31228	0.64781
ADAL	5	-0.18792	-0.87259	0.3852	0.79482	0.38289	0.6876
ADAM10	5	0.08825	0.29846	0.82406	0.96388	0.76535	0.90226
ADAM11	5	-0.005649	-0.024824	0.86699	0.97253	0.9802	0.99193
ADAM12	5	0.23411	1.2528	0.37393	0.78813	0.21027	0.59847
ADAM15	5	0.045022	0.2056	0.96834	0.99594	0.83711	0.93319
ADAM17	5	0.013657	0.050619	0.92863	0.98795	0.95963	0.98361
ADAM18	4	0.39456	1.0499	0.13501	0.55586	0.29378	0.63696
ADAM19	5	0.23375	1.3076	0.37471	0.78903	0.19101	0.59478
ADAM2	5	-0.7088	-2.5025	0.011163	0.16302	0.012332	0.23927
ADAM20	5	0.29491	1.0709	0.23798	0.68144	0.28423	0.63192
ADAM21	5	0.31797	0.81235	0.19727	0.63884	0.41659	0.70846
ADAM22	5	0.20668	0.75718	0.44863	0.83218	0.44894	0.72844
ADAM23	5	0.076857	0.26498	0.86044	0.97086	0.79102	0.91299
ADAM28	5	0.050822	0.22156	0.94907	0.99176	0.82466	0.92856
ADAM29	5	-0.047757	-0.34842	0.73442	0.93781	0.72752	0.88107
ADAM30	5	0.32265	1.2097	0.18988	0.63	0.22641	0.6024
ADAM32	5	-0.31028	-0.9492	0.19255	0.63278	0.34252	0.6648
ADAM33	5	0.29444	1.0511	0.23859	0.68212	0.29323	0.63685
ADAM7	5	0.03663	0.14471	0.99583	0.99944	0.88494	0.95276
ADAM8	4	0.46798	1.498	0.068644	0.42175	0.13412	0.59288
ADAM9	5	-0.076786	-0.4815	0.65189	0.91071	0.63016	0.83126
ADAMDEC1	5	0.10226	0.4581	0.77541	0.95141	0.64688	0.84083
ADAMTS1	5	0.17257	0.80259	0.54887	0.87752	0.42221	0.71213
ADAMTS10	5	-0.0866	-0.30924	0.62474	0.901	0.75714	0.89728
ADAMTS12	5	0.25415	0.93142	0.32456	0.75465	0.35164	0.67015
ADAMTS13	5	0.18274	0.75996	0.51827	0.86487	0.44728	0.72735
ADAMTS14	5	-0.090862	-0.60286	0.61246	0.89651	0.5466	0.78479
ADAMTS15	5	0.5123	1.5917	0.021715	0.24002	0.11146	0.59288
ADAMTS16	5	0.53374	1.6034	0.016661	0.20576	0.10884	0.59288
ADAMTS17	5	0.45942	1.4236	0.04443	0.34364	0.15458	0.59288
ADAMTS18	5	0.18595	0.9587	0.50877	0.85931	0.33771	0.66289
ADAMTS19	5	0.29678	1.0427	0.23431	0.67927	0.29711	0.63832
ADAMTS2	5	0.16096	0.75906	0.58364	0.89007	0.44781	0.72751
ADAMTS20	5	-0.088453	-0.41877	0.61952	0.8996	0.67538	0.85598
ADAMTS3	5	-0.25471	-1.2549	0.26897	0.71231	0.2095	0.59847
ADAMTS4	5	-0.026391	-0.17804	0.80223	0.95721	0.85869	0.94151
ADAMTS5	5	0.12422	0.60325	0.70032	0.92627	0.54634	0.78479
ADAMTS6	5	0.068298	0.39342	0.88881	0.97782	0.69401	0.86606
ADAMTS7	5	0.54226	1.6988	0.015273	0.19742	0.089366	0.59288
ADAMTS8	5	0.62698	1.7012	0.0037765	0.082927	0.088906	0.59288
ADAMTS9	5	0.15332	0.7856	0.60635	0.89437	0.4321	0.71769
ADAMTSL1	5	0.18608	0.83481	0.50839	0.85931	0.40382	0.70084
ADAMTSL2	5	0.33837	1.1749	0.16567	0.59992	0.24005	0.61006
ADAMTSL3	5	0.51424	1.781	0.021437	0.23827	0.074906	0.59288
ADAMTSL4	5	-0.25362	-1.1141	0.27097	0.71477	0.26525	0.62342
ADAMTSL5	5	-0.13552	-0.64228	0.49711	0.85487	0.52069	0.76899
ADAP1	5	0.27726	1.3599	0.27341	0.71743	0.17387	0.59314
ADAP2	5	-0.28642	-1.3324	0.2242	0.67015	0.18274	0.59478
ADAR	5	-0.030026	-0.15036	0.79129	0.95355	0.88048	0.95076
ADARB1	5	0.090922	0.46875	0.81512	0.96099	0.63925	0.83717
ADARB2	5	0.47357	1.2406	0.036821	0.31333	0.21474	0.59911
ADAT1	5	0.20804	1.0925	0.44419	0.83076	0.27459	0.62642
ADAT2	5	-0.0044632	-0.026869	0.87115	0.97386	0.97856	0.9911
ADAT3	5	-0.14236	-0.64499	0.48239	0.84726	0.51893	0.76816
ADC	5	-0.055167	-0.29392	0.7116	0.93071	0.76882	0.90267
ADCK1	5	0.093824	0.41371	0.80429	0.9573	0.67909	0.85784
ADCK2	5	0.074051	0.41635	0.86982	0.97358	0.67715	0.85708
ADCK3	5	0.12465	0.56834	0.69888	0.92537	0.5698	0.79868
ADCK4	5	0.16097	0.70117	0.58364	0.89007	0.4832	0.7474
ADCK5	5	-0.36787	-1.5648	0.13357	0.55313	0.11762	0.59288
ADCY1	5	0.24066	1.4374	0.35727	0.7774	0.15059	0.59288
ADCY10	5	0.047572	0.17489	0.95924	0.99237	0.86117	0.9428
ADCY2	5	0.23836	0.84483	0.36366	0.78173	0.3982	0.6966
ADCY3	5	0.25893	0.82837	0.31373	0.74598	0.40746	0.70309
ADCY4	5	0.22383	1.0488	0.39953	0.80353	0.29427	0.63723
ADCY5	5	0.14866	0.70836	0.62068	0.89979	0.47872	0.74502
ADCY6	5	-0.13479	-0.718	0.499	0.85521	0.47275	0.74131
ADCY7	5	0.41803	1.5086	0.072476	0.43003	0.13141	0.59288
ADCY8	5	0.063976	0.27994	0.90348	0.98124	0.77952	0.90838
ADCY9	5	0.12568	0.92397	0.69577	0.92498	0.3555	0.67236
ADCYAP1	5	0.37148	1.4534	0.12046	0.53437	0.14612	0.59288
ADCYAP1R1	5	0.35546	1.3744	0.14145	0.56761	0.16933	0.59288
ADD1	5	-0.22782	-0.94555	0.31167	0.74367	0.34438	0.66605
ADD2	4	0.32272	1.216	0.23537	0.67944	0.22399	0.60194
ADD3	5	0.16707	0.61208	0.5647	0.88394	0.54049	0.78173
ADH1A	5	-0.038652	-0.17976	0.76408	0.94955	0.85734	0.94139
ADH1B	5	0.24935	1.1911	0.33717	0.76605	0.23362	0.60628
ADH4	5	0.45995	1.3835	0.043763	0.34098	0.16652	0.59288
ADH5	3	-0.50779	-1.7912	0.12607	0.54423	0.073261	0.59288
ADH6	5	-0.15035	-0.70873	0.46407	0.83929	0.47849	0.74501
ADH7	5	0.29322	1.5987	0.24075	0.68365	0.10989	0.59288
ADHFE1	5	-0.29305	-1.2165	0.21471	0.65726	0.22381	0.60194
ADI1	5	-0.23892	-0.76398	0.29396	0.73416	0.44488	0.72625
ADIG	5	0.2145	1.2585	0.42664	0.81924	0.2082	0.59762
ADIPOQ	5	0.30504	1.1233	0.21876	0.66191	0.2613	0.62113
ADIPOR1	5	0.17908	1.055	0.53049	0.86982	0.29141	0.63659
ADIPOR2	5	0.0462	0.26417	0.96457	0.99439	0.79165	0.91339
ADIRF	5	0.19094	0.98376	0.4945	0.85279	0.32523	0.65492
ADK	5	0.033933	0.20647	0.99656	0.99944	0.83642	0.9329
ADM	5	0.14157	0.92577	0.64417	0.90702	0.35456	0.67222
ADM2	5	0.44475	1.4181	0.052371	0.37151	0.15617	0.59288
ADM5	5	-0.13818	-0.70133	0.49134	0.85207	0.4831	0.7474
ADNP	5	0.3509	1.4204	0.14823	0.57833	0.15548	0.59288
ADNP2	5	-0.18667	-0.90274	0.38798	0.79685	0.36666	0.67708
ADO	5	0.18103	0.67327	0.52377	0.86762	0.50078	0.75811
ADORA1	5	-0.46154	-1.8807	0.070588	0.42561	0.060011	0.59288
ADORA2A	5	-0.095342	-0.55695	0.60019	0.89307	0.57756	0.80353
ADORA2B	5	0.56015	1.5257	0.011218	0.16343	0.12708	0.59288
ADORA3	12	0.11147	0.84916	0.5913	0.89233	0.39579	0.69542
ADPGK	5	0.1002	0.48539	0.78341	0.95346	0.6274	0.82962
ADPRH	5	0.24089	1.0608	0.35688	0.77708	0.28878	0.63505
ADPRHL1	5	0.2864	1.0749	0.25419	0.6984	0.28242	0.63062
ADPRHL2	5	0.12457	0.60502	0.69899	0.92537	0.54517	0.78411
ADPRM	5	0.34922	0.95973	0.15106	0.58305	0.33719	0.66261
ADRA1A	5	0.15066	1.001	0.61435	0.89738	0.31683	0.65026
ADRA1B	5	0.14622	0.66656	0.62862	0.90249	0.50505	0.75999
ADRA1D	5	0.55168	1.3541	0.012996	0.17808	0.1757	0.59365
ADRA2A	5	0.20461	1.0915	0.45385	0.83423	0.27503	0.62642
ADRA2B	5	0.24117	1.2263	0.35605	0.77671	0.22008	0.6006
ADRA2C	5	0.28859	1.1452	0.24969	0.69276	0.25213	0.61644
ADRB1	5	0.39204	1.6038	0.095246	0.48039	0.10875	0.59288
ADRB2	5	-0.024231	-0.12087	0.80829	0.95882	0.90379	0.95981
ADRB3	5	0.19939	0.92091	0.4684	0.8402	0.3571	0.67277
ADRBK1	5	0.1283	0.60762	0.68783	0.92268	0.54344	0.78338
ADRBK2	5	0.043089	0.32426	0.97418	0.99642	0.74574	0.89144
ADRM1	5	-0.081953	-0.56781	0.63729	0.90532	0.57016	0.79882
ADSL	5	-1.1816	-2.9431	5.5537e-05	0.002924	0.003249	0.10503
ADSS	5	-0.27647	-0.7729	0.23687	0.68044	0.43958	0.72314
ADSSL1	5	-0.016738	-0.077092	0.83211	0.96543	0.93855	0.97582
ADTRP	5	0.32359	1.3024	0.18799	0.6279	0.19278	0.59478
AEBP1	5	0.0014847	0.0088622	0.8892	0.97795	0.99293	0.99782
