Gene	sgRNA	OMM1|beta	OMM1|z	OMM1|p-value	OMM1|fdr	OMM1|wald-p-value	OMM1|wald-fdr
ABCA7	5	0.11381	1.124	0.28702	0.73054	0.26102	0.69337
ABCA8	5	-0.055452	-0.39011	0.80601	0.96591	0.69646	0.89979
ABCA9	4	0.21018	0.77959	0.07653	0.40962	0.43563	0.7822
ABCB1	5	-0.0048426	-0.022558	0.9298	0.98814	0.982	0.99472
ABCB10	3	0.082109	0.65602	0.57042	0.89528	0.51181	0.82114
ABCB11	5	-0.21214	-1.6682	0.30046	0.74385	0.095277	0.56849
ABCB4	5	-0.041552	-0.22565	0.87426	0.97698	0.82148	0.94216
ABCB5	5	0.17286	1.354	0.10358	0.47191	0.17575	0.6468
ABCB6	5	0.25866	1.7088	0.013107	0.14713	0.087485	0.55506
ABCB7	5	-0.42797	-2.4752	0.059647	0.35726	0.013317	0.17975
ABCB8	5	0.014534	0.12651	0.82245	0.96811	0.89933	0.96974
ABCB9	5	0.039426	0.35028	0.67389	0.9308	0.72613	0.90879
ABCC1	5	-0.0035503	-0.038981	0.92236	0.98728	0.96891	0.9914
ABCC10	5	-0.10269	-0.80435	0.60397	0.90792	0.4212	0.77532
ABCC11	5	-0.016861	-0.15448	0.99672	0.99967	0.87723	0.9622
ABCC12	5	0.004638	0.055439	0.87676	0.97752	0.95579	0.98636
ABCC2	5	0.03534	0.35648	0.69621	0.93734	0.72148	0.90828
ABCC3	5	0.067734	0.66496	0.51649	0.87724	0.50608	0.81861
ABCC4	5	0.30007	1.634	0.0033322	0.054745	0.10227	0.57669
ABCC5	5	0.059589	0.65846	0.56015	0.8928	0.51025	0.82088
ABCC6	10	-0.14058	-1.342	0.37121	0.80041	0.17958	0.64908
ABCC8	5	0.14785	1.0587	0.16933	0.5982	0.28974	0.71165
ABCC9	5	0.072778	0.67707	0.48984	0.86166	0.49836	0.81363
ABCD1	5	-0.017543	-0.15748	0.99967	0.99994	0.87487	0.96136
ABCD2	5	0.066825	0.57693	0.52194	0.87926	0.56399	0.84485
ABCD3	5	-0.038037	-0.17974	0.89165	0.98005	0.85736	0.95506
ABCD4	5	-0.040986	-0.38495	0.87704	0.97765	0.70027	0.90125
ABCE1	5	-3.1434	-7.2413	0	0	4.4446e-13	1.6006e-09
ABCF1	5	-0.84285	-3.1329	0.0018327	0.036184	0.001731	0.03829
ABCF2	5	-0.069013	-0.58205	0.74425	0.95138	0.56053	0.84316
ABCF3	5	0.15442	1.1423	0.14978	0.56503	0.25332	0.69007
ABCG1	5	0.19343	1.304	0.067533	0.38513	0.19225	0.65443
ABCG2	5	-0.001493	-0.01354	0.9117	0.98494	0.9892	0.99723
ABCG4	5	0.22728	1.6166	0.028602	0.2343	0.10596	0.58171
ABCG5	5	0.039595	0.2793	0.67305	0.9308	0.78002	0.92795
ABCG8	5	0.019833	0.1519	0.79063	0.96279	0.87927	0.96314
ABHD1	5	-0.047828	-0.35714	0.84316	0.97096	0.72098	0.90828
ABHD10	5	-0.034396	-0.16668	0.91109	0.98487	0.86762	0.95909
ABHD11	5	-0.060812	-0.83257	0.78135	0.96067	0.40509	0.76819
ABHD12	5	0.18291	1.3222	0.083417	0.42768	0.18609	0.65172
ABHD12B	5	0.14863	1.1477	0.16739	0.59671	0.25109	0.68903
ABHD13	5	0.059398	0.44614	0.56148	0.89323	0.6555	0.88272
ABHD14A	5	0.029126	0.26002	0.73342	0.94694	0.79485	0.93282
ABHD14B	5	0.11086	0.69085	0.30084	0.74423	0.48966	0.8077
ABHD15	5	-0.20738	-1.4708	0.30962	0.75317	0.14135	0.6222
ABHD16A	5	0.11871	0.71894	0.26669	0.71025	0.47218	0.79992
ABHD16B	5	0.2063	1.5025	0.049372	0.3214	0.13297	0.61077
ABHD17A	3	-0.16275	-0.92493	0.4564	0.84697	0.355	0.74219
ABHD17B	5	-0.040227	-0.22394	0.88054	0.97858	0.8228	0.94272
ABHD17C	5	0.053113	0.41732	0.59619	0.90593	0.67645	0.89064
ABHD2	5	-0.069633	-0.80408	0.74136	0.94997	0.42135	0.77532
ABHD3	5	0.009262	0.10541	0.85205	0.9716	0.91605	0.97491
ABHD4	5	0.067181	0.40815	0.51933	0.87762	0.68317	0.89274
ABHD5	4	0.068689	0.42761	0.57409	0.89817	0.66894	0.88748
ABHD6	5	0.21916	1.4977	0.036432	0.26972	0.13422	0.61259
ABHD8	5	-0.027435	-0.16207	0.94757	0.99059	0.87125	0.96049
ABI1	5	0.20287	1.2099	0.053149	0.33426	0.22632	0.67567
ABI2	5	0.014731	0.12934	0.82112	0.96811	0.89709	0.96867
ABI3	5	-0.045692	-0.47932	0.85272	0.9716	0.63171	0.87322
ABI3BP	5	0.047382	0.33928	0.63096	0.91717	0.7344	0.91241
ABL1	5	0.087257	0.74504	0.41353	0.82522	0.45625	0.79373
ABL2	5	0.077927	0.57185	0.46162	0.84863	0.56742	0.84667
ABLIM1	5	0.17548	0.96907	0.098245	0.4626	0.33251	0.732
ABLIM2	5	0.1087	0.79521	0.31017	0.75333	0.42649	0.77719
ABLIM3	5	0.13378	0.8674	0.21415	0.6534	0.38572	0.75729
ABR	11	0.067179	0.7885	0.30162	0.74465	0.43041	0.77967
ABRA	5	-0.059317	-0.47421	0.78779	0.96263	0.63535	0.87478
ABRACL	4	0.17095	0.62132	0.15439	0.57202	0.53439	0.83112
ABT1	5	-1.1093	-3.8113	0.00016661	0.0049505	0.00013823	0.0054703
ABTB1	5	-0.068265	-0.57904	0.7472	0.9519	0.56256	0.84406
ABTB2	5	0.12856	1.1472	0.23137	0.6735	0.25131	0.68909
ACAA1	5	0.064679	0.415	0.53349	0.88502	0.67814	0.89086
ACAA2	5	0.068366	0.5257	0.51338	0.87564	0.59909	0.86037
ACACA	5	-0.42585	-1.2618	0.060813	0.36103	0.20701	0.6636
ACACB	5	0.064707	0.52359	0.53343	0.88501	0.60056	0.86131
ACAD10	5	-0.11429	-0.95605	0.5617	0.89323	0.33905	0.73514
ACAD11	5	0.2345	1.423	0.023548	0.20835	0.15474	0.63181
ACAD8	5	-0.14262	-0.82273	0.4729	0.85304	0.41066	0.77043
ACAD9	5	-0.63195	-3.1172	0.0099411	0.12328	0.0018258	0.039656
ACADL	5	0.12493	0.8792	0.24459	0.68821	0.37929	0.75523
ACADM	5	0.11618	0.65132	0.27613	0.7187	0.51484	0.82212
ACADS	5	0.074036	0.54887	0.48267	0.85874	0.5831	0.85312
ACADSB	5	0.015278	0.075489	0.81767	0.96802	0.93983	0.9826
ACADVL	5	0.098445	1.1516	0.35744	0.79076	0.2495	0.68818
ACAN	5	0.019667	0.21631	0.79163	0.96279	0.82874	0.9449
ACAP1	5	0.24295	1.8279	0.019049	0.18511	0.067558	0.51049
ACAP2	5	0.041081	0.36597	0.66572	0.92959	0.71439	0.90613
ACAP3	5	-0.14609	-1.2056	0.4619	0.84867	0.22797	0.67626
ACAT1	5	-0.053518	-0.30563	0.81578	0.96761	0.75988	0.92194
ACAT2	5	0.026441	0.12109	0.75092	0.95281	0.90362	0.97135
ACBD3	5	0.24806	1.3582	0.016828	0.17157	0.17441	0.64579
ACBD4	5	-0.00094519	-0.0088121	0.90847	0.98441	0.99297	0.99801
ACBD5	4	0.15786	0.83206	0.18938	0.62468	0.40537	0.76841
ACBD6	5	0.40214	1.6755	0.00016661	0.0049505	0.093837	0.56537
ACBD7	5	0.15494	0.83566	0.14812	0.56303	0.40334	0.76643
ACCS	5	0.12709	0.85524	0.23659	0.67974	0.39242	0.76027
ACCSL	5	0.090065	0.63564	0.39859	0.8142	0.52501	0.82679
ACD	5	-0.2378	-1.4065	0.25242	0.69805	0.15957	0.634
ACE	5	-0.067979	-0.47565	0.74825	0.9519	0.63432	0.87455
ACE2	5	0.16677	1.1954	0.11913	0.5095	0.23194	0.67824
ACER1	5	-0.21002	-1.3115	0.30468	0.74796	0.18968	0.6529
ACER2	5	0.043616	0.50451	0.65101	0.92543	0.6139	0.86674
ACER3	5	0.29818	1.3446	0.003721	0.059187	0.17876	0.64879
ACHE	4	-0.050289	-0.38048	0.81556	0.96761	0.70359	0.90295
ACIN1	5	-0.51808	-2.4157	0.027158	0.22734	0.015704	0.2024
ACKR2	5	0.10642	0.55682	0.32073	0.76147	0.57765	0.85144
ACKR3	5	-0.049285	-0.40113	0.83561	0.9697	0.68833	0.89581
ACKR4	5	0.019106	0.094568	0.79424	0.96279	0.92466	0.9772
ACLY	5	-0.91689	-3.7233	0.00072198	0.017173	0.00019661	0.006955
ACMSD	5	0.01919	0.16193	0.7939	0.96279	0.87136	0.96049
ACN9	4	0.039007	0.24394	0.7322	0.94624	0.80728	0.93768
ACO1	5	0.080407	0.98798	0.44724	0.84192	0.32316	0.72687
ACO2	5	-0.37649	-1.6287	0.091358	0.4475	0.10338	0.57776
ACOT1	4	0.26428	1.2158	0.022437	0.20394	0.22405	0.67444
ACOT11	5	-0.0084086	-0.080971	0.94896	0.99084	0.93547	0.98101
ACOT12	5	-0.05832	-0.4625	0.7924	0.96279	0.64372	0.87821
ACOT13	4	0.087031	0.92984	0.47895	0.85665	0.35246	0.74203
ACOT2	4	0.053476	0.50645	0.65273	0.92574	0.61254	0.86624
ACOT4	5	-0.0072604	-0.039427	0.94252	0.99008	0.96855	0.99123
ACOT6	5	0.080543	0.48438	0.44646	0.84179	0.62812	0.87207
ACOT7	5	0.14378	0.82579	0.18127	0.6133	0.40892	0.76966
ACOT8	5	0.012004	0.086676	0.83655	0.9697	0.93093	0.9799
ACOT9	5	0.24879	1.322	0.016439	0.16856	0.18615	0.65172
ACOX1	5	-0.00084512	-0.0056548	0.90781	0.9844	0.99549	0.99876
ACOX2	5	-0.02919	-0.22843	0.93769	0.98882	0.81931	0.94183
ACOX3	5	0.17331	1.3829	0.1028	0.47063	0.16668	0.63925
ACOXL	5	-0.11709	-1.1048	0.5527	0.89122	0.26924	0.69965
ACP1	10	0.082588	1.0429	0.24764	0.69175	0.297	0.7171
ACP2	4	0.00077051	0.0063276	0.93497	0.98856	0.99495	0.99867
ACP5	5	0.12602	1.3412	0.24086	0.6845	0.17987	0.64908
ACP6	5	0.074801	0.51173	0.47812	0.85612	0.60884	0.86459
ACPL2	5	0.042335	0.35476	0.658	0.9272	0.72277	0.90834
ACPP	5	0.11743	0.68254	0.27152	0.71508	0.4949	0.81129
ACPT	5	0.11805	1.4681	0.26891	0.71237	0.14207	0.62317
ACR	5	-0.14988	-0.89316	0.45124	0.8444	0.37177	0.75076
ACRBP	5	0.053921	0.62557	0.59197	0.90445	0.5316	0.82981
ACRC	5	0.10416	0.99553	0.33017	0.76659	0.31948	0.72538
ACRV1	5	0.26516	1.6515	0.01133	0.13395	0.098635	0.5737
ACSBG1	5	0.083404	0.65873	0.43208	0.83403	0.51007	0.82088
ACSBG2	5	0.15253	1.3395	0.15534	0.57374	0.18042	0.64932
ACSF2	5	0.033804	0.32077	0.7051	0.93983	0.74838	0.91784
ACSF3	5	0.21698	1.6974	0.038265	0.27704	0.089618	0.55855
ACSL1	5	0.16025	1.1487	0.13357	0.5385	0.25066	0.68903
ACSL3	5	-0.15056	-0.99963	0.44857	0.84355	0.31749	0.72516
ACSL4	5	0.21482	0.93336	0.04032	0.28605	0.35063	0.74125
ACSL5	5	-0.073101	-0.46455	0.72576	0.94549	0.64225	0.87754
ACSL6	5	0.079077	0.539	0.45446	0.84588	0.58989	0.85617
ACSM1	4	-0.12708	-0.80049	0.53149	0.88472	0.42343	0.77627
ACSM2A	5	0.16471	1.0478	0.12335	0.51723	0.29473	0.7153
ACSM2B	4	-0.072504	-0.72841	0.72215	0.94458	0.46637	0.798
ACSM3	5	0.016525	0.11986	0.81079	0.96699	0.90459	0.9715
ACSM4	5	0.0020638	0.013651	0.89126	0.98005	0.98911	0.99723
ACSM5	5	-0.092594	-0.7863	0.6449	0.92333	0.43169	0.78009
ACSS1	5	0.36052	1.8658	0.00055537	0.01385	0.062067	0.49259
ACSS2	5	0.13051	1.0561	0.22459	0.66733	0.29092	0.71266
ACSS3	5	0.14436	1.3686	0.17883	0.60916	0.17113	0.64504
ACTA1	5	-0.022786	-0.24879	0.97123	0.99347	0.80352	0.93696
ACTA2	5	0.039718	0.34757	0.67244	0.93075	0.72816	0.91007
ACTB	4	-0.27176	-1.5423	0.23714	0.68004	0.123	0.60056
ACTBL2	5	0.14122	1.5724	0.18966	0.62507	0.11585	0.5919
ACTC1	5	0.15573	1.1862	0.14584	0.55977	0.23553	0.6805
ACTG1	5	-0.51891	-2.361	0.026991	0.2271	0.018227	0.22557
ACTG2	6	-0.052671	-0.39623	0.81739	0.96802	0.69193	0.89762
ACTL10	5	0.22652	1.398	0.029157	0.23723	0.16213	0.63666
ACTL6A	5	-1.9281	-4.6141	0	0	3.9482e-06	0.00034679
ACTL6B	5	0.1331	1.3127	0.21604	0.65554	0.18929	0.6529
ACTL7A	5	0.073831	0.6581	0.48428	0.85945	0.51048	0.821
ACTL7B	5	0.1365	1.3659	0.20449	0.64158	0.17196	0.64504
ACTL8	5	0.10274	1.0842	0.33717	0.7718	0.27826	0.70641
ACTL9	5	-0.086076	-0.84897	0.671	0.93071	0.3959	0.76192
ACTN1	5	0.10924	0.92958	0.30806	0.75234	0.35259	0.74203
ACTN2	5	0.2801	1.6586	0.0072754	0.10038	0.097205	0.57168
ACTN4	5	0.01307	0.091359	0.82995	0.96907	0.92721	0.97841
ACTR10	5	-1.0422	-3.8316	0.00022215	0.0062016	0.00012733	0.0051176
ACTR1A	5	-0.31332	-2.1118	0.14767	0.56303	0.034707	0.36397
ACTR1B	5	-0.095414	-0.88888	0.63257	0.9184	0.37407	0.75207
ACTR2	5	-0.96343	-3.1325	0.00055537	0.01385	0.0017335	0.038299
ACTR3	5	-0.44728	-1.7677	0.050872	0.32633	0.077112	0.53492
ACTR3B	5	0.08904	0.41838	0.40392	0.81857	0.67567	0.89031
ACTR3C	5	-0.22706	-1.6457	0.27219	0.71621	0.099816	0.57469
ACTR5	5	-0.21441	-1.6932	0.29696	0.74161	0.09041	0.56097
ACTR6	5	-0.56134	-1.9892	0.018105	0.17892	0.04668	0.43618
ACTR8	5	-0.42054	-2.2479	0.063645	0.37256	0.024585	0.28212
ACTRT1	5	0.19604	1.1066	0.062979	0.37023	0.26848	0.69919
ACTRT2	5	0.1826	1.5662	0.084083	0.42865	0.11731	0.59519
ACTRT3	5	-0.12792	-0.63132	0.51733	0.87724	0.52783	0.82796
ACVR1	5	0.1716	1.3893	0.1063	0.47659	0.16474	0.63778
ACVR1B	5	0.12181	0.88061	0.25558	0.70088	0.37853	0.7548
ACVR1C	5	-0.028199	-0.21226	0.94369	0.99009	0.83191	0.946
ACVR2A	5	0.16938	0.57743	0.11174	0.49025	0.56365	0.84485
ACVR2B	5	0.13037	1.1628	0.22487	0.66738	0.24492	0.68692
ACVRL1	5	0.16218	1.6399	0.12812	0.52587	0.10103	0.57669
ACY1	5	0.14149	1.6297	0.18849	0.62381	0.10316	0.57764
ACY3	5	-0.071009	-0.6366	0.73442	0.94742	0.52438	0.82679
ACYP1	5	0.062227	0.71002	0.54693	0.89066	0.47769	0.80191
ACYP2	5	0.038931	0.22427	0.67639	0.9308	0.82255	0.94262
ADA	5	0.078632	0.70337	0.45696	0.8472	0.48183	0.80413
ADAD1	5	0.0096922	0.054509	0.84966	0.97129	0.95653	0.98662
ADAD2	5	0.096902	0.68848	0.36566	0.79584	0.49115	0.80856
ADAL	5	-0.029188	-0.20312	0.93769	0.98882	0.83904	0.94789
ADAM10	5	0.034211	0.16071	0.70265	0.93885	0.87232	0.96069
ADAM11	5	-0.13064	-0.95117	0.50877	0.87256	0.34152	0.73689
ADAM12	5	0.037815	0.30084	0.68244	0.93289	0.76354	0.9232
ADAM15	5	0.060712	0.8872	0.55465	0.89143	0.37497	0.75261
ADAM17	5	0.19001	1.0521	0.07242	0.40098	0.29275	0.71385
ADAM18	4	0.36477	1.1918	0.0011107	0.02439	0.23335	0.67889
ADAM19	5	0.032325	0.29151	0.71382	0.94216	0.77066	0.92528
ADAM2	5	-0.2147	-1.66	0.29629	0.74066	0.096917	0.57168
ADAM20	5	0.14428	0.6941	0.17961	0.61146	0.48762	0.80725
ADAM21	5	0.020777	0.077641	0.78529	0.96215	0.93811	0.98219
ADAM22	5	0.0081923	0.098982	0.85771	0.97292	0.92115	0.97649
ADAM23	5	0.1624	0.93783	0.12779	0.52558	0.34833	0.7405
ADAM28	5	0.30929	1.5812	0.0026102	0.046214	0.11384	0.5901
ADAM29	5	0.11347	1.0295	0.28813	0.73136	0.30326	0.71836
ADAM30	5	-0.11336	-0.79961	0.56548	0.89486	0.42394	0.7765
ADAM32	5	-0.085856	-0.44793	0.67155	0.93071	0.6542	0.88218
ADAM33	5	0.22128	1.0265	0.033711	0.25775	0.30466	0.71836
ADAM7	5	0.23009	1.2508	0.027047	0.22729	0.211	0.66642
ADAM8	4	0.27178	1.4013	0.01866	0.18221	0.16111	0.63537
ADAM9	5	-0.038091	-0.26816	0.89154	0.98005	0.78857	0.93082
ADAMDEC1	5	0.013581	0.11988	0.8275	0.9686	0.90458	0.9715
ADAMTS1	5	0.14701	1.4467	0.17117	0.60031	0.14797	0.62776
ADAMTS10	5	-0.085143	-0.7899	0.67472	0.9308	0.42958	0.77927
ADAMTS12	5	0.16482	1.0045	0.12313	0.5169	0.31512	0.72427
ADAMTS13	5	0.087256	0.80943	0.41353	0.82522	0.41827	0.77477
ADAMTS14	5	0.13531	1.3084	0.20865	0.6456	0.19075	0.6529
ADAMTS15	5	0.10489	0.87813	0.32734	0.76537	0.37987	0.75567
ADAMTS16	5	0.33249	1.8674	0.0013884	0.028868	0.061849	0.49228
ADAMTS17	5	0.015129	0.12575	0.81862	0.96802	0.89993	0.97001
ADAMTS18	5	0.091897	0.58335	0.38915	0.8094	0.55966	0.84267
ADAMTS19	5	0.18704	1.1804	0.076419	0.40928	0.23786	0.68177
ADAMTS2	5	0.21535	1.3036	0.039931	0.28475	0.19236	0.65443
ADAMTS20	5	-0.047774	-0.45166	0.84361	0.97099	0.65151	0.88138
ADAMTS3	5	-0.090914	-0.59654	0.65278	0.92574	0.55082	0.83895
ADAMTS4	5	-0.041882	-0.51201	0.8726	0.97628	0.60865	0.86459
ADAMTS5	5	0.14808	1.3678	0.16883	0.59784	0.17139	0.64504
ADAMTS6	5	0.10399	0.62445	0.33106	0.76761	0.53233	0.83042
ADAMTS7	5	-0.036885	-0.27462	0.89803	0.98107	0.78361	0.92894
ADAMTS8	5	0.0933	0.66373	0.38271	0.80712	0.50686	0.81934
ADAMTS9	5	-0.019291	-0.19329	0.99111	0.99871	0.84673	0.95002
ADAMTSL1	5	0.25491	1.4586	0.014106	0.15394	0.14469	0.62505
ADAMTSL2	5	0.032413	0.24637	0.71337	0.94201	0.8054	0.93701
ADAMTSL3	5	0.072424	0.52177	0.49167	0.86287	0.60183	0.86197
ADAMTSL4	5	-0.1452	-1.3635	0.4654	0.84998	0.17271	0.64506
ADAMTSL5	5	-0.325	-1.978	0.1354	0.54202	0.047925	0.44095
ADAP1	5	0.11695	1.022	0.27358	0.71693	0.3068	0.71891
ADAP2	5	0.0248	0.12702	0.76119	0.95559	0.89892	0.96974
ADAR	5	-0.51889	-2.1285	0.026991	0.2271	0.033296	0.35392
ADARB1	5	0.10225	0.87436	0.33928	0.77388	0.38192	0.75602
ADARB2	5	0.1588	0.88255	0.13801	0.54712	0.37748	0.75379
ADAT1	5	-0.11931	-0.72444	0.54471	0.88948	0.46879	0.79824
ADAT2	5	0.21782	1.3295	0.037321	0.27306	0.18369	0.65101
ADAT3	5	-0.23717	-1.4117	0.25369	0.69868	0.15805	0.63317
ADC	5	0.17622	1.0834	0.097079	0.46036	0.27865	0.70676
ADCK1	5	0.0076558	0.070464	0.86066	0.97309	0.94382	0.98314
ADCK2	5	-0.014045	-0.10357	0.9809	0.99622	0.91751	0.97506
ADCK3	5	-0.019383	-0.17224	0.99067	0.99871	0.86325	0.95757
ADCK4	5	-0.10086	-0.94858	0.61185	0.9108	0.34283	0.73756
ADCK5	5	0.095101	0.57914	0.37476	0.80259	0.56249	0.84406
ADCY1	5	0.015247	0.17715	0.81795	0.96802	0.85939	0.95596
ADCY10	5	0.1318	0.9513	0.22043	0.66294	0.34145	0.73689
ADCY2	5	0.23168	1.4719	0.025658	0.21958	0.14104	0.6222
ADCY3	5	-0.098441	-0.99087	0.61963	0.91336	0.32175	0.72663
ADCY4	5	0.042021	0.19324	0.65978	0.9272	0.84677	0.95002
ADCY5	5	-0.058002	-0.37024	0.79374	0.96279	0.71121	0.90491
ADCY6	5	0.068781	0.80496	0.51122	0.87461	0.42084	0.77532
ADCY7	5	0.13008	0.93761	0.2257	0.66825	0.34844	0.7405
ADCY8	5	0.069714	0.43814	0.50644	0.87096	0.66128	0.88483
ADCY9	5	-0.023734	-0.17927	0.96646	0.99341	0.85772	0.9552
ADCYAP1	5	0.1936	1.6029	0.066978	0.38359	0.10896	0.58475
ADCYAP1R1	5	0.086084	0.90607	0.41947	0.82964	0.3649	0.74747
ADD1	5	-0.093651	-0.72453	0.6399	0.92073	0.46874	0.79824
ADD2	4	0.068083	0.44234	0.57686	0.89964	0.65825	0.88359
ADD3	5	0.21415	1.4905	0.041153	0.28911	0.13609	0.61532
ADH1A	5	-0.1331	-1.0853	0.50056	0.86828	0.27779	0.70612
ADH1B	5	-0.029227	-0.38969	0.93752	0.98882	0.69677	0.89985
ADH4	5	0.20957	1.1619	0.045651	0.30706	0.24529	0.68696
ADH5	3	-0.41917	-1.2484	0.13862	0.54809	0.2119	0.66698
ADH6	5	-0.13452	-0.81399	0.49711	0.86651	0.41565	0.77305
ADH7	5	0.0028359	0.026382	0.88676	0.97997	0.97895	0.99414
ADHFE1	5	-0.11063	-0.66822	0.57475	0.89835	0.50399	0.81734
ADI1	5	0.085864	0.56655	0.42036	0.82975	0.57102	0.84811
ADIG	5	0.098291	0.62176	0.35816	0.791	0.5341	0.83081
ADIPOQ	5	0.31034	1.5668	0.0026102	0.046214	0.11717	0.59519
ADIPOR1	5	0.11525	0.9693	0.28091	0.7242	0.3324	0.732
ADIPOR2	5	0.044515	0.3574	0.64628	0.92333	0.7208	0.90828
ADIRF	5	-0.010823	-0.086548	0.96357	0.99302	0.93103	0.9799
ADK	5	-0.10901	-0.93371	0.58092	0.90111	0.35045	0.74125
ADM	5	-0.0086228	-0.081515	0.95057	0.99097	0.93503	0.98067
ADM2	5	0.2453	1.2735	0.017994	0.17822	0.20283	0.66092
ADM5	5	-0.037636	-0.31232	0.89359	0.9801	0.7548	0.92048
ADNP	5	0.064293	0.34533	0.5361	0.88633	0.72984	0.9106
ADNP2	5	-0.042332	-0.2436	0.87015	0.97627	0.80754	0.93768
ADO	5	0.16266	0.97742	0.12735	0.5254	0.32836	0.73058
ADORA1	5	-0.0096302	-0.06352	0.95718	0.99208	0.94935	0.98521
ADORA2A	5	0.080508	0.57663	0.44668	0.84179	0.56419	0.84495
ADORA2B	5	0.29971	1.9417	0.0033878	0.055404	0.052172	0.45558
ADORA3	12	0.086755	0.97598	0.17672	0.6054	0.32907	0.73106
ADPGK	5	0.065511	0.52663	0.52999	0.88416	0.59845	0.86009
ADPRH	5	0.15493	1.1684	0.14817	0.56303	0.24266	0.68503
ADPRHL1	5	0.14622	0.7582	0.17333	0.60143	0.44833	0.78927
ADPRHL2	5	0.068553	0.59409	0.51255	0.87564	0.55245	0.83948
ADPRM	5	0.030241	0.22683	0.72626	0.94549	0.82055	0.94216
ADRA1A	5	0.19492	1.7342	0.064423	0.37492	0.082891	0.54632
ADRA1B	5	0.03992	0.47981	0.67172	0.93071	0.63136	0.87308
ADRA1D	5	0.11072	1.4179	0.30168	0.74465	0.15623	0.63189
ADRA2A	5	0.053433	0.43993	0.59425	0.90502	0.65999	0.88459
ADRA2B	5	-0.054533	-0.44769	0.8109	0.96699	0.65437	0.88218
ADRA2C	5	0.10525	0.67257	0.32617	0.76523	0.50122	0.81524
ADRB1	5	0.17698	1.1838	0.095357	0.45653	0.23647	0.68053
ADRB2	5	-0.088978	-0.47768	0.65978	0.9272	0.63288	0.87411
ADRB3	5	0.17664	1.2636	0.096024	0.45765	0.20636	0.6634
ADRBK1	5	-0.11335	-0.73127	0.56559	0.89486	0.46461	0.79642
ADRBK2	5	0.19796	1.2108	0.059591	0.35726	0.22597	0.67559
ADRM1	5	-0.31491	-1.5644	0.14573	0.55973	0.11773	0.59583
ADSL	5	-0.16335	-1.13	0.41442	0.82608	0.25846	0.6916
