Gene	sgRNA	MP41|beta	MP41|z	MP41|p-value	MP41|fdr	MP41|wald-p-value	MP41|wald-fdr
ABRA	5	0.045444	0.59185	0.61552	0.89788	0.55395	0.79877
ABRACL	4	0.18042	0.91669	0.096523	0.47751	0.35931	0.68001
ABT1	5	-0.75452	-3.2346	0.00066644	0.023762	0.0012183	0.053373
ABTB1	5	0.036534	0.34034	0.67117	0.91755	0.7336	0.89059
ABTB2	5	0.070939	0.85843	0.46368	0.83901	0.39066	0.69683
ACAA1	5	0.1012	1.1998	0.30879	0.73664	0.23023	0.5888
ACAA2	5	-0.016696	-0.15293	0.97784	0.9957	0.87845	0.95312
ACACA	5	-0.23509	-1.4528	0.15623	0.57102	0.14627	0.52029
ACACB	5	0.091486	1.0332	0.35394	0.77052	0.30151	0.63787
ACAD10	5	-0.17869	-1.7078	0.26674	0.70348	0.087674	0.4667
ACAD11	5	0.13903	1.1437	0.15945	0.57443	0.25275	0.60558
ACAD8	5	-0.25427	-1.3202	0.13018	0.53663	0.18675	0.55675
ACAD9	5	-0.30376	-2.3002	0.081473	0.4435	0.021435	0.27277
ACADL	5	0.10793	0.87074	0.27907	0.71512	0.38389	0.6924
ACADM	5	-0.017506	-0.23781	0.9734	0.99461	0.81203	0.924
ACADS	5	0.080455	1.0373	0.41153	0.80789	0.2996	0.63656
ACADSB	5	0.0087001	0.031788	0.85677	0.96972	0.97464	0.99018
ACADVL	5	0.10383	1.1419	0.29785	0.73075	0.25351	0.60579
ACAN	5	0.080564	1.3307	0.41059	0.80705	0.18329	0.55273
ACAP1	5	0.11681	1.4253	0.24203	0.68019	0.15408	0.52715
ACAP2	5	0.058087	0.4607	0.53888	0.87007	0.64502	0.84645
ACAP3	5	-0.12581	-1.1855	0.4283	0.81712	0.23584	0.59217
ACAT1	5	-0.26205	-1.3991	0.12096	0.52302	0.16177	0.53449
ACAT2	5	0.047151	0.38911	0.60585	0.89536	0.69719	0.87267
ACBD3	5	0.13185	0.98651	0.18361	0.60947	0.32388	0.65363
ACBD4	5	-0.11812	-1.139	0.45779	0.83558	0.25468	0.60675
ACBD5	4	0.16658	1.3617	0.12835	0.53372	0.17328	0.54453
ACBD6	5	0.27764	1.7382	0.004554	0.08393	0.082175	0.46164
ACBD7	5	0.12064	0.65039	0.22676	0.66154	0.51544	0.77888
ACCS	5	0.06139	0.49505	0.51894	0.86295	0.62057	0.834
ACCSL	5	0.065492	0.68955	0.49434	0.85191	0.49048	0.7641
ACD	5	-0.29703	-2.2479	0.086582	0.45333	0.024583	0.29645
ACE	5	-0.035352	-0.3377	0.8631	0.97071	0.73559	0.8912
ACE2	5	0.29988	1.7406	0.0024992	0.057841	0.081749	0.46056
ACER1	5	-0.29994	-2.3264	0.084472	0.44973	0.019999	0.2625
ACER2	5	0.066942	0.40055	0.48606	0.84826	0.68875	0.86926
ACER3	5	-0.11738	-0.66558	0.46057	0.8371	0.50568	0.7732
ACHE	4	-0.14026	-1.0783	0.4057	0.80415	0.2809	0.62358
ACIN1	5	-0.33849	-2.4777	0.054704	0.36891	0.013225	0.20679
ACKR2	5	0.042312	0.31834	0.63601	0.90659	0.75023	0.89779
ACKR3	5	0.060802	0.83501	0.52299	0.86364	0.40371	0.70744
ACKR4	5	0.073637	0.68604	0.44641	0.82678	0.49269	0.76531
ACLY	5	-0.46893	-2.6878	0.012996	0.16502	0.0071933	0.14475
ACMSD	5	0.016312	0.16046	0.80651	0.95754	0.87252	0.95092
ACN9	4	-0.10453	-0.81374	0.53321	0.86934	0.41579	0.71492
ACO1	5	0.059241	0.84226	0.5321	0.86879	0.39964	0.70445
ACO2	5	-0.61922	-2.891	0.0022215	0.05305	0.0038406	0.099789
ACOT1	4	0.15404	1.183	0.15934	0.57443	0.2368	0.59317
ACOT11	5	-0.19182	-2.1046	0.23681	0.67447	0.035328	0.35845
ACOT12	5	-0.18282	-1.6967	0.25708	0.69285	0.089753	0.46875
ACOT13	4	-0.056414	-0.45211	0.75025	0.941	0.65119	0.84969
ACOT2	4	-0.041041	-0.31356	0.82983	0.96527	0.75386	0.89882
ACOT4	5	-0.011103	-0.072019	0.98595	0.99708	0.94259	0.97727
ACOT6	5	0.11328	0.77912	0.25603	0.6923	0.43591	0.72883
ACOT7	5	0.013577	0.11368	0.82534	0.96419	0.90949	0.96712
ACOT8	5	0.11174	1.0025	0.2618	0.69785	0.31608	0.6474
ACOT9	5	0.084553	0.67376	0.38881	0.79539	0.50047	0.77031
ACOX1	5	-0.13486	-1.2366	0.39609	0.79946	0.21623	0.5786
ACOX2	5	0.068358	0.74747	0.4784	0.84609	0.45478	0.74034
ACOX3	5	0.21813	1.6504	0.025103	0.24353	0.098867	0.47941
ACOXL	5	-0.088249	-1.7156	0.58214	0.88733	0.086234	0.46634
ACP1	10	0.15768	1.9735	0.021715	0.22433	0.048444	0.40424
ACP2	4	-0.081737	-0.81557	0.62512	0.90126	0.41475	0.71395
ACP5	5	0.066143	0.56068	0.49	0.84975	0.57502	0.81046
ACP6	5	0.090014	0.86119	0.36077	0.77545	0.38913	0.69644
ACPL2	5	0.12006	1.0439	0.2287	0.66366	0.29653	0.63551
ACPP	5	0.10198	0.95383	0.30534	0.73542	0.34017	0.66628
ACPT	5	0.064821	0.62453	0.49811	0.8533	0.53228	0.78902
ACR	5	-0.15084	-1.192	0.34383	0.76109	0.23327	0.59072
ACRBP	5	0.094413	1.1809	0.34016	0.75908	0.23762	0.59319
ACRC	5	0.14419	1.1107	0.14556	0.55732	0.2667	0.61501
ACRV1	5	0.17081	1.4084	0.084694	0.45012	0.15902	0.53126
ACSBG1	5	-0.004924	-0.058378	0.94624	0.9896	0.95345	0.98107
ACSBG2	5	0.086906	0.65165	0.37626	0.78733	0.51463	0.77849
ACSF2	5	-0.05523	-0.68819	0.74708	0.94041	0.49133	0.76471
ACSF3	5	0.35753	1.9556	0.00038876	0.016827	0.050514	0.40751
ACSL1	5	0.10092	0.90881	0.31001	0.73729	0.36345	0.68296
ACSL3	5	0.22134	1.7016	0.023381	0.23363	0.088827	0.46737
ACSL4	5	0.1409	1.2508	0.15373	0.56652	0.21099	0.57471
ACSL5	5	0.019201	0.14947	0.78607	0.95039	0.88118	0.95432
ACSL6	5	0.12176	1.3568	0.22293	0.65749	0.17484	0.54614
ACSM1	4	-0.13297	-1.0676	0.43069	0.81882	0.2857	0.62675
ACSM2A	5	0.18299	1.4731	0.063868	0.39765	0.14072	0.51562
ACSM2B	4	0.023	0.30277	0.79335	0.95312	0.76207	0.90233
ACSM3	5	-0.040698	-0.24598	0.83133	0.96537	0.8057	0.92051
ACSM4	5	0.064212	0.55023	0.50139	0.85452	0.58216	0.81315
ACSM5	5	-0.19937	-1.78	0.21887	0.654	0.075069	0.45086
ACSS1	5	0.26945	2.0076	0.0056092	0.095735	0.044685	0.39364
ACSS2	5	0.15212	1.7099	0.12507	0.53026	0.087292	0.4667
ACSS3	5	0.24053	1.588	0.013995	0.17296	0.11229	0.48966
ACTA1	5	0.15759	1.2591	0.11174	0.50604	0.20799	0.57173
ACTA2	5	0.039637	0.52013	0.652	0.91122	0.60297	0.82399
ACTB	4	0.10026	0.76842	0.36632	0.7801	0.44224	0.73323
ACTBL2	5	-0.047225	-0.77664	0.79174	0.95237	0.43737	0.73014
ACTC1	5	-0.015605	-0.1196	0.98584	0.99702	0.9048	0.96512
ACTG1	5	-0.36632	-2.4209	0.04132	0.31904	0.015481	0.22663
ACTG2	6	-0.20262	-1.9857	0.18005	0.60429	0.047071	0.39928
ACTL10	5	0.2224	1.5976	0.022715	0.22913	0.11014	0.48958
ACTL6A	5	-1.1048	-3.656	0	0	0.00025623	0.021762
ACTL6B	5	0.14683	1.4746	0.13784	0.54631	0.14032	0.51522
ACTL7A	5	0.15503	1.2703	0.1184	0.51848	0.20397	0.56772
ACTL7B	5	0.16433	1.868	0.097579	0.47955	0.061767	0.43385
ACTL8	5	0.13176	1.0772	0.18383	0.6098	0.28138	0.62415
ACTL9	5	-0.0060525	-0.082956	0.95296	0.99054	0.93389	0.97459
ACTN1	5	-0.0071513	-0.087523	0.96068	0.99273	0.93026	0.97331
ACTN2	5	0.033134	0.25749	0.6946	0.9244	0.7968	0.9166
ACTN4	5	0.05953	0.53544	0.53043	0.86734	0.59235	0.81805
ACTR10	5	-0.6857	-2.7237	0.0012774	0.036508	0.0064557	0.13643
ACTR1A	5	-0.55776	-2.5731	0.004443	0.082474	0.010079	0.1776
ACTR1B	5	-0.12381	-1.3755	0.43608	0.82053	0.16896	0.54192
ACTR2	5	-0.8376	-3.1688	0.00033322	0.015464	0.0015308	0.059275
ACTR3	5	-0.089958	-0.54917	0.57536	0.88479	0.58289	0.81353
ACTR3B	5	-0.18783	-1.4918	0.24575	0.68397	0.13576	0.51141
ACTR3C	5	0.0019356	0.014101	0.9012	0.97861	0.98875	0.9959
ACTR5	5	0.1071	0.93857	0.28235	0.71826	0.34795	0.67153
ACTR6	5	-0.33435	-1.2228	0.057425	0.37792	0.22141	0.58223
ACTR8	5	-0.17335	-1.4347	0.2803	0.7165	0.15139	0.52482
ACTRT1	5	0.18212	1.3325	0.065034	0.4013	0.18269	0.55213
ACTRT2	5	0.10359	1.0402	0.29873	0.73081	0.29823	0.63615
ACTRT3	5	-0.0041143	-0.035218	0.9403	0.98763	0.97191	0.98941
ACVR1	5	0.15741	1.4053	0.11224	0.50714	0.15992	0.53261
ACVR1B	5	0.14573	0.83433	0.14084	0.55104	0.4041	0.70761
ACVR1C	5	0.066189	0.57617	0.48956	0.84947	0.5645	0.80517
ACVR2A	5	0.0070191	0.03575	0.86721	0.97163	0.97148	0.98928
ACVR2B	5	-0.0053677	-0.050552	0.94946	0.99005	0.95968	0.98394
ACVRL1	5	0.061783	0.62026	0.51649	0.86243	0.53509	0.79025
ACY1	5	0.19656	1.2956	0.045318	0.3358	0.19511	0.56278
ACY3	5	-0.22926	-2.0535	0.165	0.58266	0.040028	0.37953
ACYP1	5	0.095398	1.0205	0.33489	0.75498	0.30749	0.64187
ACYP2	5	0.012344	0.085537	0.83322	0.9654	0.93183	0.97385
ADA	5	0.0025939	0.018444	0.89626	0.97753	0.98528	0.99475
ADAD1	5	-0.044531	-0.46893	0.80834	0.95782	0.63912	0.84361
ADAD2	5	0.050309	0.86909	0.58725	0.88917	0.3848	0.69309
ADAL	5	0.015529	0.090913	0.81117	0.95898	0.92756	0.97237
ADAM10	5	0.16916	0.88206	0.087471	0.45652	0.37774	0.69024
ADAM11	5	-0.26698	-2.197	0.11591	0.51451	0.028023	0.31855
ADAM12	5	-0.069059	-1.2588	0.67683	0.91941	0.20809	0.57173
ADAM15	5	0.051574	0.52279	0.57942	0.88653	0.60112	0.82302
ADAM17	5	0.18995	1.1194	0.053427	0.36357	0.26298	0.61295
ADAM18	4	0.37454	1.4339	0.00088859	0.030303	0.1516	0.52495
ADAM19	5	-0.0095997	-0.11421	0.97567	0.99502	0.90907	0.96699
ADAM2	5	-0.078228	-0.50924	0.62907	0.90349	0.61058	0.82842
ADAM20	5	-0.025818	-0.19091	0.92158	0.98253	0.84859	0.94012
ADAM21	5	0.064903	0.46046	0.49756	0.85291	0.64518	0.84649
ADAM22	5	0.13048	1.2468	0.18799	0.6149	0.21246	0.57603
ADAM23	5	0.22652	1.4307	0.020271	0.21433	0.15252	0.5254
ADAM28	5	0.1854	1.4919	0.059924	0.38522	0.13573	0.51141
ADAM29	5	0.13937	1.1434	0.15834	0.57341	0.25287	0.60558
ADAM30	5	-0.16621	-1.196	0.30018	0.73133	0.23171	0.58988
ADAM32	5	0.068942	0.32539	0.47545	0.84466	0.74488	0.89493
ADAM33	5	0.1628	1.5064	0.10047	0.48538	0.13195	0.50634
ADAM7	5	0.15033	1.0974	0.12885	0.53467	0.27245	0.61789
ADAM8	4	0.23337	1.7078	0.03099	0.27407	0.087673	0.4667
ADAM9	5	0.1218	1.3678	0.22293	0.65749	0.17138	0.54329
ADAMDEC1	5	0.0717	0.61074	0.45879	0.83591	0.54137	0.79258
ADAMTS1	5	-0.022435	-0.28155	0.94269	0.98864	0.77829	0.90801
ADAMTS10	5	-0.016374	-0.17387	0.98095	0.99628	0.86197	0.94661
ADAMTS12	5	0.13576	0.83768	0.16944	0.58945	0.40221	0.70638
ADAMTS13	5	0.079062	0.61266	0.41781	0.81121	0.5401	0.79217
ADAMTS14	5	0.029895	0.3592	0.71654	0.93164	0.71945	0.88368
ADAMTS15	5	-0.11575	-0.90413	0.46579	0.84013	0.36593	0.68483
ADAMTS16	5	0.11481	1.2104	0.25014	0.68736	0.22613	0.58501
ADAMTS17	5	0.015035	0.22096	0.81517	0.96073	0.82512	0.92898
ADAMTS18	5	0.054915	0.53079	0.55798	0.87704	0.59556	0.81958
ADAMTS19	5	0.17526	1.3355	0.076252	0.43122	0.1817	0.55099
ADAMTS2	5	0.067916	0.70243	0.4809	0.84668	0.48241	0.75907
ADAMTS20	5	-0.14131	-1.3602	0.37426	0.78561	0.17376	0.54487
ADAMTS3	5	0.016647	0.10036	0.80407	0.95641	0.92006	0.96988
ADAMTS4	5	-0.061918	-0.78165	0.71143	0.93002	0.43442	0.72825
ADAMTS5	5	0.10383	1.3659	0.29785	0.73075	0.17197	0.54343
ADAMTS6	5	0.13766	1.1816	0.16333	0.58135	0.23736	0.59319
ADAMTS7	5	0.041046	0.4253	0.6439	0.90969	0.67061	0.85874
ADAMTS8	5	-0.10928	-1.253	0.49	0.84975	0.21021	0.57402
ADAMTS9	5	-0.014563	-0.1458	0.99261	0.99827	0.88408	0.9557
ADAMTSL1	5	0.27866	1.8141	0.0042764	0.080882	0.069655	0.44219
ADAMTSL2	5	-0.012861	-0.14297	0.99689	0.99967	0.88631	0.95654
ADAMTSL3	5	0.034887	0.45213	0.68288	0.92098	0.65117	0.84969
ADAMTSL4	5	-0.11682	-1.0647	0.46207	0.83756	0.28699	0.62759
ADAMTSL5	5	-0.15562	-1.7285	0.32956	0.7519	0.083899	0.4639
ADAP1	5	0.049579	0.51784	0.59147	0.89116	0.60457	0.82481
ADAP2	5	-0.084564	-0.53063	0.59874	0.89269	0.59568	0.81963
ADAR	5	0.12383	1.0344	0.2146	0.64805	0.30097	0.63734
ADARB1	5	0.15169	1.5174	0.12574	0.53046	0.12917	0.50394
ADARB2	5	0.19781	1.8354	0.04393	0.33082	0.066443	0.43784
ADAT1	5	-0.033994	-0.31605	0.87115	0.97235	0.75197	0.8981
ADAT2	5	-0.049929	-0.67682	0.7768	0.94764	0.49852	0.76908
ADAT3	5	0.090246	1.0382	0.35966	0.77446	0.29917	0.63656
ADC	5	0.14114	1.4811	0.153	0.56536	0.13857	0.51307
ADCK1	5	0.12515	1.1252	0.2096	0.6453	0.26049	0.61118
ADCK2	5	-0.10016	-1.0039	0.53043	0.86734	0.31543	0.64659
ADCK3	5	0.048406	0.80601	0.59825	0.89253	0.42024	0.71861
ADCK4	5	0.059197	0.58899	0.53232	0.86884	0.55587	0.80001
ADCK5	5	-0.14397	-1.2893	0.36582	0.77971	0.1973	0.5635
ADCY1	5	0.014946	0.33695	0.81589	0.9612	0.73616	0.89153
ADCY10	5	0.076349	0.74216	0.43219	0.81882	0.45799	0.74202
ADCY2	5	0.090591	0.5904	0.35788	0.77299	0.55492	0.79932
ADCY3	5	-0.096087	-1.2349	0.54793	0.87448	0.21686	0.5786
ADCY4	5	0.082928	0.79626	0.39864	0.80051	0.42588	0.72201
ADCY5	5	0.037722	0.35588	0.664	0.91552	0.72193	0.88548
ADCY6	5	-0.1568	-1.5446	0.32645	0.75022	0.12245	0.49974
ADCY7	5	0.064651	1.2649	0.49894	0.85383	0.20591	0.56967
ADCY8	5	-0.094578	-1.1653	0.55493	0.87666	0.2439	0.59872
ADCY9	5	0.031268	0.37807	0.70715	0.92894	0.70538	0.87684
ADCYAP1	5	0.16046	1.5005	0.10558	0.49738	0.13349	0.50839
ADCYAP1R1	5	0.0041692	0.029704	0.8862	0.97543	0.9763	0.99033
ADD1	5	-0.040274	-0.36984	0.83339	0.9654	0.7115	0.87931
ADD2	4	0.12675	0.91189	0.25042	0.68745	0.36183	0.68188
ADD3	5	0.14865	1.3981	0.13257	0.54005	0.16209	0.53463
ADH1A	5	0.0017661	0.016092	0.90209	0.97861	0.98716	0.99573
ADH1B	5	-0.02843	-0.29506	0.9052	0.97968	0.76795	0.90464
ADH4	5	0.10574	0.60223	0.28896	0.72546	0.54702	0.79522
ADH5	3	-0.77812	-2.4711	0.0043319	0.081505	0.013471	0.20928
ADH6	5	-0.19579	-1.8971	0.22698	0.66197	0.057813	0.42285
ADH7	5	0.023271	0.1937	0.75947	0.94487	0.84641	0.93945
ADHFE1	5	-0.13925	-1.3694	0.38137	0.79042	0.17087	0.5432
ADI1	5	-0.0087756	-0.065892	0.97051	0.99391	0.94746	0.97902
ADIG	5	0.061193	0.47677	0.52038	0.86364	0.63353	0.84046
ADIPOQ	5	0.2796	1.4417	0.0042208	0.080169	0.1494	0.52343
ADIPOR1	5	-0.0036168	-0.030268	0.93708	0.9869	0.97585	0.99033
ADIPOR2	5	0.12174	1.195	0.22293	0.65749	0.23208	0.59004
ADIRF	5	0.1161	1.1313	0.2447	0.68309	0.25792	0.60907
ADK	5	0.048689	0.34953	0.59691	0.89229	0.7267	0.88807
ADM	5	0.1029	1.4391	0.3019	0.73284	0.15012	0.52344
ADM2	5	0.17089	1.2304	0.084472	0.44973	0.21855	0.57899
ADM5	5	-0.030005	-0.47712	0.89615	0.97753	0.63328	0.84036
ADNP	5	-0.083664	-1.3925	0.60308	0.89514	0.16376	0.53642
ADNP2	5	0.056306	0.43475	0.54948	0.87448	0.66375	0.85557
ADO	5	0.073178	0.87309	0.44952	0.82947	0.38262	0.69205
ADORA1	5	0.017758	0.1862	0.79585	0.95406	0.85229	0.94178
ADORA2A	5	-0.043003	-0.58061	0.81789	0.96198	0.5615	0.80357
ADORA2B	5	0.1728	1.6415	0.080917	0.44272	0.10069	0.48066
ADORA3	12	-0.11658	-1.4244	0.29918	0.73081	0.15433	0.52741
ADPGK	5	-0.071757	-0.58481	0.66322	0.91552	0.55867	0.80117
ADPRH	5	0.024734	0.29046	0.74914	0.94059	0.77146	0.90601
ADPRHL1	5	0.02187	0.21193	0.76863	0.94626	0.83216	0.93271
ADPRHL2	5	-0.018143	-0.1799	0.96879	0.99385	0.85723	0.94406
ADPRM	5	0.019001	0.15506	0.78735	0.95122	0.87677	0.9524
ADRA1A	5	0.085119	0.93857	0.38582	0.79286	0.34795	0.67153
ADRA1B	5	0.0079318	0.070876	0.86171	0.97066	0.9435	0.97782
ADRA1D	5	0.09617	0.93974	0.33167	0.75239	0.34735	0.67128
ADRA2A	5	0.17981	2.0144	0.068921	0.41284	0.043967	0.3925
ADRA2B	5	0.039572	0.57203	0.6525	0.9115	0.5673	0.80639
ADRA2C	5	0.041101	0.50446	0.64362	0.90965	0.61393	0.83042
ADRB1	5	0.059137	0.49476	0.53271	0.86884	0.62077	0.83409
ADRB2	5	-0.03255	-0.30247	0.87904	0.97409	0.76229	0.90236
ADRB3	5	0.13558	1.0888	0.16989	0.58953	0.27626	0.62043
ADRBK1	5	-0.17949	-1.3683	0.2648	0.70184	0.17122	0.5432
ADRBK2	5	0.0026368	0.018713	0.89587	0.97753	0.98507	0.99474
ADRM1	5	-0.22082	-1.7029	0.18005	0.60429	0.088579	0.46704
ADSL	5	-0.20751	-1.7843	0.20377	0.63771	0.074383	0.44929
ADSS	5	0.052198	0.30132	0.57509	0.88466	0.76317	0.90257
