Gene	sgRNA	OMM23|beta	OMM23|z	OMM23|p-value	OMM23|fdr	OMM23|wald-p-value	OMM23|wald-fdr
ABCB7	5	-0.33964	-2.1869	0.1063	0.50026	0.02875	0.30869
ABCB8	5	0.062942	0.6322	0.52721	0.88233	0.52726	0.83455
ABCB9	5	0.035296	0.24804	0.7026	0.94828	0.8041	0.94687
ABCC1	5	0.2142	1.4248	0.028879	0.25779	0.15421	0.63604
ABCC10	5	0.015732	0.14178	0.82895	0.97786	0.88725	0.97218
ABCC11	5	-0.080488	-0.73033	0.64901	0.92928	0.46519	0.80534
ABCC12	5	0.015465	0.13478	0.83106	0.97806	0.89278	0.974
ABCC2	5	0.025342	0.22632	0.76613	0.96466	0.82095	0.95227
ABCC3	5	0.11141	0.99281	0.27213	0.7269	0.3208	0.72872
ABCC4	5	0.26037	1.4645	0.0073309	0.10688	0.14305	0.62531
ABCC5	5	0.13321	1.1339	0.18699	0.63266	0.25684	0.69795
ABCC6	10	0.013773	0.16988	0.70188	0.94809	0.86511	0.96643
ABCC8	5	0.15998	1.051	0.10752	0.50351	0.29326	0.71661
ABCC9	5	0.067677	0.67827	0.49994	0.87136	0.4976	0.822
ABCD1	5	0.1167	0.99198	0.24958	0.70377	0.32121	0.72901
ABCD2	5	-0.1102	-1.081	0.53232	0.88535	0.27969	0.71112
ABCD3	5	-0.036415	-0.20093	0.85882	0.97988	0.84075	0.9587
ABCD4	5	0.010743	0.14314	0.86182	0.98017	0.88618	0.972
ABCE1	5	-3.0109	-6.6478	0	0	2.9752e-11	5.3572e-08
ABCF1	5	-0.76406	-2.8788	0.0039431	0.068865	0.0039917	0.06805
ABCF2	5	-0.13616	-1.3139	0.44852	0.84903	0.18887	0.66033
ABCF3	5	0.11552	1.0289	0.25336	0.70575	0.30355	0.72095
ABCG1	5	0.27001	1.4328	0.0057203	0.090589	0.15191	0.63373
ABCG2	5	0.054795	0.70502	0.57731	0.90549	0.4808	0.81404
ABCG4	5	0.1653	1.4498	0.095135	0.47504	0.14713	0.62866
ABCG5	5	0.19978	1.6296	0.042486	0.31902	0.10319	0.5841
ABCG8	5	0.18064	1.4173	0.0677	0.40647	0.15641	0.63716
ABHD1	5	0.20443	1.097	0.036543	0.29154	0.27264	0.7078
ABHD10	5	-0.11415	-0.80081	0.51866	0.87865	0.42324	0.78575
ABHD11	5	-0.039476	-0.39512	0.84416	0.97829	0.69275	0.90684
ABHD12	5	0.04289	0.28722	0.65139	0.92963	0.77395	0.9382
ABHD12B	5	0.18372	1.1581	0.062313	0.38756	0.24681	0.69183
ABHD13	5	0.1268	0.65713	0.20965	0.6598	0.5111	0.82712
ABHD14A	5	0.12261	0.77055	0.22665	0.68293	0.44097	0.79375
ABHD14B	5	-0.018578	-0.1612	0.96051	0.99448	0.87193	0.96797
ABHD15	5	0.036391	0.47804	0.69444	0.94391	0.63262	0.88255
ABHD16A	5	0.047607	0.51614	0.62307	0.92269	0.60576	0.8716
ABHD16B	5	0.14037	1.429	0.16256	0.59796	0.15302	0.63456
ABHD17A	3	0.18305	1.3008	0.15289	0.58535	0.19332	0.66202
ABHD17B	5	-0.020921	-0.090834	0.94618	0.99255	0.92762	0.98219
ABHD17C	5	0.24761	1.2659	0.011274	0.14552	0.20555	0.66696
ABHD2	5	0.20066	1.0557	0.041097	0.3129	0.2911	0.71597
ABHD3	5	0.07949	0.64145	0.4328	0.83906	0.52123	0.83231
ABHD4	5	0.16583	1.032	0.09408	0.47254	0.30206	0.72089
ABHD5	4	0.13552	0.85916	0.23348	0.68952	0.39025	0.771
ABHD6	5	0.18511	1.3522	0.060258	0.38191	0.1763	0.65314
ABHD8	5	0.12028	1.2233	0.23548	0.69157	0.22123	0.67751
ABI1	5	0.015122	0.12903	0.83267	0.97806	0.89734	0.97545
ABI2	5	-0.033748	-0.37985	0.87221	0.98313	0.70406	0.91196
ABI3	5	0.020413	0.24867	0.79923	0.97224	0.80361	0.94679
ABI3BP	5	0.005779	0.034132	0.89315	0.9842	0.97277	0.99236
ABL1	5	0.080644	0.53674	0.42602	0.83464	0.59145	0.86378
ABL2	5	0.16211	1.2415	0.10213	0.49079	0.21442	0.67228
ABLIM1	5	0.050479	0.30139	0.60602	0.91769	0.76312	0.93471
ABLIM2	5	0.15835	1.0712	0.11113	0.51006	0.28406	0.71282
ABLIM3	5	0.17073	0.97196	0.084583	0.44847	0.33107	0.73568
ABR	11	0.13809	1.8	0.035322	0.28597	0.071866	0.52496
ABRA	5	0.13432	0.76626	0.18249	0.624	0.44352	0.79465
ABRACL	4	-0.033456	-0.21271	0.86205	0.98017	0.83155	0.95476
ABT1	5	-0.82715	-3.75	0.0017772	0.036571	0.0001768	0.0062667
ABTB1	5	0.049028	0.3482	0.61452	0.92017	0.72769	0.9206
ABTB2	5	0.18815	1.6173	0.05637	0.37057	0.10582	0.58643
ACAA1	5	0.15187	0.89637	0.12807	0.54284	0.37005	0.75899
ACAA2	5	-0.018694	-0.14888	0.95985	0.99436	0.88165	0.97086
ACACA	5	-0.10821	-0.90343	0.54026	0.88931	0.3663	0.75748
ACACB	5	0.092385	1.1755	0.36449	0.79658	0.23981	0.68757
ACAD10	5	-0.12735	-1.0216	0.47645	0.86121	0.30698	0.72293
ACAD11	5	0.12598	0.93893	0.21304	0.66603	0.34777	0.74651
ACAD8	5	-0.071659	-0.38089	0.68555	0.94085	0.70328	0.91149
ACAD9	5	-0.64742	-3.297	0.009719	0.13288	0.00097722	0.02367
ACADL	5	0.17749	0.98721	0.072587	0.42039	0.32354	0.73067
ACADM	5	0.0087628	0.083479	0.87493	0.98331	0.93347	0.98305
ACADS	5	0.15882	1.5832	0.11024	0.50923	0.11338	0.5965
ACADSB	5	-0.053949	-0.46697	0.77119	0.96627	0.64052	0.886
ACADVL	5	0.089391	0.96411	0.37965	0.80623	0.33499	0.73827
ACAN	5	0.14938	1.3154	0.13562	0.55804	0.18839	0.66033
ACAP1	5	0.27256	1.9971	0.0053871	0.088102	0.04581	0.42536
ACAP2	5	-0.1321	-0.99446	0.46179	0.85449	0.32	0.72872
ACAP3	5	-0.0064593	-0.066356	0.96629	0.99463	0.94709	0.98649
ACAT1	5	-0.05527	-0.24139	0.76425	0.96456	0.80925	0.94916
ACAT2	5	-0.023441	-0.1629	0.93102	0.98897	0.87059	0.96764
ACBD3	5	0.17056	1.5423	0.084972	0.45	0.123	0.60782
ACBD4	5	0.059347	0.63613	0.54926	0.89188	0.52469	0.83306
ACBD5	4	0.13838	0.78939	0.22315	0.67917	0.42988	0.78951
ACBD6	5	0.24312	1.3189	0.012274	0.15034	0.18721	0.65953
ACBD7	5	-0.071962	-0.49286	0.68455	0.94072	0.62211	0.87859
ACCS	5	0.022345	0.24809	0.78729	0.96937	0.80407	0.94687
ACCSL	5	0.1214	0.78491	0.23153	0.68856	0.43251	0.79052
ACD	5	-0.14594	-1.4268	0.41858	0.82996	0.15364	0.63567
ACE	5	-0.017286	-0.14336	0.96895	0.99476	0.88601	0.972
ACE2	5	0.19145	1.0777	0.052316	0.35927	0.28115	0.71184
ACER1	5	-0.29278	-1.4186	0.15139	0.5846	0.156	0.6371
ACER2	5	-0.14353	-1.0187	0.42525	0.83419	0.30834	0.72342
ACER3	5	-0.058283	-0.2925	0.74914	0.96297	0.7699	0.93636
ACHE	4	-0.24191	-1.5472	0.25497	0.70799	0.12182	0.60782
ACIN1	5	-0.48629	-2.938	0.032489	0.27298	0.0033032	0.058533
ACKR2	5	0.12694	0.8825	0.20915	0.6598	0.37751	0.76401
ACKR3	5	0.032454	0.33551	0.72237	0.95527	0.73724	0.92514
ACKR4	5	-0.24974	-1.0561	0.2056	0.65627	0.2909	0.71597
ACLY	5	-0.49668	-3.0439	0.029546	0.26091	0.0023354	0.045558
ACMSD	5	-0.057329	-0.56817	0.75392	0.96333	0.56992	0.85395
ACN9	4	0.038978	0.41019	0.73053	0.95787	0.68167	0.90285
ACO1	5	0.019549	0.14501	0.80473	0.97398	0.8847	0.97174
ACO2	5	-0.32595	-2.2706	0.11846	0.52228	0.02317	0.26361
ACOT1	4	0.039118	0.41648	0.72953	0.95787	0.67706	0.90118
ACOT11	5	0.049482	0.55927	0.61191	0.91855	0.57598	0.85731
ACOT12	5	-0.13911	-1.2132	0.43885	0.84273	0.22507	0.67969
ACOT13	4	0.12385	0.7859	0.28046	0.73701	0.43193	0.79032
ACOT2	4	-0.097821	-0.73448	0.58425	0.90833	0.46266	0.80431
ACOT4	5	-0.0062398	-0.048616	0.96507	0.99463	0.96123	0.99108
ACOT6	5	0.099209	0.41094	0.33039	0.77896	0.68112	0.90285
ACOT7	5	0.14528	1.3413	0.14751	0.5772	0.17983	0.65317
ACOT8	5	0.18299	1.5411	0.063479	0.39157	0.12329	0.60782
ACOT9	5	0.14719	0.6615	0.14184	0.56793	0.50829	0.82628
ACOX1	5	-0.10511	-1.1027	0.54993	0.892	0.27015	0.70611
ACOX2	5	0.063978	1.0615	0.52105	0.87986	0.28845	0.71588
ACOX3	5	0.13701	1.1925	0.17428	0.61388	0.23305	0.68342
ACOXL	5	-0.22048	-1.8414	0.25225	0.70548	0.06557	0.5057
ACP1	10	0.15991	1.7153	0.021548	0.21664	0.086294	0.56303
ACP2	4	0.0049563	0.041508	0.92608	0.98797	0.96689	0.99217
ACP5	5	0.063347	0.65451	0.52477	0.88191	0.51278	0.82794
ACP6	5	-0.030191	-0.31373	0.89004	0.98361	0.75373	0.93123
ACPL2	5	-0.042366	-0.32045	0.82734	0.97786	0.74863	0.92925
ACPP	5	0.025271	0.30636	0.76636	0.96466	0.75933	0.93353
ACPT	5	0.097341	0.85633	0.33905	0.78398	0.39182	0.77258
ACR	5	-0.025975	-0.24807	0.91536	0.98659	0.80408	0.94687
ACRBP	5	0.21196	1.3098	0.030379	0.26463	0.19027	0.66134
ACRC	5	-0.044092	-0.33624	0.81806	0.97557	0.73669	0.92477
ACRV1	5	0.085515	0.93602	0.39981	0.82049	0.34926	0.74702
ACSBG1	5	0.053635	0.54956	0.58542	0.90893	0.58262	0.86016
ACSBG2	5	0.046925	0.42041	0.62662	0.92332	0.67419	0.89956
ACSF2	5	-0.050123	-0.45988	0.78918	0.96997	0.64561	0.88793
ACSF3	5	0.09748	0.92061	0.33839	0.78377	0.35725	0.75061
ACSL1	5	0.14275	0.77469	0.15511	0.58685	0.43852	0.79309
ACSL3	5	-0.095431	-0.61945	0.58653	0.90914	0.53562	0.83835
ACSL4	5	0.086561	0.73993	0.39409	0.81605	0.45934	0.80199
ACSL5	5	-0.0017113	-0.011019	0.93858	0.99068	0.99121	0.9976
ACSL6	5	0.015161	0.15629	0.83261	0.97806	0.8758	0.96922
ACSM1	4	-0.022977	-0.16076	0.91753	0.98715	0.87229	0.96797
ACSM2A	5	0.093428	0.77977	0.35882	0.79425	0.43553	0.79165
ACSM2B	4	0.061258	0.42266	0.59563	0.91432	0.67255	0.89916
ACSM3	5	0.18733	1.0446	0.057703	0.37618	0.29622	0.71715
ACSM4	5	0.083384	0.70351	0.41075	0.82683	0.48174	0.8143
ACSM5	5	0.055103	0.67779	0.57481	0.90347	0.49791	0.82209
ACSS1	5	0.28817	1.8789	0.0030545	0.056237	0.060263	0.48856
ACSS2	5	0.14921	1.1883	0.13601	0.559	0.23473	0.68367
ACSS3	5	0.20133	1.546	0.040264	0.30904	0.1221	0.60782
ACTA1	5	0.051141	0.54857	0.60174	0.91638	0.5833	0.86016
ACTA2	5	0.055351	0.43059	0.57359	0.90281	0.66676	0.89709
ACTB	4	-0.1231	-0.98083	0.50239	0.87264	0.32668	0.7334
ACTBL2	5	0.12667	1.1061	0.20993	0.6598	0.26868	0.70492
ACTC1	5	0.13708	1.1369	0.17416	0.61382	0.25559	0.69698
ACTG1	5	-0.331	-1.9597	0.11424	0.51489	0.050036	0.44696
ACTG2	6	0.056041	0.65134	0.52449	0.88191	0.51483	0.82911
ACTL10	5	0.19645	1.5431	0.045818	0.33441	0.12282	0.60782
ACTL6A	5	-2.1395	-5.3985	0	0	6.7184e-08	1.5619e-05
ACTL6B	5	0.2434	1.704	0.012274	0.15034	0.088373	0.56628
ACTL7A	5	0.012877	0.13493	0.84683	0.97829	0.89266	0.974
ACTL7B	5	0.074692	0.62183	0.45868	0.8524	0.53405	0.8374
ACTL8	5	0.10153	0.90067	0.31878	0.77171	0.36777	0.75817
ACTL9	5	0.18665	1.843	0.058481	0.37764	0.065327	0.50523
ACTN1	5	-0.021863	-0.17513	0.94052	0.99122	0.86098	0.96514
ACTN2	5	0.067069	0.51861	0.50378	0.87272	0.60404	0.87025
ACTN4	5	-0.00063008	-0.0065527	0.93102	0.98897	0.99477	0.99815
ACTR10	5	-0.65753	-2.7245	0.0087749	0.12286	0.0064396	0.098347
ACTR1A	5	-0.36674	-2.3804	0.08686	0.45571	0.017293	0.21011
ACTR1B	5	-0.18696	-1.6339	0.31745	0.76962	0.10228	0.58371
ACTR2	5	-0.77142	-2.7035	0.0037765	0.066863	0.0068618	0.10279
ACTR3	5	-0.59019	-2.7328	0.014162	0.16537	0.0062806	0.096253
ACTR3B	5	0.14527	0.67298	0.14751	0.5772	0.50096	0.8226
ACTR3C	5	-0.15009	-1.0894	0.40748	0.82373	0.27597	0.70845
ACTR5	5	-0.052926	-0.52726	0.77591	0.96705	0.59801	0.8669
ACTR6	5	-0.46428	-1.7797	0.038987	0.30332	0.075125	0.53361
ACTR8	5	-0.34284	-2.108	0.10347	0.49299	0.035029	0.35674
ACTRT1	5	0.088498	0.6158	0.38443	0.80966	0.53802	0.83914
ACTRT2	5	0.13038	0.89077	0.1971	0.64553	0.37305	0.76074
ACTRT3	5	-0.012378	-0.084374	0.99817	0.99939	0.93276	0.98302
ACVR1	5	-0.053829	-0.32485	0.77158	0.96627	0.7453	0.92739
ACVR1B	5	0.20653	0.84521	0.0346	0.28139	0.39799	0.77659
ACVR1C	5	-0.13002	-0.83233	0.46829	0.85713	0.40522	0.7797
ACVR2A	5	-0.23652	-1.1903	0.22487	0.6805	0.23392	0.68342
ACVR2B	5	0.18095	1.5114	0.066867	0.40335	0.13068	0.61467
ACVRL1	5	0.13392	1.4751	0.18411	0.62665	0.1402	0.62284
ACY1	5	0.12441	0.87497	0.2197	0.67382	0.38159	0.76599
ACY3	5	0.0011479	0.013123	0.9208	0.98721	0.98953	0.9974
ACYP1	5	0.05206	0.60281	0.59586	0.91432	0.54664	0.84276
ACYP2	5	0.05168	0.46713	0.59858	0.91517	0.6404	0.886
ADA	5	0.088062	0.74731	0.38637	0.81065	0.45488	0.79949
ADAD1	5	-0.031616	-0.13485	0.88237	0.98354	0.89273	0.974
ADAD2	5	0.021234	0.13697	0.79396	0.97054	0.89106	0.97364
ADAL	5	-0.0020411	-0.014716	0.94041	0.99122	0.98826	0.99684
ADAM10	5	0.13756	1.117	0.17272	0.61204	0.26399	0.70184
ADAM11	5	-0.14055	-1.1816	0.43436	0.83982	0.23736	0.68576
ADAM12	5	0.0076433	0.06884	0.88187	0.98354	0.94512	0.98616
ADAM15	5	-0.019013	-0.19405	0.95818	0.99412	0.84614	0.96028
ADAM17	5	0.079786	0.71764	0.43125	0.83801	0.47298	0.80924
ADAM18	4	0.31463	0.97844	0.0034433	0.062374	0.32786	0.73443
ADAM19	5	0.21273	1.9383	0.029879	0.26244	0.052581	0.45475
ADAM2	5	-0.16419	-0.60313	0.37015	0.79909	0.54642	0.84275
ADAM20	5	-0.075263	-0.54399	0.66889	0.93502	0.58645	0.86157
ADAM21	5	-0.1742	-1.0512	0.34427	0.78664	0.29316	0.71661
ADAM22	5	0.043117	0.25702	0.64939	0.92928	0.79717	0.94471
ADAM23	5	-0.097694	-1.0368	0.58008	0.9065	0.29981	0.71923
ADAM28	5	0.10966	0.86955	0.28013	0.7365	0.38455	0.76798
ADAM29	5	0.079975	0.53439	0.4303	0.83708	0.59307	0.86468
ADAM30	5	0.041203	0.37233	0.66289	0.93339	0.70965	0.91405
ADAM32	5	0.17358	0.87886	0.07914	0.43551	0.37948	0.76507
ADAM33	5	0.20844	1.0825	0.032989	0.27432	0.27903	0.71104
ADAM7	5	0.18956	0.96203	0.054315	0.36411	0.33604	0.73841
ADAM8	4	0.11615	1.2312	0.31312	0.76768	0.21824	0.67542
ADAM9	5	0.10045	0.73941	0.325	0.77708	0.45966	0.80222
ADAMDEC1	5	0.05341	0.54385	0.5868	0.90914	0.58654	0.86157
ADAMTS1	5	0.094155	1.0586	0.35571	0.79334	0.2898	0.71589
ADAMTS10	5	-0.057645	-0.38901	0.75208	0.96329	0.69727	0.90775
ADAMTS12	5	0.22849	2.0624	0.019105	0.20176	0.039174	0.38565
ADAMTS13	5	0.063566	0.2974	0.52377	0.88173	0.76616	0.93502
ADAMTS14	5	0.066769	0.44284	0.50566	0.87272	0.65788	0.89303
ADAMTS15	5	0.099399	1.1432	0.32939	0.77835	0.25297	0.69574
ADAMTS16	5	0.34745	1.495	0.0004443	0.012924	0.13493	0.61864
ADAMTS17	5	0.035138	0.30923	0.70393	0.94844	0.75714	0.93278
ADAMTS18	5	0.025315	0.21878	0.76619	0.96466	0.82682	0.9537
ADAMTS19	5	0.13032	1.2299	0.19727	0.64553	0.21873	0.67554
ADAMTS2	5	0.23705	1.8177	0.014773	0.1704	0.069103	0.51673
ADAMTS20	5	-0.073761	-0.59371	0.67572	0.93731	0.5527	0.84569
ADAMTS3	5	-0.16895	-1.1137	0.35599	0.79334	0.26543	0.70229
ADAMTS4	5	-0.095177	-0.98991	0.58758	0.90925	0.32222	0.72956
ADAMTS5	5	0.15264	1.0981	0.12562	0.53742	0.27217	0.70772
ADAMTS6	5	0.23419	1.2923	0.015995	0.17933	0.19627	0.66451
ADAMTS7	5	0.069583	0.50163	0.4895	0.86795	0.61593	0.87699
ADAMTS8	5	0.083049	1.2168	0.41297	0.82834	0.2237	0.67924
ADAMTS9	5	-0.040313	-0.31313	0.83939	0.97829	0.75418	0.93135
ADAMTSL1	5	0.1798	1.3687	0.069088	0.4107	0.17109	0.65045
ADAMTSL2	5	0.11407	1.0586	0.25947	0.7123	0.2898	0.71589
ADAMTSL3	5	-0.044331	-0.51988	0.81673	0.97526	0.60315	0.8697
ADAMTSL4	5	-0.19191	-1.2794	0.3084	0.76333	0.20075	0.66598
ADAMTSL5	5	-0.0020433	-0.020073	0.94046	0.99122	0.98398	0.99571
ADAP1	5	0.15394	1.2717	0.12246	0.5308	0.20348	0.66696
ADAP2	5	-0.013977	-0.087861	0.98878	0.99675	0.92999	0.98248
ADAR	5	-0.58358	-2.829	0.015051	0.17281	0.004669	0.076428
ADARB1	5	0.19796	1.6029	0.044374	0.328	0.10895	0.58908
ADARB2	5	0.19846	1.6237	0.043708	0.3244	0.10445	0.5853
ADAT1	5	-0.096467	-0.62311	0.58358	0.9079	0.53321	0.83709
ADAT2	5	-0.051268	-0.47217	0.78368	0.9689	0.6368	0.88413
ADAT3	5	-0.13958	-1.0626	0.43697	0.84119	0.28795	0.71554
ADC	5	-0.04577	-0.41376	0.81073	0.9745	0.67905	0.90198
ADCK1	5	0.13591	1.201	0.17727	0.61634	0.22976	0.68157
ADCK2	5	-0.076345	-0.57041	0.66489	0.93403	0.5684	0.85304
ADCK3	5	0.042933	0.40402	0.65106	0.92963	0.6862	0.90468
ADCK4	5	-0.13624	-1.3976	0.44835	0.84903	0.16222	0.64488
ADCK5	5	0.1196	1.0194	0.23809	0.69462	0.30799	0.72342
ADCY1	5	0.093195	0.55973	0.36016	0.79439	0.57566	0.85721
ADCY10	5	0.083201	0.68491	0.41192	0.8277	0.4934	0.82069
ADCY2	5	0.18527	1.5137	0.05998	0.3819	0.1301	0.61419
ADCY3	5	-0.0040563	-0.039627	0.95302	0.99343	0.96839	0.99228
ADCY4	5	-0.072625	-0.64043	0.68188	0.93987	0.52189	0.83231
ADCY5	5	0.024178	0.19144	0.77358	0.96673	0.84818	0.96114
ADCY6	5	-0.044937	-0.47438	0.81434	0.97463	0.63523	0.88378
ADCY7	5	-0.0072002	-0.081266	0.97062	0.99482	0.93523	0.98366
ADCY8	5	0.024118	0.17759	0.77396	0.96673	0.85905	0.96447
ADCY9	5	0.097103	0.81757	0.33989	0.78413	0.41361	0.7826
ADCYAP1	5	0.16788	1.3186	0.090359	0.46499	0.18732	0.65953
ADCYAP1R1	5	0.16738	0.97807	0.091247	0.46689	0.32804	0.73457
ADD1	5	0.017297	0.10425	0.82012	0.97594	0.91697	0.9799
ADD2	4	0.065704	0.57989	0.56998	0.9024	0.56199	0.84942
ADD3	5	0.012074	0.061501	0.85183	0.97844	0.95096	0.9884
ADH1A	5	-0.073584	-0.55123	0.67655	0.93731	0.58148	0.85994
ADH1B	5	0.063747	0.58141	0.52271	0.88144	0.56097	0.849
ADH4	5	0.062775	0.47468	0.52832	0.88345	0.63501	0.88373
ADH5	3	-0.2354	-0.78506	0.28813	0.74444	0.43242	0.79052
ADH6	5	-0.036644	-0.37032	0.85783	0.97977	0.71114	0.91475
ADH7	5	0.31258	1.6397	0.0011663	0.02665	0.10107	0.58368
ADHFE1	5	-0.039522	-0.34799	0.84383	0.97829	0.72785	0.9206
ADI1	5	0.044441	0.30531	0.64129	0.92807	0.76013	0.93372
ADIG	5	0.092313	0.57611	0.36488	0.79683	0.56454	0.85078
ADIPOQ	5	0.19501	1.0881	0.047595	0.34157	0.27656	0.70845
ADIPOR1	5	0.11565	0.83035	0.25297	0.70548	0.40634	0.77995
ADIPOR2	5	-0.019968	-0.16897	0.9524	0.99343	0.86582	0.96643
ADIRF	5	-0.062318	-0.96868	0.73081	0.95787	0.3327	0.73632
ADK	5	-0.10661	-0.64382	0.54449	0.89021	0.51969	0.83186
ADM	5	0.083559	0.68449	0.4097	0.826	0.49367	0.8207
ADM2	5	0.26983	1.7818	0.0057759	0.091308	0.074776	0.53307
ADM5	5	-0.030222	-0.4453	0.88987	0.98361	0.6561	0.89278
ADNP	5	0.12919	0.91976	0.20093	0.65038	0.3577	0.75089
ADNP2	5	0.030268	0.27852	0.73631	0.95829	0.78061	0.93938
ADO	5	-0.0088221	-0.088392	0.98012	0.99573	0.92957	0.98234
ADORA1	5	0.064178	0.53413	0.51938	0.87895	0.59325	0.86488
ADORA2A	5	0.11764	1.0433	0.24553	0.70041	0.29682	0.71757
ADORA2B	5	0.23839	2.0992	0.014106	0.16494	0.035799	0.36274
ADORA3	12	-0.071405	-0.73571	0.65995	0.93149	0.46191	0.80399
ADPGK	5	0.18072	1.3659	0.067366	0.40514	0.17196	0.65045
ADPRH	5	-0.0099962	-0.074514	0.98578	0.99624	0.9406	0.98514
ADPRHL1	5	0.020652	0.14992	0.79785	0.97179	0.88083	0.97086
ADPRHL2	5	0.020125	0.273	0.80073	0.97314	0.78485	0.94063
ADPRM	5	-0.05289	-0.43874	0.77591	0.96705	0.66085	0.89428
ADRA1A	5	0.20215	1.1686	0.03932	0.30465	0.24257	0.68891
ADRA1B	5	-0.031577	-0.21385	0.88287	0.98354	0.83066	0.95449
ADRA1D	5	0.043607	0.60136	0.64617	0.92887	0.5476	0.84279
ADRA2A	5	0.035362	0.39361	0.70221	0.94825	0.69387	0.90684
ADRA2B	5	-0.088305	-0.73338	0.61613	0.92078	0.46333	0.80461
ADRA2C	5	0.042137	0.34071	0.65639	0.93101	0.73332	0.92286
ADRB1	5	0.06326	0.59983	0.52532	0.88191	0.54862	0.84304
ADRB2	5	-0.37933	-2.427	0.078752	0.43457	0.015223	0.18947
ADRB3	5	0.041285	0.42461	0.66245	0.93327	0.67112	0.89868
ADRBK1	5	-0.042958	-0.39803	0.82428	0.97658	0.69061	0.90595
ADRBK2	5	0.1203	0.88827	0.23537	0.69157	0.3744	0.76165
ADRM1	5	-0.44718	-2.2011	0.044929	0.32993	0.027727	0.30058
ADSL	5	-0.25367	-2.2088	0.19982	0.64911	0.027186	0.29613
ADSS	5	-0.080481	-0.40299	0.64901	0.92928	0.68696	0.90498
