Gene	sgRNA	Mel202|beta	Mel202|z	Mel202|p-value	Mel202|fdr	Mel202|wald-p-value	Mel202|wald-fdr
ABCF3	5	-0.022656	-0.1833	0.98306	0.99623	0.85456	0.94383
ABCG1	5	0.20693	1.783	0.10147	0.43708	0.074588	0.45263
ABCG2	5	0.080122	0.44043	0.50483	0.83349	0.65962	0.86587
ABCG4	5	0.3199	1.8131	0.008997	0.10062	0.06981	0.4409
ABCG5	5	0.20138	1.2516	0.11213	0.46075	0.21071	0.61064
ABCG8	5	0.19467	0.91734	0.12424	0.48254	0.35897	0.70424
ABHD1	5	0.048412	0.28087	0.64678	0.89447	0.77881	0.91464
ABHD10	5	-0.01342	-0.051356	0.94008	0.98678	0.95904	0.98525
ABHD11	5	-0.22483	-1.494	0.35061	0.73268	0.13517	0.54401
ABHD12	5	-0.096899	-0.71083	0.71676	0.92179	0.47719	0.77061
ABHD12B	5	0.23256	1.1139	0.064479	0.34792	0.2653	0.65162
ABHD13	5	0.1487	0.74155	0.24253	0.64744	0.45836	0.76214
ABHD14A	5	0.1305	0.94771	0.30618	0.70368	0.34328	0.69644
ABHD14B	5	0.27274	1.7846	0.028213	0.21599	0.074323	0.45244
ABHD15	5	-0.1744	-1.3209	0.47068	0.81577	0.18654	0.59021
ABHD16A	5	0.10163	0.63248	0.41331	0.77626	0.52707	0.79384
ABHD16B	5	0.12975	1.2629	0.30845	0.70491	0.20661	0.60984
ABHD17A	3	-0.40287	-1.3665	0.20054	0.59697	0.17179	0.57821
ABHD17B	5	0.0025989	0.01578	0.86604	0.97057	0.98741	0.99526
ABHD17C	5	-0.014005	-0.11862	0.94257	0.9871	0.90558	0.96529
ABHD2	5	0.1709	1.0382	0.17922	0.5709	0.29918	0.66922
ABHD3	5	-0.037487	-0.2623	0.94924	0.98895	0.79309	0.92078
ABHD4	5	-0.022181	-0.15725	0.98156	0.99612	0.87505	0.95309
ABHD5	4	0.16295	0.92468	0.25358	0.66021	0.35513	0.70203
ABHD6	5	0.24193	1.3087	0.054204	0.31476	0.19064	0.595
ABHD8	5	0.16316	1.2293	0.19999	0.59662	0.21897	0.61723
ABI1	5	0.10323	0.93331	0.40636	0.7722	0.35066	0.69912
ABI2	5	0.14487	1.0268	0.25569	0.6623	0.30451	0.67314
ABI3	5	0.1785	1.2539	0.16084	0.54453	0.20988	0.61064
ABI3BP	5	-0.088126	-0.63964	0.74703	0.93097	0.52241	0.79232
ABL1	5	0.091192	0.44242	0.45818	0.80842	0.65819	0.86499
ABL2	5	-0.057107	-0.37365	0.8671	0.97057	0.70867	0.88668
ABLIM1	5	0.089105	0.47372	0.46612	0.81217	0.6357	0.85324
ABLIM2	5	0.14002	0.71925	0.27224	0.67623	0.47199	0.76843
ABLIM3	5	0.14234	0.6817	0.2633	0.66869	0.49543	0.7783
ABR	11	0.0060171	0.053849	0.70804	0.91903	0.95706	0.98435
ABRA	5	-0.31735	-2.0935	0.1976	0.5932	0.036305	0.30792
ABRACL	4	0.23669	1.0136	0.091914	0.41677	0.31079	0.67879
ABT1	5	-1.2338	-4.2223	0.00011107	0.0036298	2.4182e-05	0.0016187
ABTB1	5	0.10177	0.59748	0.41231	0.77519	0.55019	0.80369
ABTB2	5	0.20622	1.5067	0.10291	0.44046	0.13188	0.54099
ACAA1	5	0.17795	1.0791	0.16206	0.54603	0.28053	0.66126
ACAA2	5	0.09028	0.7448	0.46146	0.80984	0.45639	0.76154
ACACA	5	0.24883	1.4243	0.047762	0.29432	0.15435	0.56374
ACACB	5	0.0919	0.92044	0.45513	0.80717	0.35734	0.70343
ACAD10	5	-0.27442	-1.5282	0.26097	0.66662	0.12646	0.53466
ACAD11	5	0.21937	1.3536	0.082695	0.39612	0.17588	0.58273
ACAD8	5	0.034303	0.22658	0.71637	0.92155	0.82075	0.93199
ACAD9	5	-0.9641	-3.6866	0.0011663	0.022556	0.00022724	0.0078384
ACADL	5	0.14046	0.88121	0.27097	0.67473	0.3782	0.7148
ACADM	5	0.1849	1.074	0.14412	0.51794	0.28281	0.66126
ACADS	5	0.033539	0.2475	0.71982	0.92321	0.80452	0.92512
ACADSB	5	-0.050985	-0.23511	0.89076	0.97636	0.81413	0.92891
ACADVL	5	-0.056265	-0.35659	0.87038	0.97117	0.7214	0.89011
ACAN	5	0.053844	0.53262	0.6224	0.88533	0.5943	0.82921
ACAP1	5	0.23701	1.6093	0.059591	0.33282	0.10755	0.51038
ACAP2	5	0.1712	0.95258	0.17844	0.57019	0.3408	0.69626
ACAP3	5	-0.16456	-1.0165	0.50011	0.83156	0.30941	0.67774
ACAT1	5	0.004981	0.018597	0.85349	0.96666	0.98516	0.99435
ACAT2	5	-0.083073	-0.51654	0.76552	0.93839	0.60548	0.83599
ACBD3	5	0.029771	0.15452	0.73809	0.92992	0.8772	0.95397
ACBD4	5	0.069355	0.36869	0.55182	0.85361	0.71236	0.88762
ACBD5	4	0.28249	1.2393	0.040653	0.26754	0.21522	0.614
ACBD6	5	0.19895	1.2188	0.11663	0.47001	0.22293	0.61982
ACBD7	5	-0.14916	-0.59021	0.54415	0.84894	0.55505	0.80672
ACCS	5	0.15907	0.87729	0.21054	0.61032	0.38033	0.71597
ACCSL	5	0.14328	0.81552	0.26019	0.66657	0.41477	0.73534
ACD	5	-0.64039	-2.6295	0.018161	0.16366	0.00855	0.10819
ACE	5	-0.1211	-0.67002	0.63157	0.88809	0.50285	0.78189
ACE2	5	0.31716	1.5464	0.0096079	0.10485	0.122	0.53075
ACER1	5	-0.27383	-1.6727	0.26186	0.66742	0.094387	0.48489
ACER2	5	-0.0051287	-0.031497	0.90209	0.97844	0.97487	0.9905
ACER3	5	0.17101	0.51027	0.17894	0.57077	0.60986	0.8373
ACHE	4	-0.3383	-1.3438	0.20782	0.60688	0.17902	0.58348
ACIN1	5	-0.65595	-2.7561	0.015884	0.15029	0.0058502	0.081848
ACKR2	5	0.24783	1.4904	0.048539	0.29698	0.13612	0.54504
ACKR3	5	0.014557	0.11467	0.80884	0.95192	0.90871	0.96653
ACKR4	5	0.027551	0.21097	0.74714	0.93097	0.83291	0.93631
ACLY	5	-0.72968	-3.0932	0.0072754	0.086071	0.0019801	0.037412
ACMSD	5	0.13493	1.0496	0.28963	0.69123	0.29389	0.66732
ACN9	4	-0.18836	-1.6943	0.46012	0.80966	0.090214	0.47671
ACO1	5	0.17297	1.0447	0.17422	0.56299	0.29615	0.66782
ACO2	5	-0.68058	-2.6817	0.012274	0.12593	0.0073253	0.097271
ACOT1	4	-0.072044	-0.57347	0.80234	0.95015	0.56633	0.81336
ACOT11	5	-0.0096798	-0.066275	0.92447	0.98422	0.94716	0.98127
ACOT12	5	0.068635	0.65636	0.55554	0.85564	0.5116	0.78687
ACOT13	4	0.031469	0.17938	0.77974	0.94404	0.85764	0.94516
ACOT2	4	-0.039856	-0.30266	0.92153	0.98346	0.76215	0.90615
ACOT4	5	0.17653	0.67882	0.16578	0.55186	0.49725	0.78006
ACOT6	5	0.27584	1.323	0.025603	0.2029	0.18583	0.5901
ACOT7	5	-0.025073	-0.18033	0.99422	0.99844	0.85689	0.94486
ACOT8	5	0.07236	0.73926	0.53799	0.84647	0.45975	0.76346
ACOT9	5	0.065945	0.28018	0.56864	0.86296	0.77934	0.91478
ACOX1	5	-0.13226	-0.81304	0.59552	0.8747	0.41619	0.73579
ACOX2	5	0.094124	0.74291	0.44535	0.80054	0.45754	0.76196
ACOX3	5	0.10043	0.93519	0.41819	0.78047	0.34969	0.6991
ACOXL	5	0.076843	0.61328	0.51805	0.83689	0.53969	0.79818
ACP1	10	0.30977	2.1761	0.00033322	0.0082759	0.029545	0.26706
ACP2	4	-0.1917	-1.0483	0.45196	0.80467	0.29449	0.66747
ACP5	5	0.1516	0.85429	0.23342	0.63795	0.39294	0.72369
ACP6	5	0.075136	0.42816	0.52566	0.84066	0.66853	0.86946
ACPL2	5	0.12858	0.83097	0.31228	0.70794	0.40599	0.73029
ACPP	5	0.1212	0.7655	0.33622	0.72278	0.44397	0.75439
ACPT	5	0.044993	0.45083	0.66433	0.90152	0.65211	0.86281
ACR	5	-0.071352	-0.44901	0.80934	0.95192	0.65343	0.86296
ACRBP	5	0.17282	1.1345	0.17433	0.56303	0.2566	0.64537
ACRC	5	0.35042	1.3324	0.0038321	0.053822	0.18273	0.58739
ACRV1	5	0.27854	1.2944	0.024214	0.19587	0.19553	0.59826
ACSBG1	5	0.0060411	0.054617	0.84855	0.96519	0.95644	0.98435
ACSBG2	5	0.10148	0.90646	0.4142	0.77728	0.36469	0.7074
ACSF2	5	0.056905	0.43932	0.60835	0.87991	0.66043	0.86615
ACSF3	5	0.15629	0.92769	0.21904	0.62336	0.35357	0.70099
ACSL1	5	0.23326	1.27	0.063645	0.34508	0.20407	0.60796
ACSL3	5	0.16259	1.0356	0.20127	0.59697	0.30038	0.67004
ACSL4	5	0.20517	0.8903	0.10508	0.44486	0.3733	0.71276
ACSL5	5	0.10946	0.63141	0.38193	0.75743	0.52777	0.79384
ACSL6	5	0.08545	0.58227	0.48239	0.8239	0.56039	0.80988
ACSM1	4	0.05045	0.22271	0.69521	0.91179	0.82376	0.93346
ACSM2A	5	0.10536	0.44074	0.39759	0.76665	0.6594	0.86571
ACSM2B	4	-0.018077	-0.1407	0.98823	0.99798	0.8881	0.95823
ACSM3	5	0.1256	0.61815	0.32234	0.71557	0.53648	0.79702
ACSM4	5	0.11652	0.62955	0.35422	0.73581	0.52899	0.79403
ACSM5	5	-0.18192	-1.0731	0.45196	0.80467	0.28321	0.66126
ACSS1	5	0.29063	1.3738	0.018272	0.16417	0.16949	0.57547
ACSS2	5	0.064057	0.51152	0.57675	0.86581	0.60899	0.83697
ACSS3	5	-0.0044711	-0.034768	0.89931	0.97784	0.97226	0.98989
ACTA1	5	-0.070523	-0.53839	0.81356	0.95352	0.59031	0.8273
ACTA2	5	0.078453	0.74824	0.51177	0.83552	0.45432	0.76058
ACTB	4	-0.19424	-1.2727	0.44624	0.8007	0.20311	0.60734
ACTBL2	5	-0.014107	-0.13753	0.94296	0.9871	0.89061	0.95912
ACTC1	5	-0.0080233	-0.043001	0.91658	0.98256	0.9657	0.98745
ACTG1	5	-0.70045	-2.5605	0.0097745	0.1059	0.010452	0.12547
ACTG2	6	0.059387	0.59761	0.55482	0.85517	0.5501	0.80369
ACTL10	5	0.32038	1.3877	0.0089415	0.10019	0.16524	0.57166
ACTL6A	5	-2.0453	-5.2011	0	0	1.9814e-07	6.607e-05
ACTL6B	5	0.052301	0.37205	0.62896	0.88761	0.70986	0.88683
ACTL7A	5	0.018078	0.10664	0.79107	0.94638	0.91508	0.96886
ACTL7B	5	0.25151	1.8279	0.045429	0.28601	0.06756	0.43603
ACTL8	5	0.17756	1.378	0.16306	0.54738	0.16819	0.57422
ACTL9	5	0.16413	1.0096	0.19716	0.59236	0.31267	0.67979
ACTN1	5	0.15096	1.1187	0.23531	0.64018	0.26327	0.64991
ACTN2	5	0.10918	0.6266	0.38276	0.75769	0.53092	0.79412
ACTN4	5	0.14487	1.0284	0.25569	0.6623	0.30376	0.67307
ACTR10	5	-1.5022	-3.8594	0	0	0.00011367	0.0048384
ACTR1A	5	-1.2607	-3.8164	5.5537e-05	0.0021142	0.00013543	0.0054604
ACTR1B	5	0.077844	0.59464	0.51405	0.83574	0.55208	0.80519
ACTR2	5	-0.91488	-2.3325	0.001555	0.028398	0.019675	0.19992
ACTR3	5	-0.32454	-1.3979	0.18755	0.57954	0.16215	0.56907
ACTR3B	5	-0.26934	-1.2875	0.2688	0.67311	0.19793	0.6006
ACTR3C	5	-0.32056	-1.3491	0.19327	0.58714	0.17732	0.58348
ACTR5	5	-0.21343	-1.6273	0.37543	0.7527	0.10368	0.50442
ACTR6	5	-0.89216	-2.147	0.0020549	0.035104	0.031795	0.28175
ACTR8	5	-1.0145	-3.1462	0.00055537	0.012739	0.0016539	0.032634
ACTRT1	5	0.31652	1.4987	0.0096634	0.10514	0.13396	0.5427
ACTRT2	5	0.25781	1.3996	0.039431	0.26394	0.16165	0.56848
ACTRT3	5	-0.13502	-0.52584	0.58764	0.87144	0.599	0.83209
ACVR1	5	0.062736	0.35818	0.58258	0.86852	0.72021	0.89
ACVR1B	5	0.22247	1.0277	0.078752	0.38675	0.30408	0.67314
ACVR1C	5	0.15772	1.0986	0.21454	0.6164	0.27194	0.65608
ACVR2A	5	0.061447	0.25158	0.58797	0.87157	0.80136	0.92371
ACVR2B	5	0.26189	1.8574	0.036321	0.25251	0.063255	0.42362
ACVRL1	5	0.14276	1.1901	0.26147	0.66723	0.23402	0.62974
ACY1	5	0.035457	0.21471	0.71099	0.91995	0.82999	0.93458
ACY3	5	0.11819	0.88265	0.34744	0.73059	0.37742	0.71415
ACYP1	5	0.11827	0.81604	0.34716	0.73059	0.41448	0.73534
ACYP2	5	0.19665	1.5116	0.12052	0.47609	0.13064	0.54004
ADA	5	0.18701	1.0151	0.14006	0.51186	0.31005	0.67822
ADAD1	5	0.25771	0.98637	0.039598	0.26476	0.32395	0.68608
ADAD2	5	0.24007	1.6718	0.056092	0.32095	0.094556	0.4851
ADAL	5	0.052952	0.37537	0.62574	0.88627	0.70739	0.88607
ADAM10	5	0.19635	0.92751	0.12124	0.4782	0.35366	0.70101
ADAM11	5	0.068011	0.40223	0.55815	0.8569	0.68752	0.87736
ADAM12	5	-0.023996	-0.19602	0.98939	0.99815	0.84459	0.93979
ADAM15	5	-0.12424	-1.1106	0.6219	0.88533	0.26674	0.65291
ADAM17	5	0.21531	1.1671	0.088526	0.40803	0.24319	0.63714
ADAM18	4	0.12182	0.5509	0.3937	0.76316	0.5817	0.82163
ADAM19	5	0.086473	0.662	0.4774	0.82026	0.50797	0.78522
ADAM2	5	-0.5328	-1.8289	0.040542	0.26737	0.067409	0.43592
ADAM20	5	0.18848	0.85392	0.13679	0.50596	0.39315	0.72375
ADAM21	5	-0.16899	-0.6762	0.48678	0.82641	0.49892	0.78073
ADAM22	5	-0.042844	-0.46891	0.92719	0.9849	0.63913	0.85518
ADAM23	5	0.24769	1.6542	0.048595	0.29721	0.098091	0.49185
ADAM28	5	-0.091624	-0.83323	0.73464	0.92919	0.40471	0.73029
ADAM29	5	0.072683	0.48211	0.53654	0.84573	0.62973	0.8497
ADAM30	5	-0.10031	-0.43484	0.70371	0.91679	0.66368	0.86754
ADAM32	5	-0.23556	-1.0323	0.329	0.71941	0.30191	0.67139
ADAM33	5	0.097618	0.42927	0.42997	0.78903	0.66772	0.86928
ADAM7	5	-0.15827	-1.295	0.51761	0.83649	0.19534	0.59823
ADAM8	4	0.15848	0.98213	0.26719	0.67196	0.32603	0.68791
ADAM9	5	-0.15216	-1.2712	0.53493	0.84506	0.20365	0.60761
ADAMDEC1	5	-0.25502	-1.2488	0.29196	0.69266	0.21175	0.61101
ADAMTS1	5	0.014189	0.10512	0.8099	0.95214	0.91628	0.96953
ADAMTS10	5	-0.051064	-0.24099	0.89054	0.97636	0.80956	0.92743
ADAMTS12	5	0.11919	0.68399	0.34344	0.72736	0.49398	0.77791
ADAMTS13	5	0.16557	1.0711	0.19321	0.58714	0.28411	0.66197
ADAMTS14	5	0.20349	1.2047	0.10796	0.45187	0.22831	0.62476
ADAMTS15	5	0.20721	1.4326	0.10108	0.43656	0.15197	0.56155
ADAMTS16	5	0.25144	1.6189	0.045485	0.28606	0.10548	0.50781
ADAMTS17	5	0.013081	0.112	0.81534	0.95437	0.91082	0.96734
ADAMTS18	5	0.17745	1.4094	0.16328	0.54738	0.15871	0.56657
ADAMTS19	5	0.21824	1.2494	0.083972	0.39873	0.2115	0.61064
ADAMTS2	5	0.052726	0.307	0.62735	0.88723	0.75884	0.90447
ADAMTS20	5	-0.04566	-0.35773	0.91436	0.9821	0.72055	0.89011
ADAMTS3	5	0.045461	0.28314	0.66211	0.90089	0.77707	0.91385
ADAMTS4	5	-0.26504	-2.2653	0.27569	0.67953	0.023497	0.22881
ADAMTS5	5	0.14149	1.2106	0.26691	0.67196	0.22605	0.62279
ADAMTS6	5	0.18954	0.75386	0.13457	0.50228	0.45093	0.75918
ADAMTS7	5	-0.12826	-1.045	0.6088	0.87994	0.29604	0.66782
ADAMTS8	5	0.17347	1.2603	0.17305	0.56144	0.20756	0.60999
ADAMTS9	5	-0.0063636	-0.054543	0.90786	0.97921	0.9565	0.98435
ADAMTSL1	5	0.35214	1.6498	0.003721	0.052881	0.098978	0.49423
ADAMTSL2	5	0.18429	1.4259	0.1459	0.52019	0.1539	0.56349
ADAMTSL3	5	-0.071901	-0.63458	0.80706	0.95138	0.5257	0.79346
ADAMTSL4	5	-0.36605	-2.2571	0.14267	0.51524	0.024002	0.2321
ADAMTSL5	5	-0.46288	-2.0611	0.070032	0.36348	0.039291	0.32468
ADAP1	5	0.056239	0.52431	0.61113	0.87994	0.60007	0.83278
ADAP2	5	-0.055719	-0.20501	0.87243	0.97138	0.83757	0.93777
ADAR	5	-0.15065	-0.70678	0.5396	0.84701	0.4797	0.77107
ADARB1	5	0.053432	0.40201	0.62413	0.88579	0.68768	0.87736
ADARB2	5	0.10353	0.6088	0.40509	0.77188	0.54266	0.79926
ADAT1	5	0.092976	0.70921	0.45052	0.80367	0.47819	0.77061
ADAT2	5	0.049403	0.32915	0.64223	0.89216	0.74204	0.89871
ADAT3	5	-0.36246	-2.126	0.14578	0.52019	0.033501	0.29169
ADC	5	0.05406	0.57809	0.6214	0.88521	0.5632	0.81167
ADCK1	5	-0.070946	-0.61536	0.81129	0.95255	0.53832	0.79758
ADCK2	5	-0.42066	-2.2231	0.094246	0.42091	0.026211	0.24615
ADCK3	5	-0.10973	-0.7062	0.66911	0.90173	0.48006	0.77115
ADCK4	5	-0.0067483	-0.057819	0.90986	0.98014	0.95389	0.98412
ADCK5	5	-0.69067	-3.3097	0.011107	0.11669	0.0009341	0.02173
ADCY1	5	-0.059406	-0.64192	0.8586	0.96898	0.52093	0.79158
ADCY10	5	-0.067576	-0.60244	0.82611	0.9585	0.54688	0.80221
ADCY2	5	0.15439	0.94611	0.22504	0.63066	0.34409	0.69644
ADCY3	5	0.069869	0.95845	0.54893	0.85163	0.33784	0.69525
ADCY4	5	0.1079	0.93174	0.38726	0.75992	0.35147	0.69983
ADCY5	5	0.099906	0.86541	0.42053	0.78209	0.38681	0.71967
ADCY6	5	0.081272	0.69853	0.50006	0.83156	0.48485	0.77289
ADCY7	5	0.099766	0.68331	0.42125	0.78259	0.49441	0.77818
ADCY8	5	-0.47399	-1.9138	0.064367	0.34773	0.055647	0.3962
ADCY9	5	-0.052067	-0.35817	0.88643	0.97534	0.72022	0.89
ADCYAP1	5	0.025169	0.20952	0.75758	0.9347	0.83404	0.93654
ADCYAP1R1	5	0.11742	0.85039	0.35066	0.73268	0.39511	0.72462
ADD1	5	-0.11485	-0.64046	0.65012	0.89622	0.52188	0.79209
ADD2	4	0.12118	0.61641	0.39581	0.76494	0.53762	0.79746
ADD3	5	0.10358	0.46594	0.40487	0.77167	0.64126	0.85669
ADH1A	5	-0.099252	-0.61287	0.70799	0.91903	0.53996	0.79818
ADH1B	5	0.0093965	0.088218	0.8335	0.96082	0.9297	0.97456
ADH4	5	0.18288	1.1084	0.14951	0.52476	0.26768	0.65317
ADH5	3	-0.41751	-1.4376	0.18777	0.57993	0.15056	0.56001
ADH6	5	-0.095376	-0.53057	0.72209	0.92411	0.59571	0.82996
ADH7	5	0.11327	0.93899	0.36754	0.74836	0.34774	0.69827
ADHFE1	5	-0.48681	-2.1153	0.057703	0.32611	0.034407	0.29757
ADI1	5	0.0066604	0.028504	0.84577	0.96417	0.97726	0.99148
ADIG	5	-0.070716	-0.36474	0.81262	0.9531	0.71531	0.88851
ADIPOQ	5	0.21659	1.2278	0.086471	0.40447	0.21951	0.61738
ADIPOR1	5	0.17609	1.1195	0.16694	0.55318	0.26293	0.6497
ADIPOR2	5	0.028959	0.13276	0.74197	0.93097	0.89438	0.96041
ADIRF	5	-0.075687	-0.43874	0.7929	0.947	0.66085	0.86628
ADK	5	0.13285	0.96212	0.2974	0.69763	0.33599	0.69392
ADM	5	-0.034601	-0.33814	0.96107	0.99169	0.73526	0.89581
ADM2	5	0.18918	1.03	0.1354	0.5033	0.30302	0.67209
ADM5	5	0.020336	0.12106	0.78207	0.94447	0.90365	0.96415
ADNP	5	-0.0019739	-0.017938	0.88726	0.97534	0.98569	0.99447
ADNP2	5	-0.10537	-0.52208	0.68477	0.9089	0.60161	0.83341
ADO	5	0.16429	0.92037	0.19666	0.59232	0.35738	0.70343
ADORA1	5	-0.11622	-0.90387	0.64617	0.89445	0.36606	0.70801
ADORA2A	5	0.066058	0.4259	0.5682	0.86257	0.67018	0.87029
ADORA2B	5	0.20883	1.3128	0.098634	0.4295	0.18926	0.59253
ADORA3	12	0.090804	0.86416	0.22504	0.63066	0.3875	0.71994
ADPGK	5	0.024325	0.25965	0.76202	0.9364	0.79514	0.9216
ADPRH	5	0.16011	1.1485	0.20776	0.60688	0.25076	0.64263
ADPRHL1	5	-0.058394	-0.42037	0.86216	0.96989	0.67421	0.87141
ADPRHL2	5	-0.058211	-0.33028	0.8631	0.97031	0.74119	0.89832
ADPRM	5	-0.069606	-0.45098	0.81828	0.95533	0.65201	0.86277
ADRA1A	5	-0.19188	-1.3049	0.42541	0.78637	0.19194	0.5964
ADRA1B	5	-0.020648	-0.12458	0.97395	0.99428	0.90086	0.96317
ADRA1D	5	-0.027218	-0.20421	0.995	0.99844	0.83819	0.93788
ADRA2A	5	0.02668	0.1919	0.75069	0.93227	0.84782	0.941
ADRA2B	5	0.071886	0.56865	0.53993	0.84745	0.56959	0.81443
ADRA2C	5	-0.035952	-0.22165	0.95596	0.99119	0.82459	0.93366
ADRB1	5	0.2522	1.875	0.044874	0.28431	0.060787	0.41664
ADRB2	5	0.12492	1.5304	0.32461	0.71744	0.12591	0.5344
ADRB3	5	-0.27381	-1.8195	0.26186	0.66742	0.068832	0.43905
ADRBK1	5	-0.025269	-0.18723	0.99556	0.99844	0.85148	0.94284
ADRBK2	5	0.12818	1.0316	0.3134	0.70856	0.30225	0.67147
ADRM1	5	-0.53374	-2.2574	0.040264	0.26684	0.023982	0.23204
ADSL	5	-0.33448	-1.6322	0.17511	0.56372	0.10264	0.50278
