Gene	sgRNA	Mel285|beta	Mel285|z	Mel285|p-value	Mel285|fdr	Mel285|wald-p-value	Mel285|wald-fdr
ADAM32	5	0.10543	0.32561	0.55309	0.88567	0.74472	0.93404
ADAM33	5	-0.038336	-0.17912	0.67888	0.92413	0.85784	0.96259
ADAM7	5	0.27823	1.2307	0.05426	0.39894	0.21844	0.80175
ADAM8	4	0.333	1.4892	0.036988	0.33218	0.13644	0.80175
ADAM9	5	0.12711	0.80075	0.44707	0.8366	0.42327	0.83968
ADAMDEC1	5	0.23583	1.1832	0.11146	0.5305	0.23673	0.80175
ADAMTS1	5	-0.066286	-0.42005	0.54687	0.88352	0.67445	0.90995
ADAMTS10	5	0.20665	1.2703	0.17222	0.62783	0.20397	0.80175
ADAMTS12	5	0.077103	0.58694	0.69916	0.92897	0.55724	0.87429
ADAMTS13	5	0.041766	0.18954	0.8982	0.9809	0.84967	0.96136
ADAMTS14	5	0.019835	0.12494	0.98328	0.99568	0.90057	0.9741
ADAMTS15	5	0.090528	0.78539	0.62879	0.913	0.43223	0.8406
ADAMTS16	5	0.061579	0.50001	0.78557	0.95251	0.61707	0.89427
ADAMTS17	5	0.067238	0.36964	0.75436	0.94368	0.71165	0.92445
ADAMTS18	5	0.1401	1.0158	0.3902	0.80144	0.30971	0.81715
ADAMTS19	5	0.18721	1.0325	0.22376	0.68631	0.30185	0.81659
ADAMTS2	5	0.062286	0.39482	0.78179	0.95153	0.69298	0.91668
ADAMTS20	5	0.04477	0.30229	0.88115	0.97668	0.76243	0.93866
ADAMTS3	5	-0.15678	-1.0308	0.24953	0.71182	0.30264	0.81659
ADAMTS4	5	-0.028104	-0.24904	0.72809	0.93547	0.80333	0.94998
ADAMTS5	5	0.23551	1.2513	0.11207	0.53189	0.21082	0.80175
ADAMTS6	5	-0.09943	-0.45878	0.41786	0.81729	0.64639	0.90413
ADAMTS7	5	0.13564	0.7395	0.40964	0.81216	0.4596	0.85017
ADAMTS8	5	0.082757	0.39772	0.66894	0.92274	0.69084	0.91581
ADAMTS9	5	-0.077607	-0.52865	0.49917	0.86406	0.59705	0.88671
ADAMTSL1	5	0.2609	1.3324	0.07242	0.446	0.18273	0.80175
ADAMTSL2	5	0.002355	0.017559	0.89115	0.97895	0.98599	0.99685
ADAMTSL3	5	0.11602	0.93999	0.50128	0.86493	0.34722	0.82419
ADAMTSL4	5	-0.10012	-0.77765	0.41597	0.81681	0.43677	0.84236
ADAMTSL5	5	-0.11615	-0.6342	0.36199	0.7872	0.52595	0.86917
ADAP1	5	0.04907	0.35921	0.85599	0.97053	0.71944	0.92701
ADAP2	5	-0.15603	-0.66663	0.25125	0.71255	0.50501	0.86503
ADAR	5	-0.31185	-1.8207	0.046984	0.37024	0.068652	0.80175
ADARB1	5	0.12941	0.67431	0.43674	0.83015	0.50012	0.86369
ADARB2	5	0.21262	1.1158	0.15834	0.61075	0.26452	0.80777
ADAT1	5	0.054602	0.27541	0.82456	0.96484	0.783	0.94401
ADAT2	5	0.051039	0.36521	0.84505	0.96948	0.71496	0.92522
ADAT3	5	-0.12513	-0.88948	0.33555	0.77491	0.37375	0.83075
ADC	5	0.22123	1.05	0.13995	0.58078	0.29374	0.81434
ADCK1	5	0.078578	0.56416	0.69088	0.92678	0.57265	0.87763
ADCK2	5	0.21736	1.4328	0.1479	0.59588	0.15191	0.80175
ADCK3	5	-0.050836	-0.34375	0.6214	0.9099	0.73104	0.93132
ADCK4	5	0.17503	1.2827	0.26252	0.7226	0.19959	0.80175
ADCK5	5	0.094115	0.72868	0.60913	0.90675	0.4662	0.85109
ADCY1	5	0.1897	0.76681	0.21637	0.67915	0.4432	0.84415
ADCY10	5	-0.16365	-1.4415	0.23165	0.69633	0.14944	0.80175
ADCY2	5	0.22748	1.0418	0.1264	0.55485	0.29751	0.81494
ADCY3	5	-0.098475	-0.71369	0.42136	0.81983	0.47542	0.85553
ADCY4	5	0.0065811	0.047515	0.9147	0.98522	0.9621	0.99122
ADCY5	5	0.17436	1.5089	0.26413	0.7228	0.13132	0.80175
ADCY6	5	-0.0083853	-0.10181	0.83511	0.96832	0.9189	0.98048
ADCY7	5	0.10636	0.69015	0.54837	0.88352	0.4901	0.86116
ADCY8	5	-0.02884	-0.18858	0.72481	0.93479	0.85042	0.96136
ADCY9	5	0.2404	1.4172	0.10363	0.52036	0.15641	0.80175
ADCYAP1	5	-0.0020064	-0.015778	0.86904	0.97441	0.98741	0.99685
ADCYAP1R1	5	0.18109	0.85481	0.24236	0.70649	0.39265	0.83518
ADD1	5	0.14876	0.88571	0.3556	0.78494	0.37577	0.83095
ADD2	4	-0.050862	-0.29176	0.64401	0.91705	0.77047	0.94062
ADD3	5	0.012595	0.061356	0.94369	0.98986	0.95108	0.98962
ADH1A	5	0.030477	0.16491	0.9609	0.99298	0.86902	0.96531
ADH1B	5	0.11395	0.84117	0.51188	0.87048	0.40025	0.83589
ADH4	5	0.060468	0.23221	0.79135	0.95471	0.81638	0.95409
ADH5	3	-0.59321	-1.5484	0.010274	0.16547	0.12153	0.80175
ADH6	5	-0.032742	-0.19346	0.70643	0.93078	0.8466	0.96102
ADH7	5	0.35939	1.5823	0.0099411	0.16243	0.11359	0.80175
ADHFE1	5	-0.050491	-0.21537	0.62307	0.91056	0.82948	0.95725
ADI1	5	-0.060396	-0.30983	0.57481	0.89678	0.75669	0.93603
ADIG	5	-0.0098984	-0.071353	0.82634	0.96486	0.94312	0.98708
ADIPOQ	5	0.15761	0.80412	0.32345	0.76852	0.42133	0.83932
ADIPOR1	5	0.10258	0.42274	0.56764	0.89313	0.67248	0.9094
ADIPOR2	5	0.15537	0.86197	0.33183	0.77276	0.3887	0.83378
ADIRF	5	0.067558	0.73574	0.7528	0.94368	0.46189	0.85017
ADK	5	0.14	0.87979	0.3907	0.80172	0.37898	0.83095
ADM	5	0.063754	0.61588	0.77352	0.94923	0.53798	0.87151
ADM2	5	0.38273	1.3963	0.0053871	0.10948	0.16262	0.80175
ADM5	5	0.15849	1.2285	0.32056	0.76653	0.21926	0.80175
ADNP	5	-0.11663	-0.50006	0.36055	0.78672	0.61703	0.89427
ADNP2	5	-0.33355	-1.737	0.037265	0.33218	0.082387	0.80175
ADO	5	-0.039041	-0.39864	0.67594	0.92402	0.69016	0.91581
ADORA1	5	0.059251	0.34595	0.79884	0.95798	0.72938	0.93012
ADORA2A	5	0.13218	0.7008	0.42436	0.82197	0.48343	0.85802
ADORA2B	5	0.38102	1.4699	0.0057203	0.11306	0.14158	0.80175
ADORA3	12	0.22815	1.7003	0.017661	0.22553	0.089072	0.80175
ADPGK	5	0.19598	1.1607	0.1991	0.66107	0.24575	0.80175
ADPRH	5	0.22497	1.3332	0.13123	0.56474	0.18246	0.80175
ADPRHL1	5	0.14949	0.76885	0.35288	0.78494	0.44198	0.84358
ADPRHL2	5	0.0024699	0.019003	0.89148	0.97908	0.98484	0.99656
ADPRM	5	0.0020931	0.014298	0.8902	0.97895	0.98859	0.99685
ADRA1A	5	0.23979	1.3009	0.10474	0.52186	0.19328	0.80175
ADRA1B	5	-0.0045347	-0.027463	0.85549	0.97053	0.97809	0.9936
ADRA1D	5	-0.011458	-0.078854	0.81823	0.96342	0.93715	0.98461
ADRA2A	5	0.10918	0.61598	0.53471	0.87856	0.53791	0.87151
ADRA2B	5	0.11552	0.55743	0.50344	0.86539	0.57723	0.88014
ADRA2C	5	0.080504	0.46631	0.68166	0.92446	0.64099	0.90359
ADRB1	5	0.28985	1.5634	0.043652	0.35805	0.11795	0.80175
ADRB2	5	0.048306	0.31385	0.85982	0.97103	0.75364	0.93502
ADRB3	5	0.18709	0.99661	0.22431	0.68726	0.31896	0.81873
ADRBK1	5	0.070068	0.4571	0.73831	0.93944	0.6476	0.90448
ADRBK2	5	0.27737	1.2304	0.055259	0.40277	0.21855	0.80175
ADRM1	5	-0.21829	-1.3321	0.1299	0.56253	0.18282	0.80175
ADSL	5	0.21154	0.97198	0.16056	0.6138	0.33106	0.82011
ADSS	5	0.011123	0.034261	0.93691	0.9887	0.97267	0.99279
ADSSL1	5	0.2415	1.1915	0.1018	0.51692	0.23344	0.80175
