Gene	sgRNA	MP46|beta	MP46|z	MP46|p-value	MP46|fdr	MP46|wald-p-value	MP46|wald-fdr
ABCC1	5	0.0032487	0.03066	0.99211	0.99844	0.97554	0.99954
ABCC10	5	0.10408	0.91314	0.19738	0.77412	0.36117	0.99593
ABCC11	5	0.050459	0.78594	0.55848	0.92716	0.4319	0.99593
ABCC12	5	-0.018745	-0.1437	0.78074	0.96771	0.88573	0.99593
ABCC2	5	-0.045236	-0.41236	0.55909	0.92741	0.68008	0.99593
ABCC3	5	-0.0075797	-0.093992	0.8867	0.9826	0.92512	0.99925
ABCC4	5	-0.013466	-0.24539	0.8295	0.97385	0.80616	0.99593
ABCC5	5	0.028245	0.27072	0.76363	0.9647	0.78661	0.99593
ABCC6	10	-0.031462	-0.57153	0.56376	0.92975	0.56764	0.99593
ABCC8	5	-0.19428	-1.7935	0.035766	0.47601	0.0729	0.99593
ABCC9	5	0.12015	1.0643	0.12957	0.70679	0.28717	0.99593
ABCD1	5	-0.07821	-0.95453	0.33522	0.85441	0.33982	0.99593
ABCD2	5	-0.038444	-0.45144	0.61302	0.94085	0.65167	0.99593
ABCD3	5	0.05942	0.42586	0.48006	0.90595	0.67021	0.99593
ABCD4	5	0.0589	0.64338	0.48417	0.9069	0.51998	0.99593
ABCE1	5	-0.43948	-1.9961	5.5537e-05	0.0063694	0.045926	0.99593
ABCF1	5	-0.20058	-1.7566	0.03149	0.45652	0.078983	0.99593
ABCF2	5	0.042362	0.45298	0.63068	0.94557	0.65056	0.99593
ABCF3	5	-0.020039	-0.20638	0.76863	0.96533	0.8365	0.99593
ABCG1	5	-0.0060016	-0.059873	0.90153	0.98382	0.95226	0.99925
ABCG2	5	0.057602	0.40987	0.49578	0.90916	0.6819	0.99593
ABCG4	5	0.089697	0.99495	0.27419	0.82727	0.31976	0.99593
ABCG5	5	-0.11317	-0.95363	0.18283	0.76055	0.34027	0.99593
ABCG8	5	0.16115	1.5659	0.039431	0.49038	0.11737	0.99593
ABHD1	5	-0.024018	-0.27194	0.73359	0.96108	0.78567	0.99593
ABHD10	5	-0.059721	-0.37831	0.45007	0.89715	0.7052	0.99593
ABHD11	5	-0.013469	-0.20315	0.8295	0.97385	0.83902	0.99593
ABHD12	5	0.038369	0.27592	0.66628	0.95078	0.78261	0.99593
ABHD12B	5	0.21754	1.5783	0.0056092	0.18133	0.1145	0.99593
ABHD13	5	0.086715	0.40631	0.29174	0.83734	0.68452	0.99593
ABHD14A	5	0.047157	0.30728	0.58803	0.9358	0.75863	0.99593
ABHD14B	5	0.084615	0.72816	0.30429	0.84425	0.46652	0.99593
ABHD15	5	-0.21028	-1.9219	0.025325	0.41118	0.054622	0.99593
ABHD16A	5	0.060653	0.66951	0.47062	0.9027	0.50317	0.99593
ABHD16B	5	0.031427	0.44299	0.73226	0.96087	0.65777	0.99593
ABHD17A	3	0.0095206	0.072665	0.97329	0.99575	0.94207	0.99925
ABHD17B	5	0.031292	0.17396	0.73442	0.96147	0.8619	0.99593
ABHD17C	5	0.090821	0.96636	0.26708	0.82275	0.33386	0.99593
ABHD2	5	0.050187	0.40744	0.56081	0.92839	0.68368	0.99593
ABHD3	5	-0.047061	-0.53161	0.54432	0.92227	0.595	0.99593
ABHD4	5	0.11146	1.3234	0.16283	0.73925	0.18572	0.99593
ABHD5	4	-0.046764	-0.42912	0.57697	0.93219	0.66783	0.99593
ABHD6	5	0.11544	0.98392	0.14578	0.72135	0.32515	0.99593
ABHD8	5	0.069427	0.85882	0.40214	0.88311	0.39044	0.99593
ABI1	5	0.048354	0.35144	0.57575	0.93219	0.72526	0.99593
ABI2	5	0.062276	1.0843	0.4584	0.89995	0.27824	0.99593
ABI3	5	0.0091545	0.072881	0.94441	0.99074	0.9419	0.99925
ABI3BP	5	0.10526	0.76734	0.19127	0.76806	0.44288	0.99593
ABL1	5	0.040046	0.44655	0.65101	0.94855	0.6552	0.99593
ABL2	5	0.10621	1.5056	0.18677	0.76345	0.13218	0.99593
ABLIM1	5	0.11614	0.5903	0.14317	0.71914	0.55499	0.99593
ABLIM2	5	0.025958	0.29035	0.78635	0.96812	0.77155	0.99593
ABLIM3	5	0.10785	0.59988	0.17955	0.75856	0.54858	0.99593
ABR	11	0.035854	0.44878	0.53777	0.92094	0.65359	0.99593
ABRA	5	-0.029368	-0.30379	0.68666	0.95275	0.76129	0.99593
ABRACL	4	0.15014	0.95588	0.087749	0.63074	0.33913	0.99593
ABT1	5	-0.049413	-0.45022	0.52316	0.91688	0.65255	0.99593
ABTB1	5	-0.12123	-0.99689	0.15734	0.7358	0.31882	0.99593
ABTB2	5	0.07708	0.6931	0.35088	0.86322	0.48825	0.99593
ACAA1	5	0.050783	0.36731	0.55581	0.92598	0.71339	0.99593
ACAA2	5	-0.085293	-0.78813	0.30207	0.8428	0.43062	0.99593
ACACA	5	-0.07988	-0.71417	0.3265	0.84953	0.47512	0.99593
ACACB	5	0.094415	1.0824	0.2467	0.8094	0.27909	0.99593
ACAD10	5	-0.05854	-0.53336	0.45779	0.89989	0.59378	0.99593
ACAD11	5	0.080409	0.86071	0.32956	0.85155	0.3894	0.99593
ACAD8	5	-0.25494	-1.3087	0.0088859	0.23916	0.19064	0.99593
ACAD9	5	0.013732	0.14186	0.89898	0.98372	0.88719	0.99593
ACADL	5	0.059161	0.65659	0.48195	0.90651	0.51144	0.99593
ACADM	5	-0.026072	-0.21074	0.71709	0.95993	0.83309	0.99593
ACADS	5	0.11481	1.1353	0.14845	0.72486	0.25624	0.99593
ACADSB	5	0.059851	0.22847	0.47673	0.9046	0.81928	0.99593
ACADVL	5	0.072507	0.75326	0.38154	0.87667	0.45129	0.99593
ACAN	5	0.086488	0.71982	0.29307	0.83812	0.47163	0.99593
ACAP1	5	0.20441	1.5289	0.0088304	0.2391	0.12628	0.99593
ACAP2	5	-0.23285	-2.0634	0.014884	0.31943	0.039075	0.99593
ACAP3	5	0.028796	0.22687	0.75803	0.96427	0.82052	0.99593
ACAT1	5	-0.11242	-0.71853	0.18555	0.76267	0.47243	0.99593
ACAT2	5	-0.16634	-1.1802	0.065145	0.58408	0.23792	0.99593
ACBD3	5	0.22365	1.4373	0.0042208	0.15385	0.15064	0.99593
ACBD4	5	0.0024441	0.026594	0.98451	0.99809	0.97878	0.99954
ACBD5	4	0.05922	0.41494	0.52755	0.91748	0.67819	0.99593
ACBD6	5	0.1545	1.4477	0.04965	0.53119	0.14771	0.99593
ACBD7	5	0.11634	0.59283	0.14267	0.71859	0.5533	0.99593
ACCS	5	-0.11694	-1.3566	0.16872	0.74424	0.17492	0.99593
ACCSL	5	0.060856	0.39214	0.46968	0.9027	0.69496	0.99593
ACD	5	-0.24929	-1.957	0.01033	0.26087	0.050347	0.99593
ACE	5	-0.099912	-1.0215	0.23448	0.79837	0.30704	0.99593
ACE2	5	0.13844	1.21	0.078752	0.61356	0.22628	0.99593
ACER1	5	-0.034199	-0.34409	0.64695	0.94785	0.73078	0.99593
ACER2	5	-0.13259	-1.7157	0.12568	0.69954	0.086218	0.99593
ACER3	5	0.032379	0.16319	0.7227	0.96007	0.87037	0.99593
ACHE	4	-0.056387	-0.36614	0.51194	0.91321	0.71426	0.99593
ACIN1	5	-0.16829	-1.5758	0.062535	0.57368	0.11506	0.99593
ACKR2	5	0.18111	1.0783	0.021049	0.38283	0.28089	0.99593
ACKR3	5	0.10508	1.1625	0.19232	0.77024	0.24503	0.99593
ACKR4	5	0.10341	0.80987	0.20027	0.77783	0.41801	0.99593
ACLY	5	-0.17713	-2.0236	0.050705	0.5358	0.043012	0.99593
ACMSD	5	-0.020787	-0.22211	0.76141	0.96427	0.82423	0.99593
ACN9	4	-0.057833	-0.538	0.5025	0.912	0.59057	0.99593
ACO1	5	-0.016815	-0.22606	0.7994	0.96984	0.82115	0.99593
ACO2	5	-0.11402	-1.0176	0.17872	0.75807	0.30885	0.99593
ACOT1	4	-0.0042668	-0.07794	0.92053	0.98763	0.93788	0.99925
ACOT11	5	-0.13	-1.5599	0.13234	0.70896	0.11878	0.99593
ACOT12	5	-0.10853	-0.81914	0.20066	0.77833	0.41271	0.99593
ACOT13	4	-0.039407	-0.25091	0.6294	0.94557	0.80189	0.99593
ACOT2	4	-0.20237	-1.9425	0.049317	0.53071	0.052075	0.99593
ACOT4	5	0.02499	0.239	0.79412	0.96949	0.81111	0.99593
ACOT6	5	-0.015615	-0.14657	0.81073	0.97171	0.88347	0.99593
ACOT7	5	0.085709	0.87515	0.29751	0.8406	0.38149	0.99593
ACOT8	5	0.028638	0.27504	0.75969	0.96427	0.78329	0.99593
ACOT9	5	0.035362	0.20781	0.69488	0.95485	0.83538	0.99593
ACOX1	5	0.013649	0.082916	0.89976	0.98373	0.93392	0.99925
ACOX2	5	-0.0078807	-0.10464	0.88432	0.982	0.91666	0.99868
ACOX3	5	0.08978	1.2569	0.27363	0.82696	0.20878	0.99593
ACOXL	5	-0.1351	-1.0218	0.12068	0.69314	0.3069	0.99593
ACP1	10	0.067944	0.8287	0.24075	0.80427	0.40728	0.99593
ACP2	4	-0.16819	-1.3761	0.091025	0.63766	0.16879	0.99593
ACP5	5	0.10611	1.2102	0.18733	0.76347	0.22622	0.99593
ACP6	5	0.01876	0.19898	0.85205	0.97756	0.84228	0.99593
ACPL2	5	0.042326	0.4349	0.63107	0.94557	0.66363	0.99593
ACPP	5	0.05669	0.40104	0.50333	0.91261	0.68839	0.99593
ACPT	5	0.024085	0.40236	0.80279	0.97021	0.68742	0.99593
ACR	5	-0.027712	-0.21469	0.7026	0.95834	0.83001	0.99593
ACRBP	5	0.17334	1.0131	0.027213	0.42351	0.31101	0.99593
ACRC	5	-0.010005	-0.096555	0.8631	0.97849	0.92308	0.99925
ACRV1	5	0.028852	0.50681	0.75753	0.96396	0.61229	0.99593
ACSBG1	5	0.00076657	0.0079694	0.9684	0.99543	0.99364	0.99973
ACSBG2	5	0.055996	0.39841	0.50877	0.91321	0.69033	0.99593
ACSF2	5	0.047658	0.61011	0.58247	0.93355	0.54179	0.99593
ACSF3	5	0.091947	0.84929	0.26125	0.82069	0.39572	0.99593
ACSL1	5	0.022647	0.33104	0.81673	0.9721	0.74061	0.99593
ACSL3	5	0.049507	0.67062	0.5662	0.93028	0.50246	0.99593
ACSL4	5	-0.074684	-0.9624	0.35422	0.86381	0.33585	0.99593
ACSL5	5	-0.015798	-0.1281	0.80929	0.97121	0.89807	0.99642
ACSL6	5	0.022623	0.28215	0.81723	0.9721	0.77783	0.99593
ACSM1	4	-0.077248	-0.83164	0.38737	0.87725	0.40561	0.99593
ACSM2A	5	-0.01102	-0.080464	0.85277	0.97756	0.93587	0.99925
ACSM2B	4	-0.023232	-0.19466	0.75819	0.96427	0.84566	0.99593
ACSM3	5	-0.0084524	-0.064632	0.87882	0.98062	0.94847	0.99925
ACSM4	5	-0.044036	-0.41151	0.56925	0.93138	0.6807	0.99593
ACSM5	5	-0.028927	-0.46628	0.69049	0.95345	0.64102	0.99593
ACSS1	5	0.19367	1.8535	0.012885	0.29935	0.063806	0.99593
ACSS2	5	0.074895	0.877	0.36488	0.87054	0.38049	0.99593
ACSS3	5	0.11845	1.1318	0.13557	0.71247	0.25772	0.99593
ACTA1	5	-0.092149	-0.99676	0.26763	0.82309	0.31888	0.99593
ACTA2	5	0.0037547	0.022411	0.99689	0.99933	0.98212	0.99954
ACTB	4	0.084704	0.99793	0.35499	0.86413	0.31831	0.99593
ACTBL2	5	-0.12236	-1.4476	0.15384	0.73261	0.14774	0.99593
ACTC1	5	0.18021	1.8771	0.021715	0.38598	0.060511	0.99593
ACTG1	5	-0.12571	-0.95243	0.14367	0.71981	0.34088	0.99593
ACTG2	6	-0.038465	-0.61705	0.58453	0.93464	0.5372	0.99593
ACTL10	5	0.08909	0.96244	0.27713	0.82959	0.33583	0.99593
ACTL6A	5	-0.3415	-1.9629	0.0013884	0.081433	0.049661	0.99593
ACTL6B	5	0.015924	0.19672	0.87793	0.98059	0.84405	0.99593
ACTL7A	5	-0.0016778	-0.021785	0.94463	0.9908	0.98262	0.99954
ACTL7B	5	0.060907	0.57943	0.46929	0.9027	0.5623	0.99593
ACTL8	5	0.076531	1.1716	0.35399	0.86381	0.24137	0.99593
ACTL9	5	0.027532	0.37308	0.77047	0.96595	0.70909	0.99593
ACTN1	5	0.072704	0.75705	0.38015	0.87667	0.44902	0.99593
ACTN2	5	-0.014377	-0.16612	0.82178	0.97236	0.86806	0.99593
ACTN4	5	0.20361	0.89728	0.008997	0.24071	0.36957	0.99593
ACTR10	5	-0.18073	-1.7272	0.046151	0.51677	0.084132	0.99593
ACTR1A	5	-0.066422	-0.45706	0.40648	0.88445	0.64763	0.99593
ACTR1B	5	0.012363	0.15519	0.91403	0.98628	0.87667	0.99593
ACTR2	5	-0.3158	-1.4108	0.0024992	0.12	0.15831	0.99593
ACTR3	5	-0.093525	-0.58035	0.26208	0.82155	0.56168	0.99593
ACTR3B	5	-0.084625	-0.65145	0.30429	0.84425	0.51476	0.99593
ACTR3C	5	-0.063681	-0.40141	0.42464	0.88977	0.68812	0.99593
ACTR5	5	-0.11367	-1.1254	0.18038	0.75885	0.2604	0.99593
ACTR6	5	0.017269	0.065324	0.86405	0.9785	0.94792	0.99925
ACTR8	5	-0.14841	-0.8648	0.09208	0.63818	0.38715	0.99593
ACTRT1	5	0.041335	0.27843	0.63962	0.94557	0.78068	0.99593
ACTRT2	5	0.066168	0.5052	0.42591	0.88977	0.61342	0.99593
ACTRT3	5	0.018335	0.23472	0.8561	0.97821	0.81443	0.99593
ACVR1	5	0.095837	0.94597	0.23836	0.80112	0.34416	0.99593
ACVR1B	5	0.013438	0.090641	0.90248	0.98383	0.92778	0.99925
ACVR1C	5	-0.057628	-0.47806	0.46429	0.90125	0.6326	0.99593
ACVR2A	5	-0.042556	-0.24104	0.5807	0.93302	0.80952	0.99593
ACVR2B	5	0.067875	0.57193	0.41303	0.88558	0.56737	0.99593
ACVRL1	5	0.02149	0.20689	0.82722	0.97308	0.83609	0.99593
ACY1	5	0.13279	1.038	0.092358	0.63926	0.29928	0.99593
ACY3	5	0.017357	0.22575	0.86338	0.97849	0.8214	0.99593
ACYP1	5	0.11663	1.127	0.14167	0.71789	0.25975	0.99593
ACYP2	5	0.056271	0.58298	0.50661	0.91321	0.5599	0.99593
ADA	5	0.016704	0.20474	0.86977	0.97961	0.83777	0.99593
ADAD1	5	0.072138	0.38478	0.38459	0.87667	0.7004	0.99593
ADAD2	5	-0.079937	-0.81254	0.32639	0.84953	0.41648	0.99593
ADAL	5	0.15076	1.0523	0.05637	0.55483	0.29268	0.99593
ADAM10	5	0.061963	0.32326	0.46096	0.90118	0.7465	0.99593
ADAM11	5	-0.10017	-0.93881	0.23314	0.79837	0.34783	0.99593
ADAM12	5	-0.13276	-1.1469	0.12501	0.69721	0.25143	0.99593
ADAM15	5	0.081458	0.64872	0.32367	0.84922	0.51652	0.99593
ADAM17	5	-0.13593	-1.065	0.11913	0.68979	0.28686	0.99593
ADAM18	4	0.20887	0.77699	0.016272	0.33409	0.43716	0.99593
ADAM19	5	0.032531	0.20644	0.7207	0.96007	0.83644	0.99593
ADAM2	5	-0.041238	-0.3388	0.59103	0.93632	0.73476	0.99593
ADAM20	5	-0.087154	-0.47321	0.29196	0.83737	0.63606	0.99593
ADAM21	5	0.20679	1.2229	0.0079973	0.2236	0.22138	0.99593
ADAM22	5	-0.071027	-0.81566	0.37687	0.87667	0.41469	0.99593
ADAM23	5	-0.089801	-0.59821	0.27868	0.83075	0.5497	0.99593
ADAM28	5	0.058972	0.5216	0.48373	0.90682	0.60195	0.99593
ADAM29	5	0.089863	0.72871	0.27302	0.82594	0.46618	0.99593
ADAM30	5	0.10283	0.6929	0.20343	0.77903	0.48837	0.99593
ADAM32	5	-0.047499	-0.21292	0.53999	0.92199	0.83139	0.99593
ADAM33	5	0.017722	0.1133	0.86127	0.97849	0.90979	0.99773
ADAM7	5	0.022243	0.14143	0.82034	0.9721	0.88753	0.99593
ADAM8	4	0.070876	0.6312	0.44502	0.89574	0.52791	0.99593
ADAM9	5	-0.041028	-0.36404	0.59241	0.93632	0.71583	0.99593
ADAMDEC1	5	-0.017998	-0.16705	0.78829	0.96812	0.86733	0.99593
ADAMTS1	5	0.0011705	0.010742	0.97279	0.99575	0.99143	0.99954
ADAMTS10	5	-0.10433	-1.0801	0.21671	0.78721	0.2801	0.99593
ADAMTS12	5	0.052023	0.47902	0.5446	0.92227	0.63192	0.99593
ADAMTS13	5	0.032364	0.45367	0.72276	0.96007	0.65006	0.99593
ADAMTS14	5	0.16589	1.3975	0.034822	0.47587	0.16226	0.99593
ADAMTS15	5	0.049094	0.67499	0.5692	0.93138	0.49968	0.99593
ADAMTS16	5	0.038542	0.48025	0.66472	0.95078	0.63105	0.99593
ADAMTS17	5	0.041926	0.41417	0.63451	0.94557	0.67875	0.99593
ADAMTS18	5	0.10941	0.70893	0.17139	0.74722	0.47837	0.99593
ADAMTS19	5	-0.010572	-0.13961	0.85733	0.97821	0.88896	0.99593
ADAMTS2	5	0.11345	0.98906	0.15384	0.73261	0.32263	0.99593
ADAMTS20	5	-0.10898	-0.88097	0.19843	0.77582	0.37834	0.99593
ADAMTS3	5	-0.10008	-0.52474	0.23359	0.79837	0.59976	0.99593
ADAMTS4	5	0.051878	0.6589	0.54604	0.92227	0.50996	0.99593
ADAMTS5	5	-0.00078385	-0.0074095	0.95324	0.99277	0.99409	0.99973
ADAMTS6	5	0.028937	0.19346	0.75697	0.96396	0.8466	0.99593
ADAMTS7	5	0.026459	0.27501	0.78118	0.96771	0.78331	0.99593
ADAMTS8	5	0.07508	0.74193	0.36388	0.86984	0.45813	0.99593
ADAMTS9	5	-0.021587	-0.22743	0.75442	0.96368	0.82009	0.99593
ADAMTSL1	5	0.12432	1.2279	0.11563	0.68247	0.21949	0.99593
ADAMTSL2	5	0.034455	0.52913	0.70393	0.95889	0.59671	0.99593
ADAMTSL3	5	0.021787	0.41988	0.82423	0.97236	0.67457	0.99593
ADAMTSL4	5	-0.075303	-0.97723	0.35122	0.86322	0.32846	0.99593
ADAMTSL5	5	-0.12977	-1.3916	0.13268	0.70896	0.16404	0.99593
ADAP1	5	0.072083	0.65021	0.38504	0.87667	0.51555	0.99593
ADAP2	5	0.16237	1.3105	0.038598	0.48978	0.19002	0.99593
ADAR	5	-0.060599	-0.55759	0.44402	0.89559	0.57713	0.99593
ADARB1	5	0.0021449	0.030719	0.98167	0.99718	0.97549	0.99954
ADARB2	5	0.055548	0.41006	0.51238	0.91321	0.68176	0.99593
ADAT1	5	0.084121	0.69884	0.30745	0.84475	0.48465	0.99593
ADAT2	5	0.012317	0.12777	0.91475	0.98652	0.89833	0.99642
ADAT3	5	0.043266	0.43103	0.62185	0.94386	0.66644	0.99593
ADC	5	0.16312	1.086	0.038209	0.48935	0.27749	0.99593
ADCK1	5	0.061971	0.53133	0.46096	0.90118	0.59519	0.99593
ADCK2	5	-0.12922	-1.2098	0.13401	0.71059	0.22636	0.99593
ADCK3	5	0.0013506	0.015405	0.97451	0.99575	0.98771	0.99954
ADCK4	5	0.034964	0.32547	0.69832	0.95634	0.74482	0.99593
ADCK5	5	0.087447	1.1232	0.28663	0.83498	0.26135	0.99593
ADCY1	5	0.086778	0.64149	0.29124	0.83716	0.5212	0.99593
ADCY10	5	-0.024703	-0.22117	0.72848	0.96029	0.82496	0.99593
ADCY2	5	0.09409	1.1171	0.24869	0.8107	0.26394	0.99593
ADCY3	5	-0.17413	-1.6563	0.054093	0.54627	0.097654	0.99593
ADCY4	5	0.14287	1.138	0.07031	0.59605	0.25514	0.99593
ADCY5	5	-0.015904	-0.13507	0.80867	0.97121	0.89255	0.99593
ADCY6	5	-0.030623	-0.33299	0.67583	0.95145	0.73914	0.99593
ADCY7	5	0.077476	0.73436	0.34833	0.86237	0.46273	0.99593
ADCY8	5	-0.13274	-0.87468	0.12501	0.69721	0.38175	0.99593
ADCY9	5	0.00025534	0.0039223	0.96312	0.99432	0.99687	0.99973
ADCYAP1	5	-0.062039	-0.5499	0.43547	0.89345	0.58239	0.99593
ADCYAP1R1	5	0.11505	1.4161	0.14745	0.72304	0.15676	0.99593
ADD1	5	0.06152	0.64114	0.4639	0.90125	0.52143	0.99593
ADD2	4	0.15036	0.97951	0.087249	0.6299	0.32733	0.99593
ADD3	5	0.0845	0.72846	0.30512	0.84425	0.46633	0.99593
ADH1A	5	0.0059487	0.0571	0.97901	0.99627	0.95447	0.99925
ADH1B	5	0.027605	0.32772	0.76997	0.96595	0.74313	0.99593
ADH4	5	0.074063	0.53797	0.37065	0.87449	0.5906	0.99593
ADH5	3	-0.1058	-0.4386	0.31328	0.84527	0.66095	0.99593
ADH6	5	0.084493	0.79392	0.30512	0.84425	0.42724	0.99593
ADH7	5	0.094797	1.0303	0.2447	0.80785	0.30289	0.99593
ADHFE1	5	-0.10631	-1.4621	0.21004	0.78554	0.1437	0.99593
ADI1	5	0.035489	0.26548	0.6936	0.95484	0.79064	0.99593
ADIG	5	-0.017834	-0.16547	0.78985	0.96812	0.86858	0.99593
ADIPOQ	5	0.017394	0.16277	0.86305	0.97849	0.8707	0.99593
ADIPOR1	5	0.00044116	0.0057932	0.96473	0.99445	0.99538	0.99973
ADIPOR2	5	0.091574	0.77276	0.26308	0.82182	0.43967	0.99593
ADIRF	5	0.15897	1.3535	0.043097	0.5039	0.17591	0.99593
ADK	5	-0.052864	-0.41538	0.49889	0.91116	0.67787	0.99593
ADM	5	-0.027304	-0.31379	0.70632	0.95906	0.75368	0.99593
ADM2	5	0.15409	1.4327	0.050372	0.53569	0.15195	0.99593
ADM5	5	0.059721	0.64332	0.47773	0.90491	0.52001	0.99593
ADNP	5	0.063618	0.76901	0.44696	0.89581	0.44188	0.99593
ADNP2	5	0.10208	0.68491	0.20632	0.78128	0.4934	0.99593
ADO	5	0.18738	1.5279	0.016772	0.33933	0.12654	0.99593
ADORA1	5	-0.10925	-0.78947	0.19716	0.77412	0.42984	0.99593
ADORA2A	5	-0.03722	-0.47764	0.6239	0.94459	0.63291	0.99593
ADORA2B	5	0.16923	1.8054	0.03149	0.45652	0.071013	0.99593
ADORA3	12	0.015696	0.2869	0.79768	0.96984	0.77419	0.99593
ADPGK	5	0.022407	0.26053	0.81862	0.9721	0.79445	0.99593
ADPRH	5	0.12723	1.0221	0.10696	0.66598	0.30672	0.99593
ADPRHL1	5	-0.053449	-0.68212	0.49461	0.90916	0.49516	0.99593
ADPRHL2	5	-0.02579	-0.2566	0.71954	0.96007	0.79749	0.99593
ADPRM	5	0.057805	0.47988	0.49384	0.90883	0.63132	0.99593
ADRA1A	5	0.081725	0.69586	0.32173	0.84805	0.48652	0.99593
ADRA1B	5	0.086861	0.63683	0.29063	0.8368	0.52423	0.99593
ADRA1D	5	0.046447	0.36721	0.59414	0.93673	0.71346	0.99593
ADRA2A	5	-0.050297	-0.66539	0.51661	0.91497	0.5058	0.99593
ADRA2B	5	-0.016236	-0.21198	0.80501	0.97061	0.83212	0.99593
ADRA2C	5	0.0061333	0.050998	0.97656	0.99575	0.95933	0.99925
ADRB1	5	0.041613	0.44915	0.63707	0.94557	0.65333	0.99593
ADRB2	5	-0.13876	-1.7271	0.11124	0.67282	0.084156	0.99593
ADRB3	5	-0.0019954	-0.020469	0.94163	0.99054	0.98367	0.99954
ADRBK1	5	-0.032895	-0.30358	0.65745	0.95025	0.76145	0.99593
ADRBK2	5	0.10639	1.4898	0.18599	0.76267	0.13629	0.99593
ADRM1	5	-0.31496	-2.3244	0.0025547	0.1201	0.020106	0.99593
ADSL	5	-0.13776	-1.4167	0.11385	0.67903	0.15658	0.99593
