Gene	921	Mel202	Mel270	Mel285	MP38	MP41	MP46	OMM1	OMM23	OMM25
AARSD1	0.77904	0.92232	0.54395	0.76391	0.81998	0.86734	0.41435	0.87574	0.91086	0.85824
AASDH	0.99552	0.89088	0.87259	0.93803	0.83298	0.90109	0.77724	0.92587	0.98455	0.92319
AASDHPPT	0.86027	0.9744	0.80566	0.9	0.026104	0.7081	0.44343	0.89594	0.61888	0.94375
AASS	0.82843	0.9675	0.64944	0.56334	0.84135	0.86697	0.86035	0.99933	0.87368	0.97316
AATF	0.4303	0.11018	0.026964	0.21569	0.15364	0.3418	0.92027	0.14401	0.11232	0.12699
AATK	0.92277	0.20946	0.9387	0.92524	0.82035	0.86941	0.96469	0.84748	0.97525	0.63489
ABAT	0.76539	0.90838	0.93992	0.85174	0.88119	0.94415	0.89998	0.83272	0.72981	0.94444
ABCA1	0.99661	0.54638	0.76779	0.96471	0.81178	0.99005	0.91671	0.95603	0.99496	0.96799
ABCA10	0.49585	0.97418	0.97161	0.7918	0.62683	0.81342	0.71764	0.92783	0.97502	0.914
ABCA12	0.83164	0.86528	0.26165	0.88021	0.31867	0.97523	0.90643	0.98409	0.9535	0.75043
ABCA13	0.63778	0.56933	0.97257	0.92206	0.95107	0.54906	0.94475	0.38628	0.24987	0.89136
ABCA2	0.98977	0.98467	0.67282	0.79023	0.88627	0.94088	0.96533	0.95767	0.92193	0.99994
ABCA3	0.062927	0.25343	0.55409	0.2923	0.057183	0.63267	0.1	0.60549	0.048087	0.28858
ABCA4	0.92598	0.91962	0.87319	0.7689	0.72385	0.76032	0.72614	0.88299	0.76615	0.90304
ABCA5	0.91603	0.83114	0.89049	0.93943	0.97918	0.9807	0.87945	0.99922	0.946	0.95131
ABCA6	0.93708	0.75136	0.9862	0.92206	0.91755	0.96707	0.78197	0.9665	0.92435	0.972
ABCA7	0.21342	0.85024	0.44688	0.48839	0.82776	0.6456	0.71021	0.73578	0.46969	0.96528
ABCA8	0.70772	0.89417	0.96973	0.59698	0.94984	0.96707	0.90296	0.96577	0.86664	0.95025
ABCA9	0.99872	0.89659	0.86356	0.50927	0.87972	0.97674	0.24345	0.40422	0.69986	0.8463
ABCB1	0.91414	0.81061	0.27633	0.51993	0.71488	0.96275	0.1016	0.98642	0.9547	0.679
ABCB10	0.45074	0.72607	0.59985	0.49424	0.53117	0.96707	0.99956	0.89874	0.90216	0.6804
ABCB11	0.89395	0.89832	0.9751	0.99989	0.83569	0.95625	0.75157	0.74502	0.8184	0.91953
ABCB4	0.81478	0.94332	0.7833	0.92743	0.97563	0.94744	0.80157	0.97559	0.99989	0.97902
ABCB5	0.93107	0.74857	0.68462	0.85801	0.98833	0.85434	0.89677	0.465	0.98455	0.92126
ABCB6	0.99872	0.99482	0.70081	0.95879	0.91468	0.94766	0.94972	0.13376	0.66346	0.86075
ABCB7	0.035907	0	0.91576	0.45043	0.64622	0.89365000000000006	0.87117	0.35192	0.50387	0.11461
ABCB8	0.093426	0.99889	0.79905	0.24419	0.86408	0.77244	0.83287	0.96621	0.88196	0.95703
ABCB9	0.064865	0.99563	0.99972	0.89461	0.90354	0.87918	0.95686	0.93512	0.94397	0.31221
ABCC1	0.90095	0.75952	0.92038	0.98013	0.79367	0.95898	0.99888	0.98531	0.25199	0.74094
ABCC10	0.76269	0.77711	0.84934	0.93055	0.93705	0.9803	0.76828	0.90943	0.97502	0.99786
ABCC11	0.35441	0.94337	0.58247	0.44732	0.92628	0.9479	0.91977	0.99933	0.92665	0.84372
ABCC12	0.87731	0.88998	0.92413	0.88716	0.85537	0.95641	0.96533	0.97524	0.97502	0.83254
ABCC2	0.89265	0.99821	0.92082	0.26793	0.90971	0.47698	0.91996	0.94254	0.96328	0.63863
ABCC3	0.26948	0.38097	0.96385	0.18213	0.67915	0.81882	0.9843	0.87574	0.72836	0.77188
ABCC4	0.064033	0.022412	0.0034305	0.30757	0.64041	0.69285	0.97424	0.060662	0.10065	0.10076
ABCC5	0.83216	0.7399	0.60577	0.50843	0.91704	0.82052	0.96327	0.89312	0.62509	0.914
ABCC6	0.9592	0.72592	0.82259	0.9792	0.53287	0.99748	0.92384	0.80553	0.94439	0.28826
ABCC8	0.63544	0.42987	0.81409	0.72425	0.95977	0.68856	0.47704	0.59283	0.49791	0.47938
ABCC9	0.89105	0.9572	0.83375	0.99933	0.98458	0.90243	0.71021	0.85807	0.87047	0.51427
ABCD1	0.16603	0.72428	0.69264	0.96436	0.98179	0.93758	0.85684	0.99994	0.70346	0.95283
ABCD2	0.45852	0.96414	0.82875	0.85174	0.89137	0.85434	0.9356	0.87586	0.88276	0.99944
ABCD3	0.98049	0.79278	0.97161	0.84906	0.93301	0.64244	0.90649	0.97835	0.97981	0.98088
ABCD4	0.89296	0.64379	0.61544	0.74666	0.82824	0.88115	0.90705	0.97575	0.97749	0.85499
ABCE1	0	0	0	0	0	0	0	0	0	0
ABCF1	0.044335	0.030815	0.075536	0.096612	0.09289	0.085106	0.44343	0.039278	0.057114	0.058546
ABCF2	0.46963	0.77962	0.71552	0.81758	0.75338	0.99054	0.93995	0.95324	0.84587	0.97408
ABCF3	0.54871	0.99656	0.6275	0.81562	0.91613	0.27286	0.96353	0.5606	0.70822	0.72482
ABCG1	0.76825	0.42861	0.72599	0.052373	0.76632	0.30951	0.98686	0.37262	0.083039	0.028504
ABCG2	0.84505	0.83162	0.96973	0.98175	0.98619	0.90378	0.91007	0.98194	0.90216	0.49112
ABCG4	0.41744	0.095793	0.48455	0.79202	0.81107	0.60568	0.81841	0.22704	0.4751	0.011696
ABCG5	0.85856	0.45421	0.82086	0.98239	0.97828	0.84939	0.76072	0.93479	0.30779	0.63982000000000006
ABCG8	0.74082	0.48187	0.93581	0.69513	0.87048	0.7325	0.50804	0.9618	0.40094	0.78459
ABHD1	0.93107	0.89424	0.9862	0.92073	0.91468	0.58562	0.95779	0.96778	0.289	0.94624
ABHD10	0.96598	0.98716	0.63002	0.97244	0.81097	0.93204	0.89976	0.98195	0.87693	0.89913
ABHD11	0.81866	0.73077	0.35652	0.87246	0.85669	0.91097	0.97424	0.96037	0.97653	0.9843
ABHD12	0.66359	0.91671	0.52538	0.9755	0.97918	0.76008	0.94816	0.42322	0.92686	0.9036
ABHD12B	0.99551	0.33394	0.26731	0.84302	0.19797	0.68749	0.21017	0.58944	0.38624000000000003	0.15561
ABHD13	0.97012	0.64569	0.84109	0.90372	0.99656	0.90066	0.82688	0.89349	0.65439	0.70355
ABHD14A	0.85093	0.69777	0.48053	0.89962	0.28285	0.88681	0.92985	0.95022	0.6794	0.79896
ABHD14B	0.83775	0.20043	0.59832	0.69969	0.38944	0.18951	0.83287	0.75082	0.99594	0.74737
ABHD15	0.99083	0.8159	0.71155	0.73763	0.75135	0.65431	0.40631	0.75657	0.94145	0.76678
ABHD16A	0.96919	0.77318	0.90872	0.85155	0.94158	0.9863	0.90306	0.71837	0.91943	0.95871
ABHD16B	0.41094	0.6991	0.31856	0.76577	0.8737	0.89233	0.95822	0.31451	0.59293	0.27305
ABHD17A	0.72305	0.59997	0.98849	0.95914	0.67245	0.89719	0.99813	0.84748	0.58619	0.78193
ABHD17B	0.90078	0.96681	0.54827	0.68606	0.80141	0.9808	0.9585	0.97673	0.99272	0.96762
ABHD17C	0.075738	0.98776	0.80907	0.97978	0.82115	0.82053	0.8124	0.9077	0.13065	0.98547
ABHD2	0.54903	0.57268	0.49962	0.53342	0.95977	0.41062	0.92115	0.95212	0.30433	0.92208
ABHD3	0.91847	0.98977	0.95597	0.90486	0.99202	0.88681	0.91671	0.96866	0.8386	0.92838
ABHD4	0.41897	0.99622	0.96717	0.45514	0.96458	0.76696	0.73827	0.87586	0.47401	0.96992
ABHD5	0.652	0.66008	0.88697	0.96436	0.63334	0.91552	0.9267	0.89635	0.68632	0.4669
ABHD6	0.18869	0.29601	0.2842	0.96064	0.95384	0.77545	0.72153	0.26351	0.37786	0.65145
ABHD8	0.75984	0.59871	0.28996	0.819	0.93548	0.85434	0.88308	0.98928	0.68905	0.95378
ABI1	0.89243	0.76807	0.29165	0.94338	0.63471	0.86728	0.9258	0.33403	0.97525	0.74242
ABI2	0.48764	0.65972	0.77451	0.89686	0.831	0.74661	0.90007	0.96621	0.98368	0.8666
ABI3	0.72671	0.54169	0.85251	0.84749	0.99043	0.99978	0.99444	0.96984	0.96963	0.9991
ABI3BP	0.9522	0.92772	0.78947	0.77771	0.9225	0.84947	0.763	0.91833	0.98377	0.99994
ABL1	0.81504	0.80555	0.52897	0.92206	0.34251	0.87007	0.94469	0.82691	0.83603	0.77403
ABL2	0.37914	0.96681	0.68762	0.18213	0.45396	0.73284	0.76072	0.84867	0.48834	0.37752
ABLIM1	0.74001	0.81096	0.74579	0.72512	0.43265	0.75348	0.71764	0.45542	0.91437	0.43065
ABLIM2	0.83024	0.67213	0.77054	0.55406	0.73518	0.89668	0.96533	0.7594	0.50636	0.95913
ABLIM3	0.93708	0.66788	0.32198	0.91326	0.92423	0.87448	0.75869	0.64579	0.44828	0.96508
ABR	0.91414	0.91433	0.47172	0.98067	0.9225	0.97016	0.91671	0.74172	0.29866	0.75406
ABRA	0.73758	0.58582	0.42554	0.78951	0.91803	0.89788	0.95062	0.96288	0.61888	0.82355
ABRACL	0.92217	0.4151	0.98634	0.22498	0.84581	0.47751	0.62624	0.57216	0.97981	0.64451
ABT1	0.09186	0.0058997	0.010855	0.096612	0.0034965	0.023762	0.9161	0	0.041237	0
ABTB1	0.89344	0.7728	0.97891	0.98005	0.87687	0.91755	0.73466	0.95351	0.91678	0.98661
ABTB2	0.73718	0.43076	0.44597	0.84757	0.78763	0.83901	0.86029	0.67467	0.36524	0.56477
ACAA1	0.46094	0.5451	0.76614	0.33062	0.67996	0.73664	0.91864	0.88222	0.53741	0.92143
ACAA2	0.98135	0.80755	0.76935	0.93943	0.9026	0.9957	0.83474	0.87277	0.99594	0.98609
ACACA	0.42467	0.27418	0.89439	0.46007	0.75578	0.57102	0.85087	0.35421	0.88554	0.96834
ACACB	0.97585	0.80508	0.77067	0.89551	0.77249	0.77052	0.80103	0.88211	0.79551	0.6062
ACAD10	0.9057	0.66008	0.96261	0.931	0.96417	0.70348	0.9003	0.89315	0.85855	0.99741
ACAD11	0.76536	0.38665	0.3717	0.88863	0.91974	0.57443	0.8468	0.20951	0.65923	0.53158
ACAD8	0.88902	0.91721	0.98132	0.7697	0.39319	0.53663	0.24295	0.85264	0.93847	0.80724
ACAD9	0.61198	0.022412	0.89123	0.95879	0.99994	0.4435	0.98686	0.13376	0.1166	0.51427
ACADL	0.95699	0.67049	0.18447	0.98534	0.69643	0.71512	0.90678	0.69401	0.42104	0.59849
ACADM	0.95092	0.5191	0.78972	0.91349	0.83962	0.99461	0.95668	0.72659	0.98059	0.65014
ACADS	0.81303	0.9186	0.74001	0.99475	0.78976	0.80789	0.72638	0.85536	0.50476	0.88497
ACADSB	0.9621	0.9744	0.97443	0.9765	0.66563	0.96972	0.90404	0.96603000000000006	0.96547	0.4106
ACADVL	0.82344	0.9675	0.62082	0.80472	0.78417	0.73075	0.87673	0.79768	0.80501	0.77434
ACAN	0.87428	0.88496	0.8978	0.92702	0.85514	0.80705	0.82931	0.96238	0.54987	0.94561
ACAP1	0.27795	0.30961	0.59579	0.10231	0.61377	0.68019	0.26901	0.1844	0.078237	0.017219
ACAP2	0.65853	0.57196	0.87876	0.82031	0.90704	0.87007	0.32125	0.93192	0.85139	0.85445
ACAP3	0.97775	0.8283	0.98341	0.74733	0.94829	0.81712	0.96224	0.84875	0.99426	0.97613
ACAT1	0.65231	0.96323	0.87876	0.6506	0.9838	0.52302	0.76264	0.96605	0.96357	0.82067
ACAT2	0.71114	0.93453	0.47709	0.51945	0.43637	0.89536	0.56963	0.95351	0.99068	0.34333
ACBD3	0.64649	0.92642	0.42941	0.82779	0.85009	0.60947	0.17745	0.16781	0.4501	0.0054945
ACBD4	0.91275	0.85505	0.97106	0.96207	0.91613	0.83558	0.99819	0.98134	0.89152	0.86346
ACBD5	0.97775	0.26415	0.70341	0.87246	0.27146	0.53372	0.9161	0.62444	0.67618	0.50855
ACBD6	0.9969	0.46855	0.041794	0.56622	0.12671	0.08393	0.54089	0.0032573	0.14674	0.56026
ACBD7	0.37197	0.84933	0.36315	0.92251	0.50067	0.66154	0.71764	0.55863	0.9379	0.74737
ACCS	0.99872	0.6136	0.84021	0.77022	0.94831	0.86295	0.75109	0.68411	0.96664	0.74474
ACCSL	0.52344	0.66553	0.71938	0.98239	0.90864	0.85191	0.90296	0.81553	0.68403	0.92672
ACD	0.59229	0.1704	0.8613	0.96428	0.64522	0.45333	0.2551	0.70094	0.82931	0.58875
ACE	0.94369	0.88516	0.83651	0.97904	0.48018	0.97071	0.79303	0.95351	0.99594	0.95684
ACE2	0.32742	0.099179	0.036325	0.71051	0.40923	0.057841	0.61604	0.49702	0.35159	0.32349
ACER1	0.79707	0.66033	0.6203	0.49722	0.65881	0.44973	0.94411	0.75065	0.58178	0.72872
ACER2	0.83189	0.97684	0.99675	0.84882	0.99933	0.84826	0.71021	0.92587	0.8329	0.95615000000000006
ACER3	0.78422	0.57251	0.7154	0.97391	0.93301	0.8371	0.95675	0.062443	0.95924	0.46079
ACHE	0.76698	0.61366	0.53058	0.8687	0.82084	0.80415	0.91399	0.96632	0.70676	0.59148
ACIN1	0.77268	0.15749	0.048972	0.57479	0.087678	0.36891	0.56094	0.23272	0.27086	0.093701
ACKR2	0.97768	0.27574	0.94422	0.97391	0.98588	0.90659	0.39579	0.77067	0.65414	0.7153
ACKR3	0.47923	0.94975	0.76779	0.8207	0.94201	0.86364	0.76329	0.96778	0.94851	0.33639
ACKR4	0.80254	0.92967	0.74837	0.88477	0.77046	0.82678	0.76933	0.96288	0.65414	0.99518
ACLY	0.48003	0.10471	0.010855	0.99075	0.81178	0.16502	0.53686	0.022059	0.25758	0.042225
ACMSD	0.89296	0.68738	0.90127	0.92515	0.89026	0.95754	0.96224	0.96288	0.9601	0.4669
ACN9	0.85915	0.81452	0.74001	0.98632	0.97389	0.86934	0.91143	0.94877	0.95239	0.88202
ACO1	0.72602	0.56739	0.57985	0.89686	0.9575	0.86879	0.96709	0.84493	0.97019	0.76692
ACO2	0	0.13377	0.038502	0.85211	0.92429	0.05305	0.76031	0.43481	0.52435	0.069116
ACOT1	0.11466	0.94788	0.17136	0.25905	0.63427	0.57443	0.98879	0.20072	0.95229	0.69412
ACOT11	0.91099	0.98112	0.88657	0.67267	0.947	0.67447	0.7116	0.98928	0.91602	0.94589
ACOT12	0.67607	0.85679	0.76954	0.68057	0.89561	0.69285	0.76933	0.9639	0.84033	0.89196
ACOT13	0.99872	0.94307	0.92905	0.66282	0.96529	0.941	0.93995	0.85264	0.73461	0.91775
ACOT2	0.69687	0.98237	0.93958	0.97132	0.82815	0.96527	0.53212	0.92477	0.9082	0.98782
ACOT4	0.81866	0.55007	0.88241	0.88069	0.66681	0.99708	0.96661	0.98856	0.99413	0.64759
ACOT6	0.62789	0.19069	0.59824	0.91204	0.89379	0.6923	0.96986000000000006	0.84489	0.77695	0.48447
ACOT7	0.31801	0.99849	0.14324	0.18528	0.66344	0.96419	0.83062	0.61116	0.57199	0.66105
ACOT8	0.48896	0.84841	0.49987	0.97042	0.85537	0.69785	0.96224	0.96684	0.39163	0.3362
ACOT9	0.90382	0.86254	0.84204	0.75746	0.58181	0.79539	0.95307	0.16426	0.56052	0.64
ACOX1	0.99007	0.87223	0.65352	0.94611	0.86886	0.79946	0.98692	0.98119	0.88996	0.9474
ACOX2	0.81045	0.79858	0.8613	0.83012	0.93317	0.84609	0.98419	0.98794	0.87942	0.969
ACOX3	0.82574	0.77839	0.30779	0.26714	0.64936	0.24353	0.81841	0.46392	0.60875	0.65145
ACOXL	0.84206	0.83696	0.81023	0.34647	0.81178	0.88733	0.69817	0.89028	0.70511	0.83108
ACP1	0.72416	0.0093085	0.48546	0.8138	0.40988	0.22433	0.80157	0.69075	0.21988	0.8228
ACP2	0.92489	0.80918	0.8281	0.8686	0.99292	0.90126	0.63712	0.98794	0.98804	0.89603
ACP5	0.5339	0.63898	0.7405	0.98239	0.80044	0.84975	0.761	0.68688	0.8812	0.94486
ACP6	0.81245	0.84173	0.88022	0.39582	0.8282	0.77545	0.97948	0.85264	0.98455	0.24477
ACPL2	0.94324	0.70227	0.86263	0.93943	0.90822	0.66366	0.93995	0.92907	0.97582	0.52351
ACPP	0.68204	0.72428	0.78041	0.61209	0.94975	0.73542	0.91228	0.72279	0.96357	0.97727
ACPT	0.77776	0.8994	0.46401	0.94611	0.61513	0.8533	0.96893	0.72027	0.78344	0.23568
ACR	0.96079	0.94894	0.78751	0.64048	0.60417	0.76109	0.9548	0.84493	0.98804	0.37049
ACRBP	0.99248	0.56744000000000006	0.60125	0.88059	0.74226	0.75908	0.44068	0.90591	0.25874	0.95283
ACRC	0.84657	0.047455	0.93751	0.080169	0.75135	0.55732	0.98107	0.77532	0.97434	0.42644
ACRV1	0.4923	0.18357	0.44688	0.50774	0.29577	0.45012	0.96224	0.12398	0.8201	0.37178
ACSBG1	0.28549	0.96169	0.78489	0.76604	0.75757	0.9896	0.99685	0.83626	0.90615	0.85581
ACSBG2	0.75337	0.77361	0.76619	0.65357	0.90627	0.78733	0.91349	0.56785	0.92109	0.8526
ACSF2	0.87307	0.87957	0.89362	0.90954	0.91635	0.94041	0.92791	0.94418	0.96886	0.94558
ACSF3	0.25536	0.6237	0.70009	0.32171	0.056358	0.016827	0.80854	0.27196	0.78243	0.22825
ACSL1	0.86299	0.33029	0.1176	0.87258	0.9282	0.73729	0.97137	0.53526	0.58194	0.8981
ACSL3	0.94011	0.59924	0.84863	0.8861	0.92008	0.23363	0.92384	0.84467	0.90615	0.9435
ACSL4	0.78061	0.43482	0.82744	0.53008	0.12451	0.56652	0.86971	0.28035	0.81753	0.83217
ACSL5	0.99007	0.75273	0.99054	0.41895	0.66187	0.95039	0.96962	0.94877	0.98812	0.72533
ACSL6	0.93107	0.82236	0.88971	0.81073	0.39309	0.65749	0.97137	0.84748	0.97525	0.31997
ACSM1	0.93331	0.91083	0.99471	0.89184	0.8918	0.81882	0.87786	0.88299	0.98753	0.78224
ACSM2A	0.52217	0.76245	0.63553	0.94927	0.8503	0.39765	0.97911	0.50946	0.79396	0.98953
ACSM2B	0.94011	0.99849	0.91086	0.75313	0.98506	0.95312	0.96224	0.94834	0.91171	0.8228
ACSM3	0.97902	0.71309	0.9341	0.98683	0.91613	0.96537	0.98387	0.96519	0.36982	0.83254
ACSM4	0.95794	0.73509	0.84423	0.91071	0.97763	0.85452	0.92384	0.97792	0.82861	0.89012
ACSM5	0.99939	0.80338	0.95134	0.89984	0.87786	0.654	0.95183	0.92278	0.90209	0.82932
ACSS1	0.72201	0.16097	0.029018	0.79023	0.20031	0.095735	0.33492	0.011611	0.059863	0.224
ACSS2	0.94842	0.86607	0.96138	0.80473	0.74493	0.53026	0.87103	0.66667	0.55088	0.73603
ACSS3	0.64867	0.9768	0.94036	0.99329	0.38944	0.17296	0.7116	0.61001	0.30128	0.17644
ACTA1	0.67064	0.95059	0.85667	0.95016	0.9916	0.50604	0.82011	0.99336	0.91295	0.98547
ACTA2	0.66985	0.83498000000000006	0.20288	0.82008	0.99502	0.91122	0.99911	0.93479	0.90142	0.97003
ACTB	0.93565	0.80555	0.64727	0.31333	0.27057	0.7801	0.86131	0.68332	0.87121	0.50501
ACTBL2	0.14967	0.98776	0.59985	0.99475	0.95155	0.95237	0.73456	0.62059	0.65488	0.3362
ACTC1	0.91275	0.9801	0.92919	0.95714	0.96911	0.99702	0.3985	0.55613	0.60875	0.91362
ACTG1	0.16341	0.12146	0.37112	0.23995	0.7255	0.31904	0.72096	0.23126	0.51409	0.1355
ACTG2	0.60376	0.85368	0.62648	0.95523	0.87959	0.60429	0.92985	0.9665	0.8817	0.96167
ACTL10	0.30212	0.09499	0.14456	0.79778	0.72861	0.22913	0.82026	0.2295	0.32398	0.18211
ACTL6A	0	0	0	0.025974	0.022124	0	0.069204	0	0	0
ACTL6B	0.37197	0.88692	0.99054	0.29275	0.64756	0.54631	0.98419	0.65165	0.14548	0.14864
ACTL7A	0.7431	0.94482	0.35493	0.95781	0.99684	0.51848	0.99317	0.85586	0.97638	0.50905
ACTL7B	0.19098	0.2642	0.28985	0.86632	0.35626	0.47955	0.90296	0.63641	0.85363	0.34708
ACTL8	0.40065	0.54638	0.66156	0.37322	0.87084	0.6098	0.86253	0.781	0.77095	0.67223
ACTL9	0.75214	0.59318	0.59587	0.31528	0.77942	0.99054	0.96399	0.93239	0.37365	0.98427
ACTN1	0.7822	0.64055	0.986	0.97391	0.89311	0.99273	0.87673	0.75888	0.99245	0.73724
ACTN2	0.81866	0.75374	0.45719	0.91439	0.98401	0.9244	0.97197	0.094902	0.87121	0.91117
ACTN4	0.58779	0.65972	0.55281	0.2444	0.19051	0.86734	0.27107	0.9665	0.98804	0.85317
ACTR10	0.065684	0	0.028185	0.2403	0.14549	0.036508	0.519	0.0032573	0.11293	0.0037523
ACTR1A	0.17805	0.0040984	0.16188	0.66564	0.57829	0.082474	0.88477	0.55827	0.45833	0.21139
ACTR1B	0.79101	0.83502	0.91288	0.64178	0.89311	0.82053	0.98877	0.91882	0.7673	0.98547
ACTR2	0	0.039179	0	0	0.042722	0.015464	0.089337	0.019737	0.05499	0.011696
ACTR3	0.097065	0.57435	0.035446	0	0.83902	0.88479	0.81473	0.3236	0.15633	0.29392
ACTR3B	0.92232	0.66779	0.97257	0.66327	0.98979	0.68397	0.83824	0.81914	0.57199	0.94458
ACTR3C	0.40093	0.58089	0.70804	0.80357	0.7255	0.97861	0.88993	0.71918	0.82164	0.91335
ACTR5	0.9254	0.74911	0.20781	0.87136	0.90416	0.71826	0.76072	0.741	0.96549	0.86844
ACTR6	0.023109	0.044855	0.12598	0.22498	0.19295	0.37792	0.98363	0.19307	0.29905	0.24873
ACTR8	0.73494	0.014475	0.78799	0.3396	0.26016	0.7165	0.64598	0.36624	0.4987	0.19882
ACTRT1	0.054492	0.10025	0.24988	0.87257	0.94671	0.4013	0.94242	0.36393	0.81061	0.025393
ACTRT2	0.93223	0.24981	0.66954	0.2541	0.78189	0.73081	0.88993	0.42389	0.63909	0.36397
ACTRT3	0.99114	0.86891	0.90717	0.99411	0.71505	0.98763	0.98035	0.87574	0.99961	0.97405
ACVR1	0.62714	0.86862	0.73691	0.79112	0.093394	0.50714	0.79303	0.46923	0.96547	0.87503
ACVR1B	0.99872	0.37147	0.84108	0.72512	0.75101	0.55104	0.98737	0.70616	0.28029	0.6085
ACVR1C	0.72169	0.61845	0.96195	0.98607	0.91233	0.84947	0.90296	0.98858	0.8541	0.98624
ACVR2A	0.9592	0.87039	0.94252	0.48839	0.51486	0.97163	0.9267	0.48278	0.68021	0.98872
ACVR2B	0.43786	0.23781	0.93098	0.9695	0.9969	0.99005	0.88487	0.66705	0.4002	0.70347
ACVRL1	0.32742	0.66751	0.91021	0.92849	0.91804	0.86243	0.97396	0.52436	0.62061	0.68823
ACY1	0.56598	0.91631	0.81753	0.90372	0.67915	0.3358	0.64598	0.61863	0.66684	0.35947
ACY3	0.60484	0.73019	0.81183	0.85174	0.74992	0.58266	0.98318	0.95019	0.98525	0.32596
ACYP1	0.94316	0.73019	0.48649	0.60738	0.52071	0.75498	0.71764	0.88741	0.91086	0.97267
ACYP2	0.97279	0.47449	0.95708	0.97649	0.88609	0.9654	0.91349	0.93512	0.91122	0.66961
ADA	0.93813	0.51094	0.94422	0.80465	0.87109	0.97753	0.98387	0.84823	0.8126	0.34991
ADAD1	0.86676	0.24991	0.77054	0.79112	0.99994	0.95782	0.87697	0.96778	0.98455	0.96317
ADAD2	0.75245	0.30058	0.97257	0.48815	0.93353	0.88917	0.85065	0.80125	0.96881	0.76244
ADAL	0.78901	0.88568	0.95232000000000006	0.85174	0.88793	0.95898	0.5558	0.98794	0.98851	0.76336
ADAM10	0.95679	0.4753	0.91479	0.77074	0.91803	0.45652	0.90029	0.94376	0.60554	0.98473
ADAM11	0.96844	0.85864	0.70864	0.66709	0.96265	0.51451	0.79303	0.86931	0.83752	0.88539
ADAM12	0.78337	0.99781	0.94835	0.96517	0.87048	0.91941	0.70934	0.93732	0.98308	0.77609
ADAM15	0.994	0.88329	0.59985	0.98426	0.91804	0.88653	0.84394	0.89059	0.99536	0.98474
ADAM17	0.98766	0.40362	0.72871	0.47601	0.64588	0.36357	0.69647	0.38993	0.83771	0.95325
ADAM18	0.55451	0.76389	0.074202	0.025974	0.28638	0.030303	0.34566	0.026128	0.05499	0.50905
ADAM19	0.78422	0.81941	0.74088	0.99177	0.30077	0.99502	0.95675	0.94703	0.25661	0.87659
ADAM2	0.15403	0.2642	0.66483	0.81832	0.97763	0.90349	0.93031	0.74044	0.79731	0.65854
ADAM20	0.6743	0.50502	0.90127	0.91439	0.89137	0.98253	0.83107	0.61029	0.93418	0.87766
ADAM21	0.62714	0.82438	0.90546	0.92098	0.98506	0.85291	0.25331	0.95922	0.78536	0.97951
