Gene	sgRNA	Mel270|beta	Mel270|z	Mel270|p-value	Mel270|fdr	Mel270|wald-p-value	Mel270|wald-fdr
AATF	5	-0.82822	-3.5713	0.0018883	0.038636	0.00035525	0.011824
AATK	5	-0.068647	-0.58245	0.74386	0.92962	0.56026	0.79693
ABAT	5	0.028112	0.18947	0.7518	0.93156	0.84973	0.93895
ABCA1	5	0.10785	0.98387	0.35366	0.7652	0.32518	0.65608
ABCA10	5	0.0080954	0.051001	0.86388	0.968	0.95932	0.98526
ABCA12	5	0.24815	1.0805	0.030434	0.25716	0.27993	0.62871
ABCA13	5	-0.041616	-0.23354	0.87271	0.96886	0.81534	0.92229
ABCA2	5	0.13874	1.0889	0.23303	0.66434	0.27618	0.62679
ABCA3	5	0.1711	0.93326	0.14151	0.54666	0.35069	0.67195
ABCA4	5	-0.1154	-1.1435	0.55981	0.86764	0.25284	0.61354
ABCA5	5	-0.10372	-0.59699	0.59958	0.88145	0.55051	0.79065
ABCA6	5	-0.029833	-0.12907	0.93347	0.98594	0.8973	0.96074
ABCA7	5	0.20194	1.3442	0.081084	0.4353	0.17889	0.56262
ABCA8	5	-0.044854	-0.40543	0.8571	0.96583	0.68516	0.86233
ABCA9	4	0.081873	0.3445	0.53193	0.85671	0.73047	0.88496
ABCB1	5	-0.48724	-2.3236	0.033322	0.27003	0.020149	0.23257
ABCB10	3	0.20366	1.4473	0.17877	0.59888	0.14781	0.53461
ABCB11	5	0.0044565	0.028643	0.88465	0.97259	0.97715	0.99147
ABCB4	5	-0.17486	-1.315	0.37887	0.78126	0.18851	0.56752
ABCB5	5	0.13583	0.88779	0.24314	0.67416	0.37466	0.68814
ABCB6	5	0.13142	1.1217	0.25908	0.6906	0.26201	0.61783
ABCB7	5	-0.084702	-0.55341	0.67689	0.90725	0.57998	0.80654
ABCB8	5	0.097078	1.0202	0.39992	0.79578	0.30765	0.64593
ABCB9	5	-0.016678	-0.15456	0.99822	0.99944	0.87716	0.95134
ABCC1	5	-0.080396	-0.54926	0.69538	0.91314	0.58283	0.808
ABCC10	5	-0.13383	-1.4463	0.49778	0.84398	0.14809	0.53461
ABCC11	5	0.1636	1.231	0.16072	0.57566	0.21831	0.58869
ABCC12	5	0.037234	0.27727	0.70288	0.91604	0.78157	0.90869
ABCC2	5	0.03854	0.33474	0.69482	0.91288	0.73782	0.88893
ABCC3	5	0.013913	0.16007	0.83228	0.95929	0.87283	0.94922
ABCC4	5	0.43882	1.864	0.00016661	0.0059172	0.06232	0.43472
ABCC5	5	0.15716	0.92191	0.17611	0.59572	0.35657	0.67577
ABCC6	10	-0.12104	-1.2764	0.44452	0.81921	0.20182	0.57681
ABCC8	5	0.09134	0.68228	0.42575	0.81122	0.49506	0.76106
ABCC9	5	0.083722	0.61965	0.46318	0.82921	0.53549	0.78223
ABCD1	5	0.13366	0.98627	0.25092	0.68165	0.324	0.65601
ABCD2	5	-0.1474	-1.1622	0.45446	0.82426	0.24517	0.60666
ABCD3	5	-0.043291	-0.32163	0.86455	0.968	0.74773	0.89424
ABCD4	5	0.15443	1.2624	0.18305	0.60311	0.20681	0.57958
ABCE1	5	-2.3771	-5.4568	0	0	4.8479e-08	2.7278e-05
ABCF1	5	-0.70133	-3.129	0.0057203	0.084843	0.0017542	0.037381
ABCF2	5	-0.21845	-1.9876	0.27902	0.70795	0.046857	0.39297
ABCF3	5	0.15136	1.0593	0.19227	0.61558	0.28945	0.63375
ABCG1	5	0.12213	1.2064	0.29296	0.71533	0.22766	0.59729
ABCG2	5	-0.045379	-0.31294	0.85477	0.96558	0.75433	0.8973
ABCG4	5	0.19271	1.1762	0.097523	0.47268	0.23952	0.6038
ABCG5	5	0.088455	0.54191	0.44096	0.81856	0.58788	0.81033
ABCG8	5	0.03126	0.29465	0.73564	0.92766	0.76826	0.90396
ABHD1	5	-0.0040826	-0.036624	0.93197	0.98594	0.97078	0.98989
ABHD10	5	-0.26467	-1.6075	0.19721	0.61983	0.10794	0.50179
ABHD11	5	-0.43023	-2.6345	0.054926	0.35911	0.0084257	0.12456
ABHD12	5	0.17959	1.1894	0.12251	0.51815	0.23428	0.60122
ABHD12B	5	0.24574	1.4148	0.032323	0.2657	0.15714	0.54351
ABHD13	5	0.08024	0.31705	0.47917	0.83645	0.7512	0.89571
ABHD14A	5	0.19384	1.4235	0.095135	0.46778	0.15458	0.54121
ABHD14B	5	0.15931	1.3159	0.17067	0.58854	0.18822	0.56752
ABHD15	5	-0.22169	-1.6977	0.27313	0.70387	0.089574	0.48059
ABHD16A	5	-0.090869	-1.1716	0.65051	0.89872	0.24137	0.60429
ABHD16B	5	0.23249	1.876	0.043985	0.31592	0.060659	0.43137
ABHD17A	3	-0.018027	-0.10389	0.94907	0.9889	0.91726	0.96926
ABHD17B	5	0.17328	0.88042	0.13568	0.53728	0.37863	0.68984
ABHD17C	5	0.093596	0.99034	0.41558	0.80599	0.32201	0.65523
ABHD2	5	0.18832	0.90006	0.10508	0.48764	0.36809	0.68426
ABHD3	5	-0.056657	-0.60505	0.79901	0.94922	0.54515	0.78767
ABHD4	5	0.011549	0.07761	0.84533	0.96269	0.93814	0.97744
ABHD5	4	0.069945	0.50048	0.59258	0.8782	0.61674	0.82728
ABHD6	5	0.24275	1.8293	0.034433	0.27531	0.067356	0.44328
ABHD8	5	0.24019	1.6923	0.03671	0.28449	0.090581	0.48181
ABI1	5	0.23961	0.90355	0.03721	0.28718	0.36623	0.68309
ABI2	5	0.10474	0.82273	0.36582	0.77339	0.41066	0.71009
ABI3	5	-0.13206	-0.79535	0.50372	0.846	0.42641	0.72032
ABI3BP	5	-0.17057	-1.0646	0.38976	0.7882	0.28704	0.63261
ABL1	5	0.17822	1.7398	0.12501	0.52079	0.081897	0.46829
ABL2	5	0.13527	1.018	0.24475	0.6755	0.30866	0.64654
ABLIM1	5	0.11461	0.54676	0.32517	0.74283	0.58454	0.8088
ABLIM2	5	0.10676	0.55429	0.35805	0.7681	0.57938	0.8064
ABLIM3	5	0.23149	1.4796	0.044818	0.3196	0.13897	0.53162
ABR	11	0.12698	1.3988	0.095135	0.46778	0.16188	0.54705
ABRA	5	0.20701	1.8284	0.073364	0.41489	0.067496	0.44382
ABRACL	4	0.00084911	0.006497	0.93541	0.98618	0.99482	0.99909
ABT1	5	-0.90446	-3.7921	0.0010552	0.025099	0.00014939	0.0061571
ABTB1	5	-0.037191	-0.2839	0.89648	0.97642	0.77649	0.9065
ABTB2	5	0.20272	1.4871	0.07964	0.43089	0.13699	0.52924
ACAA1	5	0.10828	0.84305	0.35216	0.7644	0.3992	0.70388
ACAA2	5	-0.18376	-1.2359	0.35744	0.7681	0.21649	0.58682
ACACA	5	-0.10047	-0.586	0.61041	0.88523	0.55787	0.7957
ACACB	5	0.10651	1.2742	0.3586	0.7686	0.20261	0.57681
ACAD10	5	0.015368	0.11295	0.82556	0.95745	0.91007	0.96631
ACAD11	5	0.21931	1.3441	0.05787	0.36768	0.17892	0.56262
ACAD8	5	-0.00025152	-0.0020334	0.91164	0.98049	0.99838	0.99977
ACAD9	5	0.055771	0.49924	0.60252	0.88231	0.61761	0.82728
ACADL	5	0.26962	1.2939	0.017772	0.1838	0.19568	0.57255
ACADM	5	0.099237	0.56245	0.39009	0.7882	0.57381	0.80342
ACADS	5	0.11738	1.1385	0.31306	0.73212	0.25491	0.6142
ACADSB	5	-0.040311	-0.20977	0.87976	0.97142	0.83385	0.93187
ACADVL	5	0.15317	1.5491	0.18727	0.61105	0.12136	0.51571
ACAN	5	0.052395	0.37061	0.62013	0.88803	0.71092	0.87559
ACAP1	5	0.16027	1.343	0.16889	0.58708	0.17926	0.5627
ACAP2	5	0.062015	0.24868	0.56864	0.87026	0.80361	0.917
ACAP3	5	-0.032217	-0.22503	0.92175	0.98335	0.82196	0.92568
ACAT1	5	0.062067	0.30307	0.56853	0.87026	0.76184	0.90034
ACAT2	5	0.19452	0.79338	0.093858	0.46467	0.42756	0.72094
ACBD3	5	0.20643	1.1602	0.074197	0.41698	0.24595	0.60703
ACBD4	5	0.008602	0.076075	0.86121	0.96713	0.93936	0.97786
ACBD5	4	0.14847	0.77193	0.25519	0.68592	0.44015	0.72911
ACBD6	5	0.34056	1.6625	0.0024992	0.047319	0.096421	0.48873
ACBD7	5	0.22077	1.0477	0.056481	0.3637	0.29478	0.63643
ACCS	5	0.080911	0.78486	0.47595	0.83523	0.43253	0.72405
ACCSL	5	0.12563	0.91852	0.28107	0.70882	0.35835	0.67728
ACD	5	-0.12554	-0.99784	0.52399	0.85288	0.31836	0.65286
ACE	5	-0.14314	-1.0001	0.46823	0.83154	0.31725	0.65278
ACE2	5	0.34684	1.8625	0.0021104	0.041989	0.062531	0.43472
ACER1	5	-0.27121	-1.8382	0.18783	0.61191	0.066036	0.44078
ACER2	5	-0.019232	-0.12572	0.98662	0.99613	0.89995	0.9617
ACER3	5	0.1275	0.76708	0.27419	0.70387	0.44303	0.73052
ACHE	4	-0.36198	-1.7967	0.12674	0.52242	0.072381	0.45438
ACIN1	5	-0.74826	-3.3432	0.0036654	0.061798	0.00082831	0.021943
ACKR2	5	0.026196	0.18661	0.76452	0.93697	0.85197	0.93953
ACKR3	5	0.10785	0.83337	0.3536	0.7652	0.40464	0.7075
ACKR4	5	0.11363	0.63158	0.32917	0.74542	0.52766	0.7789
ACLY	5	-0.90715	-3.752	0.0010552	0.025099	0.00017544	0.0069073
ACMSD	5	-0.095702	-1.2924	0.63035	0.89111	0.19623	0.57266
ACN9	4	-0.22192	-2.0041	0.31101	0.7305	0.045056	0.38632
ACO1	5	0.16423	1.1197	0.15884	0.572	0.26286	0.61803
ACO2	5	-0.76872	-3.1489	0.0030545	0.054187	0.001639	0.035946
ACOT1	4	0.3057	1.4939	0.01444	0.16119	0.13521	0.52783
ACOT11	5	-0.1079	-0.83773	0.58453	0.87747	0.40218	0.7057
ACOT12	5	-0.18359	-1.3252	0.35783	0.7681	0.1851	0.56585
ACOT13	4	-0.07657	-0.63311	0.72348	0.92181	0.52666	0.77851
ACOT2	4	-0.066672	-0.36259	0.76269	0.93615	0.71691	0.87838
ACOT4	5	0.061076	0.33061	0.5737	0.87211	0.74094	0.89011
ACOT6	5	0.15939	1.167	0.17055	0.58854	0.24323	0.60562
ACOT7	5	0.2866	1.6309	0.01194	0.14238	0.10291	0.49507
ACOT8	5	0.18803	1.1933	0.10558	0.48856	0.23275	0.60102
ACOT9	5	0.079929	0.54495	0.48028	0.83652	0.58579	0.80921
ACOX1	5	-0.25296	-1.5704	0.21621	0.64411	0.11633	0.51126
ACOX2	5	-0.12554	-1.0817	0.52399	0.85288	0.27938	0.62836
ACOX3	5	0.23525	1.4834	0.04132	0.30405	0.13797	0.52995
ACOXL	5	-0.15977	-1.109	0.41886	0.80773	0.26744	0.62209
ACP1	10	0.13122	1.403	0.10313	0.48359	0.16062	0.5454
ACP2	4	0.099031	1.1889	0.44924	0.82147	0.23449	0.60122
ACP5	5	0.11674	0.71237	0.31584	0.73419	0.47624	0.75
ACP6	5	0.061522	0.33595	0.57114	0.87138	0.73691	0.88832
ACPL2	5	0.069837	0.44197	0.52899	0.85526	0.65851	0.84884
ACPP	5	0.10315	0.86602	0.37204	0.77589	0.38648	0.69521
ACPT	5	0.19755	2.0265	0.087915	0.44959	0.042715	0.37818
ACR	5	-0.17215	-1.2444	0.38543	0.78541	0.21336	0.58515
ACRBP	5	0.15801	1.3068	0.17383	0.59124	0.19129	0.56991
ACRC	5	0.03052	0.19178	0.73936	0.92945	0.84792	0.9377
ACRV1	5	0.20193	1.4521	0.081084	0.4353	0.14647	0.533
ACSBG1	5	0.10124	0.71992	0.38154	0.78282	0.47158	0.74686
ACSBG2	5	0.10821	0.65859	0.35249	0.76448	0.51016	0.76934
ACSF2	5	-0.10168	-0.88926	0.6068	0.88393	0.37386	0.68756
ACSF3	5	0.13168	0.90131	0.25808	0.68916	0.36742	0.68402
ACSL1	5	0.29749	1.8729	0.0087749	0.11499	0.061089	0.43186
ACSL3	5	0.076392	0.63831	0.49678	0.84377	0.52327	0.77743
ACSL4	5	0.085398	0.4701	0.45557	0.82426	0.63829	0.83819
ACSL5	5	-0.0089634	-0.053089	0.95851	0.99042	0.95766	0.98472
ACSL6	5	0.056477	0.43434	0.59919	0.88145	0.66404	0.8517
ACSM1	4	-0.0086374	-0.065472	0.98301	0.99494	0.9478	0.981
ACSM2A	5	0.14859	0.90248	0.20038	0.62461	0.3668	0.68339
ACSM2B	4	-0.091541	-1.162	0.66728	0.904	0.24523	0.60666
ACSM3	5	-0.072522	-0.50672	0.72748	0.92416	0.61235	0.82468
ACSM4	5	0.078922	0.52574	0.485	0.83911	0.59907	0.81681
ACSM5	5	-0.060035	-0.55518	0.78335	0.94418	0.57877	0.80623
ACSS1	5	0.35717	2.0638	0.0017216	0.036173	0.039041	0.36142
ACSS2	5	0.016206	0.15372	0.82039	0.95612	0.87783	0.9514
ACSS3	5	0.027881	0.26868	0.75269	0.93173	0.78817	0.91177
ACTA1	5	0.072622	0.67027	0.51544	0.85017	0.50269	0.76468
ACTA2	5	0.26445	1.3806	0.020215	0.19934	0.16741	0.55193
ACTB	4	-0.28581	-1.6026	0.21099	0.63711	0.10902	0.50235
ACTBL2	5	0.15868	1.3207	0.172	0.58897	0.18659	0.56667
ACTC1	5	0.034933	0.41713	0.71543	0.91922	0.67658	0.85744
ACTG1	5	-0.42086	-1.8529	0.059591	0.37374	0.063898	0.43731
ACTG2	6	-0.24575	-2.0973	0.19349	0.61642	0.035971	0.34491
ACTL10	5	0.28518	1.4353	0.012218	0.1436	0.15121	0.5387
ACTL6A	5	-2.3622	-5.2801	0	0	1.2911e-07	4.5583e-05
ACTL6B	5	-0.024934	-0.15292	0.9584	0.99042	0.87846	0.95166
ACTL7A	5	0.22221	1.461	0.054871	0.35901	0.14402	0.53216
ACTL7B	5	0.24086	1.6688	0.036044	0.28181	0.095164	0.48763
ACTL8	5	0.14216	1.3699	0.2212	0.65071	0.17071	0.55385
ACTL9	5	0.1602	1.5452	0.16905	0.58708	0.12229	0.51696
ACTN1	5	-0.030248	-0.29249	0.93163	0.98594	0.76992	0.90439
ACTN2	5	0.19921	1.4661	0.085083	0.44393	0.14263	0.53216
ACTN4	5	0.17153	1.5667	0.14012	0.54387	0.11719	0.51275
ACTR10	5	-0.80539	-2.9609	0.0022215	0.04315	0.0030676	0.056254
ACTR1A	5	-0.59199	-2.7964	0.012496	0.14629	0.0051668	0.084423
ACTR1B	5	-0.087469	-0.98212	0.66561	0.90378	0.32604	0.65701
ACTR2	5	-1.4103	-3.7384	5.5537e-05	0.0028249	0.00018521	0.0071565
ACTR3	5	-0.7828	-2.6399	0.0028324	0.052041	0.0082927	0.1232
ACTR3B	5	-0.041809	-0.26961	0.87215	0.96886	0.78746	0.91157
ACTR3C	5	-0.22386	-1.7554	0.26869	0.70014	0.079183	0.4644
ACTR5	5	0.26224	1.6974	0.021771	0.20929	0.089622	0.48059
ACTR6	5	-0.62746	-1.8162	0.0094968	0.12188	0.069337	0.44836
ACTR8	5	-0.17183	-1.3827	0.38648	0.78635	0.16675	0.55165
ACTRT1	5	0.25058	1.4599	0.028268	0.24412	0.14431	0.53216
ACTRT2	5	0.13971	1.1781	0.22959	0.66017	0.23875	0.6032
ACTRT3	5	-0.091663	-0.70982	0.64706	0.89734	0.47782	0.75062
ACVR1	5	0.11851	0.82684	0.30784	0.72771	0.40833	0.70948
ACVR1B	5	-0.14053	-0.72596	0.4769	0.83544	0.46786	0.74444
ACVR1C	5	-0.052174	-0.33272	0.8205	0.95612	0.73935	0.88983
ACVR2A	5	-0.065475	-0.26788	0.75864	0.9344	0.78879	0.91187
ACVR2B	5	0.034043	0.24746	0.72054	0.92137	0.80455	0.91745
ACVRL1	5	0.046007	0.42299	0.65434	0.89947	0.6723	0.85611
ACY1	5	0.090516	0.68099	0.42947	0.81299	0.49588	0.76139
ACY3	5	-0.15871	-1.1254	0.42197	0.80905	0.26044	0.61711
ACYP1	5	0.19182	1.3622	0.099023	0.47451	0.17313	0.55461
ACYP2	5	0.01907	0.20723	0.80473	0.95117	0.83583	0.93253
ADA	5	0.025819	0.21112	0.76741	0.93815	0.8328	0.93112
ADAD1	5	0.10705	0.69068	0.35677	0.7681	0.48976	0.75755
ADAD2	5	-0.041634	-0.54514	0.87271	0.96886	0.58566	0.80921
ADAL	5	-0.059589	-0.30612	0.78479	0.94452	0.75952	0.89917
ADAM10	5	0.042577	0.16196	0.67405	0.90683	0.87134	0.94848
ADAM11	5	-0.22299	-1.7483	0.27069	0.70164	0.080404	0.46631
ADAM12	5	-0.061385	-0.42741	0.77663	0.94129	0.66908	0.85467
ADAM15	5	0.1586	0.95348	0.17205	0.58897	0.34035	0.66442
ADAM17	5	0.12122	0.76837	0.2964	0.71772	0.44227	0.73017
ADAM18	4	0.35547	1.0324	0.004554	0.072247	0.30188	0.64105
ADAM19	5	0.11662	0.99778	0.31645	0.73485	0.31838	0.65286
ADAM2	5	-0.24783	-1.173	0.22365	0.65405	0.24081	0.60429
ADAM20	5	0.050336	0.28853	0.63023	0.89111	0.77294	0.90526
ADAM21	5	-0.092777	-0.69256	0.64329	0.897	0.48859	0.75651
ADAM22	5	-0.058759	-0.51775	0.78901	0.94638	0.60463	0.81956
ADAM23	5	0.012031	0.083734	0.8425	0.96209	0.93327	0.97581
ADAM28	5	0.19395	1.2655	0.094968	0.4676	0.20568	0.57829
ADAM29	5	0.28541	1.4322	0.012218	0.1436	0.15208	0.53987
ADAM30	5	-0.051299	-0.28385	0.82495	0.95734	0.77652	0.9065
ADAM32	5	-0.067953	-0.46263	0.74742	0.93059	0.64363	0.84168
ADAM33	5	0.22049	1.2776	0.056648	0.36403	0.20137	0.57681
ADAM7	5	0.12737	0.80658	0.27446	0.70387	0.41991	0.71608
ADAM8	4	0.23587	1.2669	0.065034	0.38852	0.20518	0.57773
ADAM9	5	0.057389	0.50154	0.59397	0.8782	0.61599	0.82687
ADAMDEC1	5	0.092709	0.49589	0.41997	0.80868	0.61997	0.82836
ADAMTS1	5	0.16096	1.1454	0.1675	0.58631	0.25206	0.61269
ADAMTS10	5	0.028607	0.19796	0.74903	0.93059	0.84308	0.9354
ADAMTS12	5	0.071965	0.6835	0.51827	0.85061	0.49429	0.76087
ADAMTS13	5	0.14696	1.1744	0.20588	0.63281	0.24023	0.60393
ADAMTS14	5	-0.023675	-0.20029	0.96435	0.99042	0.84126	0.93473
ADAMTS15	5	0.12271	1.3216	0.29135	0.71409	0.18631	0.56618
ADAMTS16	5	0.2613	1.5975	0.022437	0.21353	0.11015	0.50328
ADAMTS17	5	0.023882	0.21762	0.77907	0.94168	0.82773	0.92944
ADAMTS18	5	0.18155	1.0942	0.11768	0.50998	0.27385	0.62565
ADAMTS19	5	0.12656	1.0754	0.27774	0.70737	0.28219	0.63002
ADAMTS2	5	0.19376	1.4105	0.09519	0.46792	0.15841	0.54437
ADAMTS20	5	-0.23594	-1.951	0.24492	0.67555	0.051055	0.40749
ADAMTS3	5	-0.030517	-0.27057	0.93047	0.98559	0.78672	0.91115
ADAMTS4	5	-0.33535	-2.3863	0.11635	0.50775	0.017018	0.20593
ADAMTS5	5	0.15167	1.7236	0.19094	0.61466	0.084783	0.47242
ADAMTS6	5	0.062096	0.44511	0.56826	0.87026	0.65624	0.8475
ADAMTS7	5	0.066582	0.58695	0.54587	0.86204	0.55724	0.79544
ADAMTS8	5	0.18762	1.3562	0.10646	0.49041	0.17503	0.55607
ADAMTS9	5	-0.041259	-0.35117	0.87499	0.96954	0.72546	0.88255
ADAMTSL1	5	0.18842	1.5892	0.10502	0.48764	0.11201	0.50572
ADAMTSL2	5	0.024355	0.1643	0.77591	0.94125	0.86949	0.94765
ADAMTSL3	5	0.087938	0.98712	0.44352	0.81907	0.32358	0.65594
ADAMTSL4	5	-0.32822	-1.8718	0.12313	0.51896	0.061237	0.43186
ADAMTSL5	5	-0.13275	-1.3478	0.50106	0.84436	0.17771	0.56041
ADAP1	5	0.16971	1.2022	0.14573	0.55324	0.22929	0.59882
ADAP2	5	-0.0095083	-0.054189	0.96135	0.99042	0.95678	0.98441
ADAR	5	-0.14368	-1.2317	0.46623	0.82987	0.21807	0.58849
ADARB1	5	0.12414	1.0969	0.28524	0.71091	0.2727	0.62527
ADARB2	5	0.22094	1.543	0.056259	0.36318	0.12282	0.51715
ADAT1	5	0.053664	0.39852	0.6138	0.88615	0.69025	0.86463
ADAT2	5	0.038143	0.2749	0.69777	0.91362	0.78339	0.90972
ADAT3	5	-0.14328	-0.86317	0.46762	0.83078	0.38805	0.69606
ADC	5	0.18773	1.2724	0.10624	0.48976	0.20324	0.57722
ADCK1	5	0.18605	1.3749	0.10969	0.49487	0.16915	0.5524
ADCK2	5	-0.088993	-0.75837	0.65906	0.90153	0.44823	0.73358
ADCK3	5	-0.054283	-0.70537	0.81012	0.9528	0.48058	0.75168
ADCK4	5	0.13832	1.1871	0.23464	0.66588	0.23518	0.6014
ADCK5	5	0.061997	0.67704	0.5687	0.87026	0.49838	0.76308
ADCY1	5	-0.0072248	-0.079816	0.94979	0.9889	0.93638	0.97698
ADCY10	5	-0.0059049	-0.041072	0.94219	0.98829	0.96724	0.98823
ADCY2	5	0.12031	0.9661	0.30007	0.72167	0.334	0.66102
ADCY3	5	-0.15228	-1.0903	0.44074	0.81856	0.27557	0.6266
ADCY4	5	-0.01909	-0.1964	0.98767	0.99664	0.8443	0.93597
ADCY5	5	0.081843	0.54536	0.47173	0.83291	0.58551	0.80921
ADCY6	5	-0.32085	-2.3166	0.12968	0.52733	0.020524	0.23542
ADCY7	5	0.1383	0.92643	0.23476	0.66593	0.35422	0.67431
ADCY8	5	0.24102	1.4174	0.035988	0.28149	0.15637	0.54287
ADCY9	5	0.055821	0.43189	0.6023	0.88231	0.66582	0.85287
ADCYAP1	5	0.12858	0.89541	0.26947	0.70116	0.37057	0.6857
ADCYAP1R1	5	-0.082656	-1.0852	0.68583	0.91004	0.27784	0.62751
ADD1	5	-0.10434	-0.87302	0.59736	0.87998	0.38265	0.69261
ADD2	4	-0.10991	-0.48058	0.60235	0.88231	0.63082	0.83365
ADD3	5	0.21516	1.0521	0.062535	0.38169	0.29277	0.63498
ADH1A	5	-0.04729	-0.25672	0.84455	0.96269	0.79739	0.91477
ADH1B	5	0.083653	0.52328	0.4634	0.82931	0.60078	0.81754
ADH4	5	0.18227	1.0655	0.11613	0.50715	0.28666	0.63255
ADH5	3	-0.46937	-1.6225	0.10024	0.47613	0.1047	0.49697
ADH6	5	0.070392	0.54707	0.52627	0.85398	0.58433	0.8088
ADH7	5	-0.0021689	-0.022448	0.92191	0.98341	0.98209	0.99339
ADHFE1	5	-0.2308	-1.3596	0.2543	0.68557	0.17395	0.55505
ADI1	5	-0.0808	-0.54153	0.69349	0.91266	0.58814	0.81033
ADIG	5	-0.011141	-0.09494	0.96879	0.99046	0.92436	0.97252
ADIPOQ	5	0.3305	1.6547	0.0029435	0.053159	0.09799	0.48912
ADIPOR1	5	0.0065929	0.058297	0.87199	0.96886	0.95351	0.98344
ADIPOR2	5	0.038133	0.32497	0.69782	0.91362	0.7452	0.89286
ADIRF	5	-0.071829	-0.69707	0.73076	0.92493	0.48576	0.75499
ADK	5	-0.049118	-0.38168	0.83617	0.96045	0.7027	0.87116
ADM	5	0.031222	0.36766	0.73587	0.92774	0.71313	0.87625
ADM2	5	0.24517	1.4266	0.032711	0.26664	0.1537	0.54094
ADM5	5	0.016058	0.15366	0.82128	0.95642	0.87787	0.9514
ADNP	5	0.038194	0.29632	0.69755	0.91362	0.76699	0.90355
ADNP2	5	-0.084583	-0.53272	0.67739	0.90744	0.59423	0.8144
ADO	5	0.14969	1.2624	0.19721	0.61983	0.2068	0.57958
ADORA1	5	-0.0036314	-0.038568	0.92991	0.98559	0.96923	0.98903
ADORA2A	5	-0.087107	-1.4552	0.66756	0.9041	0.14563	0.53216
ADORA2B	5	0.20345	1.2922	0.078807	0.42883	0.19628	0.57266
ADORA3	12	-0.15482	-1.606	0.27463	0.70387	0.10828	0.50225
ADPGK	5	0.029041	0.25622	0.7467	0.93059	0.79778	0.91477
ADPRH	5	0.03638	0.51357	0.70732	0.91749	0.60755	0.82145
ADPRHL1	5	-0.005897	-0.050272	0.94213	0.98829	0.95991	0.98535
ADPRHL2	5	0.15194	1.2543	0.19027	0.6142	0.20972	0.58213
ADPRM	5	-0.026535	-0.18213	0.95118	0.98915	0.85548	0.94157
ADRA1A	5	0.19748	1.564	0.088082	0.4498	0.11782	0.51366
ADRA1B	5	-0.034445	-0.33141	0.91142	0.98049	0.74033	0.89011
ADRA1D	5	0.14227	1.3693	0.22109	0.6506	0.1709	0.55385
ADRA2A	5	0.11759	0.91106	0.31195	0.73167	0.36227	0.68053
ADRA2B	5	-0.17303	-1.4211	0.38409	0.7849	0.15529	0.54188
ADRA2C	5	0.10947	0.78363	0.34716	0.76102	0.43326	0.72455
ADRB1	5	0.28885	1.7596	0.01133	0.13784	0.078474	0.46362
ADRB2	5	-0.30231	-2.0747	0.14839	0.55725	0.038012	0.35629
ADRB3	5	0.00041796	0.0048894	0.90775	0.97974	0.9961	0.99948
ADRBK1	5	-0.11744	-0.75469	0.55276	0.8648	0.45043	0.73558
ADRBK2	5	0.22403	1.2486	0.052483	0.34935	0.21183	0.58439
ADRM1	5	-0.34587	-1.9461	0.10658	0.49054	0.051637	0.40851
ADSL	5	-0.34409	-2.6187	0.10808	0.49353	0.0088254	0.12865
